Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",17.779325496086713,9.585593315949875,31.54475056646138
Arunachal Pradesh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",24.67141395145853,14.582359245283552,36.404118463546304
Uttarakhand,2019,All ages,Both,Enteric infections,"Deaths per 100,000",37.89613380949409,23.38229639370225,63.09027836542753
Himachal Pradesh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",27.289064584126557,15.82293404587616,45.1586813140538
Other Union Territories,2019,All ages,Both,Enteric infections,"Deaths per 100,000",19.728995730177285,11.503949274613941,33.009380056918744
Andhra Pradesh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",57.50668001123303,30.20735055110413,103.03565862351807
Assam,2019,All ages,Both,Enteric infections,"Deaths per 100,000",49.12991475892594,31.23523318906609,73.2742829754322
Delhi,2019,All ages,Both,Enteric infections,"Deaths per 100,000",19.07859754242486,12.70154605698808,27.49840137619985
Goa,2019,All ages,Both,Enteric infections,"Deaths per 100,000",17.080753225673483,8.969249455620076,30.27971877306355
Haryana,2019,All ages,Both,Enteric infections,"Deaths per 100,000",33.39423508958872,21.67635718888954,50.58935697960322
Karnataka,2019,All ages,Both,Enteric infections,"Deaths per 100,000",40.36693873054975,20.792221109815806,71.96383462429695
Kerala,2019,All ages,Both,Enteric infections,"Deaths per 100,000",21.056239612481544,8.183949646127322,44.031530610974876
Maharashtra,2019,All ages,Both,Enteric infections,"Deaths per 100,000",31.461079551254322,17.90670739563935,52.3558278212108
Manipur,2019,All ages,Both,Enteric infections,"Deaths per 100,000",34.610906552978115,21.23145626952235,52.48662349375921
Meghalaya,2019,All ages,Both,Enteric infections,"Deaths per 100,000",33.24213844257681,21.167607060138916,49.47382881276847
Mizoram,2019,All ages,Both,Enteric infections,"Deaths per 100,000",25.15802969668262,16.202305734318294,38.23384426825816
Nagaland,2019,All ages,Both,Enteric infections,"Deaths per 100,000",24.509861236755334,15.211909996778962,39.39176402384705
Odisha,2019,All ages,Both,Enteric infections,"Deaths per 100,000",88.93878107153174,53.137692795371024,134.56045270477676
Punjab,2019,All ages,Both,Enteric infections,"Deaths per 100,000",30.90485032502797,19.390795498164515,49.867891679582165
Rajasthan,2019,All ages,Both,Enteric infections,"Deaths per 100,000",49.08906735678864,27.08095268371344,84.5366645309764
Sikkim,2019,All ages,Both,Enteric infections,"Deaths per 100,000",22.36745277357329,12.273251445303842,34.119531819710396
Tamil Nadu,2019,All ages,Both,Enteric infections,"Deaths per 100,000",30.748105193483575,16.442925366279415,55.91244895931708
Tripura,2019,All ages,Both,Enteric infections,"Deaths per 100,000",33.314323033168485,19.59358715461336,53.807140225216166
West Bengal,2019,All ages,Both,Enteric infections,"Deaths per 100,000",36.08532226948792,16.388516521861515,74.29122744369887
Bihar,2019,All ages,Both,Enteric infections,"Deaths per 100,000",71.66832999742672,44.45280651371106,114.20937541778558
Chhattisgarh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",65.10499176702095,34.714389279217485,109.44289410044945
Jharkhand,2019,All ages,Both,Enteric infections,"Deaths per 100,000",64.77340929970882,41.218145975492845,98.21475461772317
Madhya Pradesh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",62.32606223483911,35.95140913143885,111.98506642461886
Uttar Pradesh,2019,All ages,Both,Enteric infections,"Deaths per 100,000",71.45726741014549,41.7797667371186,120.74387059411563
Gujarat,2019,All ages,Both,Enteric infections,"Deaths per 100,000",30.939484726460663,19.229477095198384,49.30202793782235
Telangana,2019,All ages,Both,Enteric infections,"Deaths per 100,000",41.746654938031824,22.062116449471734,81.43790236971874
