Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.338327628142167,12.644055589397569,19.359440408425368
Arunachal Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",22.821365506943813,17.67276631732801,28.76589711154806
Uttarakhand,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",41.44273196289135,33.18636483239418,51.56420656354712
Himachal Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.97919771712621,20.36719625617453,32.404501535198605
Other Union Territories,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",20.922882805973142,15.75589816793327,28.111644795490385
Andhra Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",21.401123813278126,16.602281735346224,27.17825326828062
Assam,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",37.662519188350586,30.902652306272095,45.277312445157946
Delhi,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",18.06822033684448,14.34381095406598,22.501642668351238
Goa,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",14.094666192018474,10.833148877952414,17.816999619382205
Haryana,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.40697573100153,19.94960076099482,30.9167993373203
Karnataka,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",23.096763307283993,18.417429867153842,28.788139034815753
Kerala,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",10.530140996047281,8.200709674443042,13.147077494533095
Maharashtra,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",26.166480641751626,20.840370942966874,32.00484284200323
Manipur,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",30.6720103701809,24.06168141303777,38.37464847882267
Meghalaya,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",29.11086408970465,22.70916435154238,36.71766884381307
Mizoram,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",16.505495374609232,12.437386449925798,21.413182433505785
Nagaland,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",24.91903973106637,18.88491250810224,31.876765247069816
Odisha,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",42.76109717758794,33.59662016072709,53.3195604585293
Punjab,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",21.034549608358443,17.059990017302724,26.129242722763834
Rajasthan,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",43.38477153192551,34.64049868792361,54.23606962626843
Sikkim,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",23.10532738480045,18.066841906221892,29.369383574922566
Tamil Nadu,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.15783533645512,20.05711565396052,31.134348320574777
Tripura,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.441165793648876,11.880429320032897,19.320019922537114
West Bengal,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.61918053729502,12.41063509665637,19.321840045728234
Bihar,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",24.147712833930026,19.37769532465735,29.829662040558322
Chhattisgarh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",42.412407337445536,33.88439245324233,51.10787410100646
Jharkhand,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",22.016331266447718,17.453660022944252,27.475402661508696
Madhya Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",30.065181095025668,24.63114683013745,37.038972181802144
Uttar Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",45.236336468220244,37.22687659291778,55.08288456851007
Gujarat,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",43.187649197173506,35.40861435264214,53.21907501647623
Telangana,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.092077599970356,11.350550631162362,20.161588112243265
