,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",13.8345254282862,9.18855317920177,19.149039057527,"YLDs per 100,000",0,0,0,"DALYs per 100,000",621.985005985841,449.757207842847,800.805365023652
1,Arunachal Pradesh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",29.3816826413752,15.3816645457937,47.7564431607603,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1237.89826904972,716.603047683908,1924.26341518403
2,Uttarakhand,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",37.2052240568986,22.9552210328909,53.8961854875212,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1556.96379997921,1061.43654085702,2137.35378745368
3,Himachal Pradesh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",32.0481588859061,19.5220686477224,46.7063644381805,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1288.95006091539,883.255168094949,1769.36048375523
4,Other Union Territories,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",30.1069029250897,18.2846704012039,44.8135498479525,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1324.16438220383,898.087779108647,1850.72308607026
5,Andhra Pradesh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",24.1353608690798,12.606169345631,37.6443380605202,"YLDs per 100,000",0,0,0,"DALYs per 100,000",984.478551387763,592.522459516927,1436.06603498124
6,Assam,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",43.1038339473782,25.3621926391794,62.9417884871018,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1744.77881912685,1080.31843908471,2490.35608054075
7,Delhi,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",24.8486444512795,16.9845242129191,33.5503931244578,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1130.35546963736,828.374275786175,1436.71220946438
8,Goa,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",37.8367790212136,21.9829526508184,57.1889521187239,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1410.84643326377,907.539618166053,2008.34405610021
9,Haryana,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",22.375637161407,14.4907180039521,31.8096888495607,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1014.59773482157,723.234217765256,1343.15628448301
10,Karnataka,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",30.9228004659413,18.887088748798,44.2012878913003,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1328.31411728577,889.533707754403,1794.95323879497
11,Kerala,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",23.482652790858,14.7023754459144,33.2635230483595,"YLDs per 100,000",0,0,0,"DALYs per 100,000",898.081681271395,622.791060027692,1179.11592389582
12,Maharashtra,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",31.9498677183557,20.7115026413412,43.5135350813171,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1342.25750887166,952.836011018292,1729.91054482734
13,Manipur,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",37.9238411023328,20.3543796936532,58.9109695705351,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1440.41776159563,832.490158149958,2187.02655931644
14,Meghalaya,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",32.4316614457261,19.2231020191528,48.4500130853513,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1304.39840188981,809.606762929616,1881.29332111671
15,Mizoram,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",23.7261398525445,14.529116035276,34.6660619011025,"YLDs per 100,000",0,0,0,"DALYs per 100,000",975.409458611563,624.599746542939,1388.21461632215
16,Nagaland,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",32.5618687582004,18.3185202255883,51.0695263699039,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1255.05282886282,751.632787583637,1895.76475916622
17,Odisha,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",30.7324638281427,19.1616670896758,43.6587491852324,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1290.73550926786,879.403594676896,1755.24665545949
18,Punjab,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",23.4893579944371,13.1519346467236,35.0254154628818,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1072.34473851583,693.239266029581,1471.38377759916
19,Rajasthan,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",19.861445734468,14.1900541022436,26.5479392954584,"YLDs per 100,000",0,0,0,"DALYs per 100,000",875.766904279252,649.949942481895,1127.12391048173
20,Sikkim,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",35.8391472102914,18.8690541507358,58.1798781458077,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1423.10588906855,825.706708127214,2190.36356987081
21,Tamil Nadu,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",25.2365776872148,14.7083865423238,36.8373328741227,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1132.74281267094,761.334546105368,1528.79856209951
22,Tripura,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",27.6832372862822,14.5173663201744,44.1073698020844,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1155.74847179777,677.101013039976,1758.45231087985
23,West Bengal,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",20.9043413418291,13.3098870825807,29.5892301299537,"YLDs per 100,000",0,0,0,"DALYs per 100,000",850.155849138522,593.035716266607,1136.94826957922
24,Bihar,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",14.9967384057394,9.16386008145455,21.7457480425194,"YLDs per 100,000",0,0,0,"DALYs per 100,000",674.016951022436,456.054858684536,911.754674825365
25,Chhattisgarh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",36.094148717079,20.9125216884482,52.6049177651414,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1582.80617300348,1001.03545560293,2221.54990251848
26,Jharkhand,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",15.876624571404,9.09812574181692,24.2126723673444,"YLDs per 100,000",0,0,0,"DALYs per 100,000",669.712552481938,421.468450686351,968.712948496921
27,Madhya Pradesh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",23.0731198097604,15.0280766778404,33.5218815660955,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1073.01105653047,758.967607283691,1472.56861535793
28,Uttar Pradesh,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",25.1864557375892,17.5500895722957,34.1476530019468,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1045.48693873534,759.931731643257,1375.80559649618
29,Gujarat,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",22.3359133152249,15.3494361815661,30.0522602633623,"YLDs per 100,000",0,0,0,"DALYs per 100,000",977.801395161638,717.901079582861,1244.96617791723
30,Telangana,2019,All ages,Both,All causes,Alcohol use,"Deaths per 100,000",19.2516395516384,9.44065258382427,32.7332083376633,"YLDs per 100,000",0,0,0,"DALYs per 100,000",889.930708605113,521.157811223907,1356.41274520777
