,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",0.391529542898959,0.249331654632531,0.606337285547177,"YLDs per 100,000",0.157279825748016,0.0921390578364665,0.248008569022167,"DALYs per 100,000",10.2263725682625,6.40986798712844,15.7133285616901
1,Arunachal Pradesh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.43795387387124,1.69391586472223,3.22221002671325,"YLDs per 100,000",0.9994836085138,0.642121739554269,1.47373218482214,"DALYs per 100,000",67.9761829104428,47.2756421278168,92.0055344776812
2,Uttarakhand,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.65075089874002,1.05877407868991,2.44608876433491,"YLDs per 100,000",0.789488879381865,0.46033336485485,1.28285953094152,"DALYs per 100,000",47.9834758686263,30.1970624245524,71.9431793151024
3,Himachal Pradesh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",0.916017098534179,0.576000854299186,1.34646960335551,"YLDs per 100,000",0.413135782450916,0.231785095119337,0.699450153104844,"DALYs per 100,000",27.3620338909627,16.9036291277928,40.6971716311327
4,Other Union Territories,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.95038880640183,1.3871893217262,2.64609202456067,"YLDs per 100,000",1.01543130411205,0.62985207861554,1.58666882469313,"DALYs per 100,000",50.4476006115734,34.7794847769413,69.1935161635743
5,Andhra Pradesh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.24761331993923,0.842872818423453,1.8897858280008,"YLDs per 100,000",0.614460170517347,0.37425978723535,0.972217943371482,"DALYs per 100,000",30.0860020617947,20.0841730676509,46.0577033122241
6,Assam,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",6.26706362221656,4.04568993586651,8.14044316683057,"YLDs per 100,000",2.47371881725538,1.5603783532154,3.64710201766132,"DALYs per 100,000",188.773954494638,121.867225516418,245.965523230427
7,Delhi,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.45188348116638,0.949749662278967,2.11865886574947,"YLDs per 100,000",0.768117164329449,0.454185265399676,1.23557995288136,"DALYs per 100,000",43.1745784824107,28.0998038898701,63.8389798901455
8,Goa,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.01749888174858,0.644307503359656,1.50392499385387,"YLDs per 100,000",0.564890929552919,0.332540528416417,0.903277300522321,"DALYs per 100,000",24.9477147954299,16.0410314973361,36.9545360762493
9,Haryana,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",0.73266092530907,0.467446943829193,1.03832820315367,"YLDs per 100,000",0.335851666153689,0.192396305082753,0.527365557651683,"DALYs per 100,000",20.5811301865208,13.1303600277641,29.2222883572866
10,Karnataka,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",4.20452051949637,3.12788910149863,5.62629018916257,"YLDs per 100,000",1.85779011056029,1.20355193240123,2.73748517120028,"DALYs per 100,000",108.895658333677,80.092633186548,145.745270038664
11,Kerala,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",3.0354762976033,2.16400389172182,4.0819206399498,"YLDs per 100,000",1.51996014569592,0.976147200545436,2.27143158154658,"DALYs per 100,000",67.0899724315003,47.3525965414787,91.1598484847493
12,Maharashtra,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",3.82238737579008,2.81330950478055,4.94120141935952,"YLDs per 100,000",1.80010922410908,1.16864796423794,2.61742112984502,"DALYs per 100,000",102.469072145889,74.3081280035644,134.196107510428
13,Manipur,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.70016595218037,1.21264306812058,2.30517665227,"YLDs per 100,000",0.774235610045183,0.493692524052877,1.16537863281576,"DALYs per 100,000",50.4413657024094,35.7175661884435,69.1484053656988
14,Meghalaya,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",7.51809385886932,2.75441150134921,10.474162777366,"YLDs per 100,000",2.61423214284672,1.20789010451809,3.99266522040101,"DALYs per 100,000",217.941947111866,79.2797921195298,314.764827334916
15,Mizoram,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",4.5655826755957,2.12073654469541,6.57992052522706,"YLDs per 100,000",1.61521908190945,0.85237001063025,2.51035585402411,"DALYs per 100,000",128.681682488823,57.7370277617755,187.650808638572
16,Nagaland,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",3.36510176367082,1.81821458917656,4.85698105966844,"YLDs per 100,000",1.29438120170602,0.69796588270569,2.01547968083482,"DALYs per 100,000",94.540964321437,52.9252713490268,138.569318557728
17,Odisha,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",4.07845234567148,3.04370657847638,5.36221371018973,"YLDs per 100,000",1.78832509935791,1.1615020903924,2.60786051613664,"DALYs per 100,000",107.386876627014,79.0910257991918,141.919815631658
18,Punjab,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",0.817427255231865,0.509294930862589,1.18159271338435,"YLDs per 100,000",0.367363116358147,0.206953989693169,0.608239881256281,"DALYs per 100,000",24.8946988798823,15.4141126753318,35.7610959008109
19,Rajasthan,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.04971347673835,0.697585502612946,1.50185125901198,"YLDs per 100,000",0.485291174069965,0.290504914261384,0.761215151944072,"DALYs per 100,000",31.3490989138111,20.9338444524097,45.0265752511205
20,Sikkim,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.87514919004104,1.85390302742096,3.87873644168599,"YLDs per 100,000",1.17131685282297,0.739819487412185,1.80161917568258,"DALYs per 100,000",77.4662813420404,49.1302533632699,106.072310941235
21,Tamil Nadu,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.38509373045954,1.77642625678418,3.10780756953942,"YLDs per 100,000",1.13698251804152,0.744305049669195,1.65244694133106,"DALYs per 100,000",60.8438386390504,44.8765446018446,80.020992226466
22,Tripura,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",4.20912675535782,3.09466026829003,5.46862064313213,"YLDs per 100,000",1.79037862830051,1.16630883511196,2.64429218034808,"DALYs per 100,000",116.259271475424,84.0643970558586,154.073237215574
23,West Bengal,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.31216235131265,1.70610364165432,3.12215714932764,"YLDs per 100,000",1.14505467207069,0.73662658682915,1.68266600213423,"DALYs per 100,000",62.2295865023259,45.5377595243095,84.3475928647287
24,Bihar,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",0.862463477076418,0.57620407378194,1.61535306508517,"YLDs per 100,000",0.38772934206643,0.230357829889032,0.630256707473122,"DALYs per 100,000",23.4318628262866,15.5077471691972,43.1203184246725
25,Chhattisgarh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",3.11742105913741,2.31292528850821,4.04899824989202,"YLDs per 100,000",1.33507626831646,0.868480502322357,2.01287857747111,"DALYs per 100,000",87.4680193834873,64.3917084868031,116.075783863625
26,Jharkhand,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.60931300217176,1.08319811632668,2.54268808563526,"YLDs per 100,000",0.735450483403141,0.453284962998268,1.19491637441194,"DALYs per 100,000",41.6289527088348,27.4669903277279,66.1172144531705
27,Madhya Pradesh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",3.89941358748141,2.96005714144668,5.01645264079144,"YLDs per 100,000",1.77669160726764,1.14416667705802,2.56263842432578,"DALYs per 100,000",109.480889974778,81.6014482190583,143.187066546368
28,Uttar Pradesh,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.67556953396655,1.92680228141958,3.8679621315629,"YLDs per 100,000",1.18793423827779,0.742158413261822,1.79629102262804,"DALYs per 100,000",75.3980750612924,53.3448230494639,106.214992399212
29,Gujarat,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",2.78263017715807,1.87488683179612,3.91236001969214,"YLDs per 100,000",1.48184076725472,0.870798846858108,2.31951651770526,"DALYs per 100,000",91.2556718401738,61.3210673222188,129.303237593731
30,Telangana,2019,All ages,Both,Chewing tobacco,"Deaths per 100,000",1.17983920552753,0.792327107187108,1.75228922812153,"YLDs per 100,000",0.620386721184739,0.368199164792409,0.993350152407907,"DALYs per 100,000",29.5437080176132,19.7948232221611,45.0084843642362
