,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.829822,0.561592,1.272192,"YLDs per 100,000",62.05926765,38.95865297,91.56179094,"DALYs per 100,000",130.311760402739,95.2934343036723,175.976972426553
1,Arunachal Pradesh,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.960802,1.290559,2.879353,"YLDs per 100,000",129.6909868,81.92121446,183.6907383,"DALYs per 100,000",295.944937759051,220.749715378746,387.079092726337
2,Uttarakhand,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.622529,1.103815,2.287,"YLDs per 100,000",107.5906216,67.36518669,153.1709772,"DALYs per 100,000",229.050522552172,170.586657937723,298.966338750368
3,Himachal Pradesh,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.599489,0.388156,0.928679,"YLDs per 100,000",73.02127192,45.7433969,106.9756714,"DALYs per 100,000",123.034754353349,88.0797028344871,163.369458311255
4,Other Union Territories,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.562538,0.36904,0.868898,"YLDs per 100,000",84.21953853,54.08550644,119.5348564,"DALYs per 100,000",128.636323095042,92.8100472222179,171.64060533928
5,Andhra Pradesh,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.866641,0.618316,1.218977,"YLDs per 100,000",96.59656155,60.3048393,140.5056668,"DALYs per 100,000",166.710902199322,124.193887748593,216.041287842386
6,Assam,2019,All ages,Both,Child underweight,"Deaths per 100,000",3.580426,2.532654,4.922021,"YLDs per 100,000",82.65063364,52.69704023,116.4491473,"DALYs per 100,000",383.752122807947,287.018408825135,503.221150241835
7,Delhi,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.272695,0.92471,1.733878,"YLDs per 100,000",93.26224346,58.67711691,133.1213597,"DALYs per 100,000",184.347599130944,138.391140224795,236.163973730236
8,Goa,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.509713,0.339288,0.794359,"YLDs per 100,000",120.5848474,74.49162669,174.2944688,"DALYs per 100,000",161.607105824133,111.234097454159,218.840731601615
9,Haryana,2019,All ages,Both,Child underweight,"Deaths per 100,000",2.153794,1.521976,3.102058,"YLDs per 100,000",101.7709017,63.29021969,147.1154196,"DALYs per 100,000",273.635173208157,208.544090297167,360.803890692279
10,Karnataka,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.130467,0.77551,1.558235,"YLDs per 100,000",123.3170591,78.12704753,175.2258412,"DALYs per 100,000",210.501446195842,156.863798123689,276.270769007167
11,Kerala,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.137792,0.084645,0.232126,"YLDs per 100,000",93.38785964,57.95376327,136.2396937,"DALYs per 100,000",104.193936179837,68.3533398639657,147.616380675969
12,Maharashtra,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.999694,0.696295,1.350513,"YLDs per 100,000",152.7458382,95.91257692,217.7186177,"DALYs per 100,000",220.273201941891,159.134262722017,290.137070571563
13,Manipur,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.8877,0.6025,1.299115,"YLDs per 100,000",42.28582063,26.72039381,62.17120334,"DALYs per 100,000",113.274795235934,84.0116749993937,151.499570058766
14,Meghalaya,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.703058,0.876326,2.945849,"YLDs per 100,000",117.6195074,74.4035539,172.1408844,"DALYs per 100,000",265.805708144111,175.582579938664,378.213188898743
15,Mizoram,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.783973,0.422617,1.43734,"YLDs per 100,000",90.25932743,56.34198424,132.506101,"DALYs per 100,000",158.582427058308,109.711543226354,225.005764827649
16,Nagaland,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.732374,1.085827,2.743876,"YLDs per 100,000",77.31546294,48.76462571,112.3752928,"DALYs per 100,000",224.114105370945,159.850224580967,312.560984017441
17,Odisha,2019,All ages,Both,Child underweight,"Deaths per 100,000",2.413522,1.523962,3.482127,"YLDs per 100,000",102.4834285,64.98422751,144.1698059,"DALYs per 100,000",284.730334523212,197.104382489256,385.247477466499
18,Punjab,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.926118,0.663496,1.304799,"YLDs per 100,000",71.58730194,45.17939317,103.3298973,"DALYs per 100,000",145.809655232473,109.417098933616,190.111095380526
19,Rajasthan,2019,All ages,Both,Child underweight,"Deaths per 100,000",3.554123,2.350197,5.33299,"YLDs per 100,000",109.4990508,70.61400049,155.8633479,"DALYs per 100,000",412.264405333564,296.303489612374,567.587111462312
20,Sikkim,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.460063,0.299432,0.724221,"YLDs per 100,000",53.68002168,33.28544698,78.69662271,"DALYs per 100,000",91.1714335777602,65.0754290093783,126.054685747374
21,Tamil Nadu,2019,All ages,Both,Child underweight,"Deaths per 100,000",0.896095,0.595597,1.257952,"YLDs per 100,000",129.2891677,81.37542361,186.7270431,"DALYs per 100,000",179.2772100182,126.634312536458,239.657488151769
22,Tripura,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.211592,0.858222,1.698129,"YLDs per 100,000",107.0424243,68.09770702,153.7901492,"DALYs per 100,000",192.464913983682,141.151653013569,254.307155897317
23,West Bengal,2019,All ages,Both,Child underweight,"Deaths per 100,000",1.050813,0.760878,1.444645,"YLDs per 100,000",111.6634972,70.80944052,162.5805965,"DALYs per 100,000",193.011548091633,144.037314405591,251.476689712705
24,Bihar,2019,All ages,Both,Child underweight,"Deaths per 100,000",4.376224,3.204331,6.196555,"YLDs per 100,000",120.9623381,77.13649711,171.6237866,"DALYs per 100,000",496.379894781873,382.545043013973,655.575279252134
25,Chhattisgarh,2019,All ages,Both,Child underweight,"Deaths per 100,000",2.867084,1.883227,3.978226,"YLDs per 100,000",108.1203378,68.7919883,153.4279314,"DALYs per 100,000",321.543561348743,229.170261122736,421.972575828794
26,Jharkhand,2019,All ages,Both,Child underweight,"Deaths per 100,000",2.554235,1.72406,3.567198,"YLDs per 100,000",191.1814616,120.6085466,269.7208509,"DALYs per 100,000",401.960141322502,296.596704541384,516.179521813469
27,Madhya Pradesh,2019,All ages,Both,Child underweight,"Deaths per 100,000",4.837539,3.328695,6.841154,"YLDs per 100,000",151.0889903,95.9120178,211.110288,"DALYs per 100,000",556.322896999654,417.057884174895,727.565376488268
