,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0188526663810402,0.00487310179821598,0.0430385115556459,"YLDs per 100,000",0.132852761637971,0.0403406677883544,0.277453063766055,"DALYs per 100,000",1.79061363837812,0.471560741013475,4.04395349045688
1,Arunachal Pradesh,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0433867165262027,0.011291297411524,0.0966280957426721,"YLDs per 100,000",0.164357683933961,0.0507284574411174,0.344968728180605,"DALYs per 100,000",3.96241758776123,1.0687747686802,8.76786767307272
2,Uttarakhand,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0287051098016913,0.00793217506127619,0.0638258454887651,"YLDs per 100,000",0.18854842871984,0.0540411442112781,0.385807744303444,"DALYs per 100,000",2.70838508700704,0.739030563970436,5.94599048093395
3,Himachal Pradesh,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.017213996401832,0.0049685991959038,0.0378263287111433,"YLDs per 100,000",0.154407687220962,0.0442126993178188,0.315877415411904,"DALYs per 100,000",1.6597424369699,0.491181184785602,3.59618567548629
4,Other Union Territories,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0139028887069219,0.0036906398629382,0.0291629666806347,"YLDs per 100,000",0.10625095882043,0.0323747997030981,0.213820660190578,"DALYs per 100,000",1.32063379067813,0.366583901775276,2.71461758598931
5,Andhra Pradesh,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0285188864250172,0.00861180560636971,0.058897408076069,"YLDs per 100,000",0.167463460724262,0.0496734660944256,0.333743271490468,"DALYs per 100,000",2.65489330374067,0.808451203370797,5.45104986637246
6,Assam,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0549372421634046,0.0152645190107285,0.120146925445146,"YLDs per 100,000",0.117940855981855,0.0334857076011378,0.238316353946192,"DALYs per 100,000",4.9261337884048,1.37456179078629,10.6612055141566
7,Delhi,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0402268160914742,0.011045833383916,0.083406714409072,"YLDs per 100,000",0.204507535894618,0.0598740829827465,0.411616872928437,"DALYs per 100,000",3.72600683798259,1.04122561930066,7.59675077720503
8,Goa,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0116905757245923,0.00338926127505442,0.024589246176168,"YLDs per 100,000",0.177598509793568,0.0534119597422504,0.367401731219636,"DALYs per 100,000",1.1985260172896,0.370241794260426,2.44301560055598
9,Haryana,2019,All ages,Both,All causes,Discontinued breastfeeding,"Deaths per 100,000",0.0352598510397535,0.0096626866125152,0.0778303932029898,"YLDs per 100,000",0.153283500004859,0.0453419477964301,0.30093815926491,"DALYs per 100,000",3.24608287225294,0.897618820193569,7.19425495855223
