,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",41.116256793571,24.7266866251089,60.6959168472862,"YLDs per 100,000",327.974862235528,193.403492757679,496.461065940121,"DALYs per 100,000",1458.97021394205,890.128540139008,2092.63529528995
1,Arunachal Pradesh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",19.1644346239015,10.2049216302034,29.8127370129241,"YLDs per 100,000",251.895478069106,142.375962766468,392.772299875963,"DALYs per 100,000",813.245681360662,465.95169929836,1223.58518511396
2,Uttarakhand,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",51.4644758809256,29.2512063278683,77.2757635158476,"YLDs per 100,000",434.43235602379,259.404309663553,647.963555829546,"DALYs per 100,000",1888.33705866857,1118.54635796093,2754.20478215016
3,Himachal Pradesh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",52.2962276852802,30.1347101821859,78.2166324872662,"YLDs per 100,000",457.704079108058,271.014682150496,674.086820917672,"DALYs per 100,000",1849.59429575715,1130.89856949652,2633.25233837205
4,Other Union Territories,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",49.1226417850386,27.5606015370525,73.0156547034515,"YLDs per 100,000",464.264263143099,278.805930582105,676.538162272459,"DALYs per 100,000",1756.17603301543,1053.90643334369,2496.39038022897
5,Andhra Pradesh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",54.2422357666464,30.5503961969287,82.0734127059365,"YLDs per 100,000",465.165828830558,273.620272666236,688.167375684745,"DALYs per 100,000",1945.63758440362,1163.52989719494,2812.90678456132
6,Assam,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",38.7768898196666,20.996926725838,58.7348622059402,"YLDs per 100,000",303.8250535439,166.968960471195,476.887881277539,"DALYs per 100,000",1483.6260501903,822.112989078117,2188.456008794
7,Delhi,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",47.8996244360674,30.4714121097149,66.2131230076172,"YLDs per 100,000",523.41308577943,330.510970617151,752.466853243726,"DALYs per 100,000",1855.27062171504,1219.42242289722,2496.12129185975
8,Goa,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",85.5848900752156,52.0432564955341,122.168217082525,"YLDs per 100,000",714.782496215601,448.967403742526,1027.4373019945,"DALYs per 100,000",2756.43170055631,1785.32539573995,3728.84885059194
9,Haryana,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",50.9382656193343,30.760145361349,73.4891603690184,"YLDs per 100,000",445.700813489765,272.188437811536,646.152017642774,"DALYs per 100,000",1934.52181834296,1226.91599230756,2660.6290479259
10,Karnataka,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",57.5975911936098,32.5221533925911,87.5902744624623,"YLDs per 100,000",440.011582745331,260.367008678738,666.521854742389,"DALYs per 100,000",2038.41442554033,1204.50813411077,2978.27063935775
11,Kerala,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",73.7940013730484,43.2750232669877,107.22543032976,"YLDs per 100,000",699.976281255156,428.692867083019,1015.42811167569,"DALYs per 100,000",2495.65440205448,1560.62597035094,3482.83541362417
12,Maharashtra,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",48.0053624066655,27.0413799758962,72.0355832915124,"YLDs per 100,000",393.929926950588,232.989231601868,590.278355512102,"DALYs per 100,000",1735.19233336204,1018.33631994849,2487.90300188245
13,Manipur,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",31.7326680334914,16.0997788016388,51.4774512380819,"YLDs per 100,000",315.015001062949,168.755810638759,504.981762752425,"DALYs per 100,000",1198.5045213363,648.170732505008,1891.05078875605
14,Meghalaya,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",17.966887130561,8.88749120614793,30.4106350163355,"YLDs per 100,000",216.334069111202,111.880074035153,354.212996850309,"DALYs per 100,000",714.639474899421,374.410498995498,1139.43540765194
15,Mizoram,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",20.0501660790418,10.455736203344,32.8370011246591,"YLDs per 100,000",261.676350053218,146.630173192858,410.940294900057,"DALYs per 100,000",789.192682982207,440.558248431733,1225.80342236285
16,Nagaland,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",22.5514349958107,11.408916571291,37.684036438511,"YLDs per 100,000",233.679194273198,121.707928962747,376.336740747287,"DALYs per 100,000",841.460400732455,450.231876266428,1319.40888791498
17,Odisha,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",31.5333287247411,16.5038715261515,51.0561593882581,"YLDs per 100,000",309.054987576964,163.273757751593,494.152876349644,"DALYs per 100,000",1183.9946565971,652.935515405939,1833.37709260397
18,Punjab,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",103.014554795344,66.9136126626769,139.762842786306,"YLDs per 100,000",657.78057213009,424.475145085215,940.296109805309,"DALYs per 100,000",3546.74272269227,2381.73879316109,4749.08540092736
19,Rajasthan,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",26.2888641969746,14.2169241903767,41.2775217674754,"YLDs per 100,000",251.102061664794,141.083320678714,390.651276294999,"DALYs per 100,000",1017.33773147476,585.814174482788,1515.46291999989
20,Sikkim,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",38.9627612863743,23.3030685398102,57.4575584871163,"YLDs per 100,000",439.605705516772,269.416576307803,646.208431367684,"DALYs per 100,000",1464.4057327829,922.4046300329,2071.08009632136
21,Tamil Nadu,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",98.4181237557684,63.9617529415827,138.090042591888,"YLDs per 100,000",734.122769609081,474.841809321292,1045.21345983992,"DALYs per 100,000",3431.40369964034,2307.54518041889,4623.98170968352
22,Tripura,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",29.889201426414,13.5467899633881,52.1584686578224,"YLDs per 100,000",243.313364308734,113.496429239427,413.751270482228,"DALYs per 100,000",1104.08762717828,517.491412784581,1842.78273902633
23,West Bengal,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",35.1688709335089,17.8219586489833,56.9070538478216,"YLDs per 100,000",296.001665612841,150.770992234847,474.959148750217,"DALYs per 100,000",1285.42038530081,671.539993569981,2000.41357221407
24,Bihar,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",19.1100924533571,8.76324889554577,32.5488946515552,"YLDs per 100,000",165.092687977403,77.7185555306312,281.100505467842,"DALYs per 100,000",702.147222570172,335.178675370052,1163.31475844509
25,Chhattisgarh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",35.9200141739834,18.7422109820186,58.0834785363759,"YLDs per 100,000",281.269872897958,149.806635027777,452.359367550154,"DALYs per 100,000",1310.64026211578,707.987249986027,2051.65996616162
26,Jharkhand,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",18.6077589268317,9.19901806791038,30.3740953403475,"YLDs per 100,000",214.291421679166,109.204430343201,349.075155230968,"DALYs per 100,000",713.068009246602,379.828910400198,1114.6751852437
27,Madhya Pradesh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",29.6313409797116,16.984505718754,44.1839320456038,"YLDs per 100,000",247.064561588175,140.901786796877,380.657472661978,"DALYs per 100,000",1086.12945538077,645.030653117903,1611.40466273277
28,Uttar Pradesh,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",25.1043753063505,12.8991381906849,40.6352915875231,"YLDs per 100,000",227.406698668265,119.387767473248,367.42201145302,"DALYs per 100,000",950.202302130004,506.555484973265,1477.58438534715
29,Gujarat,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",52.8916884211196,32.6352155863723,75.7823967326688,"YLDs per 100,000",391.605413599496,238.26899914874,575.591933667635,"DALYs per 100,000",1909.76770100883,1203.76912749072,2682.66178534707
30,Telangana,2019,All ages,Both,All causes,High body-mass index,"Deaths per 100,000",42.3060884451463,23.0214224033083,66.2332079128522,"YLDs per 100,000",384.756748463783,223.005872258528,585.928255487106,"DALYs per 100,000",1582.92654012017,934.749451348117,2327.61992424759
