,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",87.5421654029828,69.623599057021,109.025791417522,"YLDs per 100,000",121.326931195891,87.2505004756862,158.773025647036,"DALYs per 100,000",2189.83259007544,1746.19930471145,2701.52444126565
1,Arunachal Pradesh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",46.61931880387,36.5161564653245,59.3854570634868,"YLDs per 100,000",104.652610082656,76.225681731144,137.068494321361,"DALYs per 100,000",1221.20871741253,951.495954841271,1580.42995700169
2,Uttarakhand,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",111.261895310229,88.9221849741565,142.753209266092,"YLDs per 100,000",153.195822871894,109.54112755091,199.841374462437,"DALYs per 100,000",2946.49000418385,2348.22428617666,3699.0402076466
3,Himachal Pradesh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",128.093873093046,103.378695418613,162.845986367751,"YLDs per 100,000",196.037218177434,139.76536639528,255.833086444944,"DALYs per 100,000",3114.86709838192,2540.55597028928,3890.56888443591
4,Other Union Territories,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",83.0138161677135,63.1635760715109,106.689414635141,"YLDs per 100,000",132.533859537354,93.6506982157795,175.180204337773,"DALYs per 100,000",2093.8784792272,1590.15556805298,2706.73791949231
5,Andhra Pradesh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",144.092203155427,110.665353467319,181.801326457488,"YLDs per 100,000",193.820911593464,140.903438846172,251.509623499703,"DALYs per 100,000",3387.05420366647,2630.06901358435,4302.20184911633
6,Assam,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",95.9084235047388,77.909650595618,116.283819739488,"YLDs per 100,000",153.066621067735,109.623076061644,198.40594207844,"DALYs per 100,000",2710.26895158195,2225.20526039029,3298.22226939239
7,Delhi,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",80.2664643385216,66.1323031627912,97.6706723810273,"YLDs per 100,000",136.422589110852,97.8705420403798,181.159762691229,"DALYs per 100,000",1959.67662138327,1590.25119051834,2395.09159856053
8,Goa,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",158.23638748446,121.410654164237,197.678756376211,"YLDs per 100,000",229.840258575064,165.049441833837,296.600455591393,"DALYs per 100,000",3478.40630308422,2667.32897399837,4331.96636600413
9,Haryana,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",97.7245523501339,77.6187401736467,119.522193422162,"YLDs per 100,000",140.272593475779,102.400841681687,183.913440016957,"DALYs per 100,000",2603.99328910296,2078.57844267169,3173.97080613905
10,Karnataka,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",155.014162983687,123.15901303692,187.600375411671,"YLDs per 100,000",176.114113472802,127.77102524026,228.092480780698,"DALYs per 100,000",3893.96902704249,3115.5738139445,4707.64748314075
11,Kerala,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",190.88437870694,153.69164975437,233.668835170038,"YLDs per 100,000",307.951639178058,224.724007156323,398.946160149466,"DALYs per 100,000",4070.52738137186,3339.01958526304,4986.40165767675
12,Maharashtra,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",123.465203597333,98.5725650702265,152.81742543325,"YLDs per 100,000",186.192329700017,135.325051651966,244.434400480236,"DALYs per 100,000",2983.65421494931,2414.00513972201,3658.98871201114
13,Manipur,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",84.1846657600531,66.0793167418458,104.725634112668,"YLDs per 100,000",140.824495472784,100.706025737132,183.515811860751,"DALYs per 100,000",2152.08029587511,1672.9481167836,2696.90054227893
14,Meghalaya,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",52.7822257571183,42.032057782416,66.4293919010986,"YLDs per 100,000",109.28272322096,78.6656494464853,142.504133430354,"DALYs per 100,000",1303.58791778891,1034.57977111192,1670.97149927096
15,Mizoram,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",35.4351684296587,26.5844457885586,56.6891179647934,"YLDs per 100,000",99.6681747393106,72.0902062474662,131.532656551981,"DALYs per 100,000",884.056767253272,668.615721058574,1440.92906736207
16,Nagaland,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",88.8256378155194,69.1913087086255,110.403695547587,"YLDs per 100,000",151.60468612779,108.965402960937,196.541875744796,"DALYs per 100,000",2052.63858768074,1581.21123311947,2573.53042813662
17,Odisha,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",94.1669737371429,72.7237960078257,120.732071986392,"YLDs per 100,000",165.837506927358,118.988758926973,216.388973814713,"DALYs per 100,000",2411.05024013823,1895.2821599272,3057.83681483069
18,Punjab,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",199.220782895845,160.31972532876,239.431315065881,"YLDs per 100,000",234.937372484249,169.714181495405,302.863929614701,"DALYs per 100,000",5143.81885339694,4120.39458580902,6178.54917765588
19,Rajasthan,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",67.3838817834309,52.8813526107041,90.056402804936,"YLDs per 100,000",111.550409508101,79.8538230230076,145.420790078248,"DALYs per 100,000",1819.2080298072,1448.70589446598,2354.42739359417
20,Sikkim,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",84.0286933977852,66.8648298612518,105.529223911647,"YLDs per 100,000",185.319352387469,132.875482637351,239.582885166996,"DALYs per 100,000",2110.00691539394,1681.74773391146,2615.1471133618
21,Tamil Nadu,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",170.303403377724,133.818607498759,209.217864678353,"YLDs per 100,000",197.888872460607,143.115429766736,260.59384958036,"DALYs per 100,000",4154.84409523544,3273.88297052207,5078.45614241974
22,Tripura,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",132.20202173867,105.784509970325,161.436744709894,"YLDs per 100,000",190.354849442319,136.03719593608201,248.187496565471,"DALYs per 100,000",3219.90470203814,2538.94822031033,4001.28227032896
23,West Bengal,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",135.050762976967,107.25942552854,163.652610542072,"YLDs per 100,000",212.578095647152,153.297742094633,276.162655776892,"DALYs per 100,000",3355.1044989694,2695.1365107063,4031.29709366321
24,Bihar,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",74.8746965802149,59.322253164602,91.8416875233622,"YLDs per 100,000",105.803099553461,75.4315966198808,137.93788284418,"DALYs per 100,000",1906.48909159197,1509.4550961655,2363.80513464213
25,Chhattisgarh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",109.699539482121,88.2810917453016,131.705790025007,"YLDs per 100,000",141.487948878826,102.02432147918,184.896565903995,"DALYs per 100,000",2932.6337786503,2353.87243988325,3562.79994845433
26,Jharkhand,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",66.249951393065,54.1065056686578,79.7550951430973,"YLDs per 100,000",126.122413709493,89.4993050022881,163.929682498121,"DALYs per 100,000",1614.1835534851,1337.04892215833,1940.6387829274
27,Madhya Pradesh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",83.4688543324437,66.5430434469342,101.621412512104,"YLDs per 100,000",118.555113324329,84.9781865139425,155.127398839742,"DALYs per 100,000",2182.586266195,1742.3968570964,2659.99480371249
28,Uttar Pradesh,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",66.9935152116682,53.2562717390893,87.4878192418937,"YLDs per 100,000",90.3835878294876,64.9148709718816,120.478111124335,"DALYs per 100,000",1762.06615149429,1414.48562637917,2248.32767046843
29,Gujarat,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",113.288716332867,90.5424048358959,137.698732202209,"YLDs per 100,000",153.86081720676,111.552711209813,201.083607657747,"DALYs per 100,000",3011.59547677014,2423.19793831517,3687.23735889894
30,Telangana,2019,All ages,Both,All causes,High systolic blood pressure,"Deaths per 100,000",97.1276155046466,72.1242441172887,126.413735679931,"YLDs per 100,000",135.114079990804,96.0914871674213,177.970348641796,"DALYs per 100,000",2423.15644822049,1825.49658340986,3180.85870019161
