,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",43.4468616652955,32.1533558757504,56.2888271730374,"YLDs per 100,000",28.4544124951166,18.8772537526198,39.9874121009096,"DALYs per 100,000",1201.09093281579,909.373444877335,1521.24073043616
1,Arunachal Pradesh,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",11.2408556840152,7.51503261918041,16.1407254052011,"YLDs per 100,000",19.1141317252887,12.6159570008156,27.2362457973364,"DALYs per 100,000",332.570231310383,227.600570243396,465.996010798221
2,Uttarakhand,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",49.2516469628099,36.2437847559155,63.7221913385647,"YLDs per 100,000",34.5294006984897,23.2316229364335,48.2182448476667,"DALYs per 100,000",1477.83001600015,1108.35667382408,1916.24210617152
3,Himachal Pradesh,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",56.7744304560659,42.04123935809,75.2938176122522,"YLDs per 100,000",45.0770403291232,30.240249781653,62.5074415596237,"DALYs per 100,000",1538.39551369239,1168.46806287187,1990.01762214757
4,Other Union Territories,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",47.2111654186163,33.7855702501734,62.933034972863,"YLDs per 100,000",37.2862501171469,25.2730778852736,51.9489334437068,"DALYs per 100,000",1251.46849468367,906.143996847648,1680.43898057495
5,Andhra Pradesh,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",63.831276799208,45.779627071523,86.0967190105747,"YLDs per 100,000",43.1187864858682,28.6490807088659,59.6944000016099,"DALYs per 100,000",1706.9990081083,1254.15462890689,2273.95270039333
6,Assam,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",20.8264568601267,14.6080140015123,28.4926492803991,"YLDs per 100,000",25.819419561089,16.9021552770019,37.2130611345097,"DALYs per 100,000",636.670254761643,465.440517276903,845.608417843903
7,Delhi,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",46.6272664444897,35.1677611616368,60.0805441866635,"YLDs per 100,000",39.1171270545675,26.1527140011762,54.3691727831622,"DALYs per 100,000",1285.43999225119,990.021692054167,1619.44872131532
8,Goa,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",63.5860914241188,43.9898153508326,86.4444662308981,"YLDs per 100,000",48.7508407816459,32.0794250536663,68.0149581919605,"DALYs per 100,000",1484.21200749429,1056.56206916755,1964.48699910273
9,Haryana,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",55.1391594411438,41.4417325262241,71.5205847890919,"YLDs per 100,000",35.6700669570635,23.8408549249739,49.0393452321309,"DALYs per 100,000",1645.7550651106,1273.91437003783,2086.52612367098
10,Karnataka,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",65.6104312279337,48.4651066625793,86.1627131402432,"YLDs per 100,000",36.6083608268718,24.0257981275033,51.7218055851904,"DALYs per 100,000",1895.15470090672,1453.64931461577,2427.47557138623
11,Kerala,2019,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",95.4289018005358,69.9900173238784,124.597507963315,"YLDs per 100,000",79.4870905399841,53.6299689928969,108.770539298708,"DALYs per 100,000",2147.85525624772,1657.66332009796,2697.30491035454
