,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",63.8461731259274,46.6235360032958,86.4477817038299,"YLDs per 100,000",457.746803915263,320.868439806526,618.322730623492,"DALYs per 100,000",1815.18057107412,1410.46189844764,2293.64552792484
1,Arunachal Pradesh,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",36.5307259875898,28.0942123008322,47.0977827449228,"YLDs per 100,000",363.499424899914,252.978682968786,490.759413172693,"DALYs per 100,000",1191.90600751395,948.377710094916,1460.890896735
2,Uttarakhand,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",93.5743942898554,70.5707848586413,129.753130619497,"YLDs per 100,000",655.167022685287,458.597735877918,884.305646773163,"DALYs per 100,000",2898.87496844944,2289.09950060152,3725.72734478095
3,Himachal Pradesh,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",76.2828419921329,54.4581750318333,107.184661820214,"YLDs per 100,000",598.459508128632,418.517144231103,805.446087172741,"DALYs per 100,000",2233.39192075116,1706.00655390475,2874.3814588737
4,Other Union Territories,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",85.4435075394841,64.1121987074339,115.146394871407,"YLDs per 100,000",637.529463150639,444.842924369609,863.46662161974,"DALYs per 100,000",2502.69875036327,1936.90699100663,3175.79462172435
5,Andhra Pradesh,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",100.756671662623,70.3132860079722,138.590415017476,"YLDs per 100,000",651.525674868216,454.355094018819,878.157207715594,"DALYs per 100,000",2736.02796896849,2070.39544999419,3593.34475573412
6,Assam,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",70.1132454394522,54.1320009233229,88.6812887838261,"YLDs per 100,000",506.014986054999,350.547918540935,680.656081051665,"DALYs per 100,000",2240.71265023836,1790.87286557493,2754.69859742893
7,Delhi,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",69.9622050170603,52.0033413989351,93.7752166299499,"YLDs per 100,000",628.009295734236,443.889346164076,843.491213845773,"DALYs per 100,000",2162.07720881583,1702.0327339168,2681.44197983142
8,Goa,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",140.695147700232,103.625961457647,185.532267878815,"YLDs per 100,000",887.872477446696,622.009227569764,1194.22087787749,"DALYs per 100,000",3698.29346060266,2845.76374178832,4638.73307724487
9,Haryana,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",75.4727673634544,55.6442695047939,102.920267468208,"YLDs per 100,000",573.051139273354,404.359524517067,777.976715581469,"DALYs per 100,000",2300.51357431129,1785.7185491618,2908.75981122661
10,Karnataka,2019,All ages,Both,All causes,High fasting plasma glucose,"Deaths per 100,000",124.919468204795,95.1213006722834,161.010560822988,"YLDs per 100,000",721.422090783231,508.592310893435,968.894815197573,"DALYs per 100,000",3529.65896559008,2809.4391997997,4336.66999186083
