,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",20.5937803774245,2.72879692710913,47.3189000928384,"YLDs per 100,000",24.9023525033317,3.64929352346899,55.4057806728505,"DALYs per 100,000",529.80414726968,74.5334232334786,1179.03346982301
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",5.45978311730224,0.267036149100498,16.6263837984096,"YLDs per 100,000",11.291782622988,0.716343635086594,31.041263006409,"DALYs per 100,000",161.716340122633,8.09416800336067,460.169080522583
2,Uttarakhand,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",12.4945466575938,0.66004687036278,36.4599291057845,"YLDs per 100,000",16.0585699905754,0.972018222028312,45.3919274873409,"DALYs per 100,000",368.951022137313,21.3043737740386,1018.08499836068
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",13.0313921836796,0.652419431546167,39.3636266791153,"YLDs per 100,000",19.5288471154206,1.09594484423167,54.3350562893052,"DALYs per 100,000",359.811076526396,18.6744400554466,1030.80075261644
4,Other Union Territories,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",10.8799610853854,0.537779393750976,32.2722550263003,"YLDs per 100,000",17.2613513131946,1.07537200436256,49.3643268964418,"DALYs per 100,000",301.424378852932,15.3605611487311,844.80724776108
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",11.5418874773415,0.582109781085141,38.5936588281931,"YLDs per 100,000",15.6698030377881,0.861208184842148,49.938243400739,"DALYs per 100,000",304.383724363869,14.391619908537,965.478305549052
6,Assam,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",10.6786637001412,0.531568870000063,30.5015943867593,"YLDs per 100,000",16.2802670655736,0.974427094601225,45.2535493859512,"DALYs per 100,000",328.179549698835,17.3865714662855,876.432286009642
7,Delhi,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",12.6269450041005,0.677522362307592,32.3374953406899,"YLDs per 100,000",19.5142837282032,1.17990503110013,52.5563054266887,"DALYs per 100,000",317.019572563661,18.3055811125885,804.987150464262
8,Goa,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",15.2747865427151,0.787962363847116,47.115863169524,"YLDs per 100,000",23.47219569338,1.3759700252141,67.7772042380262,"DALYs per 100,000",381.615199391112,20.1569715485869,1098.49419991894
9,Haryana,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",10.2188773868707,0.518351220156073,30.8043235384866,"YLDs per 100,000",12.6929443035535,0.714151891612046,38.768567404358,"DALYs per 100,000",286.540605871244,14.6849280950256,833.090251260331
10,Karnataka,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",16.1025410713278,0.907763251632225,46.826512206811,"YLDs per 100,000",18.113712725362,1.07079583449613,52.1983054735637,"DALYs per 100,000",460.440022954452,27.150864855515,1261.07991950049
11,Kerala,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",18.5685198239229,1.10292491082533,53.0833807678907,"YLDs per 100,000",32.019637882867,2.13471284675252,90.2852353109228,"DALYs per 100,000",457.262784319287,29.4042850939796,1218.88912691583
12,Maharashtra,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",19.1273904754981,3.40379611045757,45.5138783581359,"YLDs per 100,000",28.1081796416259,5.38289787038217,67.0086689626391,"DALYs per 100,000",523.172610299836,107.808550988295,1185.19633636561
13,Manipur,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",9.29640857031092,0.469123384824386,27.792475847071,"YLDs per 100,000",15.9600948991862,0.980291554909248,45.1489812472777,"DALYs per 100,000",264.424996718758,14.0964995088436,756.461052067222
14,Meghalaya,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",5.48084467039722,0.266170913281682,16.8095601509906,"YLDs per 100,000",11.7683184056171,0.69933120274633,32.8998292247814,"DALYs per 100,000",156.10951307649,8.00266049040073,456.749802923171
15,Mizoram,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",5.31658218043587,0.22795107926833,18.0252462646669,"YLDs per 100,000",11.9925593864898,0.694868082324272,34.0332046961442,"DALYs per 100,000",150.607323835349,6.67924043569634,480.709966097388
16,Nagaland,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",8.40233763932538,0.421349896761612,25.4085609459704,"YLDs per 100,000",14.8861548711557,0.893225985637905,41.1995942096058,"DALYs per 100,000",225.612253551534,11.8775811806374,646.479188893756
17,Odisha,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",10.5467110367885,0.512101163473143,31.4865583273278,"YLDs per 100,000",18.5694560647513,0.9913189811594,52.7513890301485,"DALYs per 100,000",302.35660833765,15.2447291134778,854.54543698828
18,Punjab,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",18.6773674937182,0.969544698526066,53.4369781963063,"YLDs per 100,000",21.7852407934395,1.22458182674683,61.2650211287803,"DALYs per 100,000",540.357989174196,29.1460501684225,1447.48859284607
19,Rajasthan,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",8.05485434789621,0.437950561231977,23.2981052603602,"YLDs per 100,000",12.519175168516,0.734086064642168,35.7824530110247,"DALYs per 100,000",245.002794077644,13.9763615090041,695.359579954004
20,Sikkim,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",7.99647408032245,0.412750080372747,23.681647005115,"YLDs per 100,000",17.4804485013541,1.07141330124487,49.2096758416413,"DALYs per 100,000",225.408031798276,12.0829205389263,622.601757171394
21,Tamil Nadu,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",25.4457651244188,3.18545184050408,61.978205566256,"YLDs per 100,000",32.7442799688933,4.81555797295973,76.30313618256,"DALYs per 100,000",755.574272064483,112.634056856047,1691.67586247769
22,Tripura,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",13.0954302249858,0.681252725745724,38.2420597070667,"YLDs per 100,000",19.9985927683785,1.20735558672194,55.3495923666912,"DALYs per 100,000",367.826039885538,20.108050873969,1041.47559963484
23,West Bengal,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",13.6719298171583,0.697260514423212,40.2228967311659,"YLDs per 100,000",22.7605813883752,1.32026171020688,64.237323211319,"DALYs per 100,000",382.637043444465,19.8429938206481,1051.83631892302
24,Bihar,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",8.19628132265527,0.411736043128618,23.8730987423679,"YLDs per 100,000",11.8034693688012,0.697384113488825,33.7367831663548,"DALYs per 100,000",232.50529531888,12.374281725768,642.095378779876
25,Chhattisgarh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",13.0023367714031,0.682341332203729,37.1330151765385,"YLDs per 100,000",16.4169660825951,0.980843784116367,47.0709634316869,"DALYs per 100,000",385.721054355203,21.0472390655343,1057.19466375474
26,Jharkhand,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",6.68296876767374,0.326064343095161,20.2693093999536,"YLDs per 100,000",13.5577183694026,0.785510795641582,39.1702833997879,"DALYs per 100,000",184.332779821994,9.37750620512346,522.689859500465
27,Madhya Pradesh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",9.86186984061526,0.543986309006906,28.9272906223259,"YLDs per 100,000",13.5235875868043,0.829217615663411,38.8026814588293,"DALYs per 100,000",288.789916074659,16.5793489544381,800.455163671083
28,Uttar Pradesh,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",8.62644898927643,0.460958171588467,26.5343427529037,"YLDs per 100,000",10.9596434484072,0.659162521551715,31.5587436861252,"DALYs per 100,000",255.724270348479,14.3112368319103,736.326802014254
29,Gujarat,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",12.5298815345295,0.684312357366968,36.0394913614419,"YLDs per 100,000",16.406243543401,0.95466744342701,46.2777411243715,"DALYs per 100,000",370.611467037735,21.5449687473994,1022.43636284796
30,Telangana,2019,All ages,Both,All causes,Diet high in sodium,"Deaths per 100,000",11.2774845317689,0.613026546733084,33.187169325473,"YLDs per 100,000",15.7851739749646,0.946084182894136,45.2956248191665,"DALYs per 100,000",320.770196763369,18.5937674734851,895.671454050565
