,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",34.3689545895954,27.1845106993063,42.6165945677469,"YLDs per 100,000",106.517030523593,75.6955541445301,139.118132239598,"DALYs per 100,000",956.617985340468,775.440063129969,1166.55187791139
1,Arunachal Pradesh,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",13.5582518112328,10.5531657226041,17.1635988485648,"YLDs per 100,000",75.865787444429,54.4903890488819,99.4126762679935,"DALYs per 100,000",447.688049084241,359.152433244798,553.935583180529
2,Uttarakhand,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",33.317295830667,25.9664504783307,42.5361858446361,"YLDs per 100,000",108.28654014322,77.5832047672945,141.325246379861,"DALYs per 100,000",992.374743961174,788.379633444911,1242.2023687231
3,Himachal Pradesh,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",38.2006493004053,29.7225464659696,47.8388049619779,"YLDs per 100,000",118.829160792677,85.7175670324179,154.938316737545,"DALYs per 100,000",1035.68308070862,825.656894701118,1281.6763203469
4,Other Union Territories,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",43.0096950751699,33.7894911858816,55.2026920713081,"YLDs per 100,000",137.523991067273,100.49589479713,179.059335924929,"DALYs per 100,000",1189.04326120641,933.99418294898,1496.28907462902
5,Andhra Pradesh,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",38.0564350641899,28.2111491031193,49.2913324493469,"YLDs per 100,000",119.498038957202,87.9318717571312,154.541538583682,"DALYs per 100,000",1004.23278803644,772.654263568345,1282.03944230108
6,Assam,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",28.3954505846162,23.2753364223858,34.4398076217651,"YLDs per 100,000",102.543172302342,73.788053466491,134.172529528233,"DALYs per 100,000",913.556769153749,764.152663703628,1093.90975978612
7,Delhi,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",31.4109121750446,25.1718112942021,37.8981150789753,"YLDs per 100,000",135.290210559715,96.8202614251841,176.518478937389,"DALYs per 100,000",911.133911592243,750.436950217176,1085.2285797088
8,Goa,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",53.5424971267429,40.4319740256216,69.0826137517918,"YLDs per 100,000",152.770081111743,109.720461117072,198.497884177759,"DALYs per 100,000",1307.01372421056,1007.36157072465,1666.61832567746
9,Haryana,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",29.6180855749038,22.8722979386309,37.3265395402885,"YLDs per 100,000",100.345748719311,72.1488262485827,131.163042011495,"DALYs per 100,000",875.299936469584,705.454155300767,1078.80697232408
10,Karnataka,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",46.340715259984,35.9283220126742,56.8724311553109,"YLDs per 100,000",114.237244493166,82.1286694930826,149.139378952381,"DALYs per 100,000",1300.93378122899,1043.25680379286,1567.61724458875
11,Kerala,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",70.2856459129464,55.3526804676602,86.680119063837,"YLDs per 100,000",210.922535177857,156.533965991815,274.165634594759,"DALYs per 100,000",1680.50048945555,1367.23065754115,2055.49038047534
12,Maharashtra,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",43.201583101699,33.7559985103824,53.8386232058188,"YLDs per 100,000",162.801605819761,119.407843898365,209.899303504337,"DALYs per 100,000",1207.03081767159,981.79731206402,1462.61050457517
13,Manipur,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",29.2223734441627,23.1086051960204,36.3741246026408,"YLDs per 100,000",98.1361767093124,70.7081208616705,127.637374847256,"DALYs per 100,000",839.86891861518,666.902680205641,1039.04578418825
14,Meghalaya,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",16.9729838318693,13.7115887365046,20.830131548552,"YLDs per 100,000",81.9204375563428,59.2504339551819,106.779663556653,"DALYs per 100,000",526.28992902099,428.11195022431,642.4081867782
15,Mizoram,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",17.0662972835472,13.0990046491889,22.0833446833825,"YLDs per 100,000",87.6600990932592,62.7471964487983,114.614849978007,"DALYs per 100,000",531.762115955904,417.155753934201,681.786342155487
16,Nagaland,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",25.4483385062745,19.710915995151,32.3871670709561,"YLDs per 100,000",92.7538408933857,66.0402451696292,120.906130937894,"DALYs per 100,000",720.738602294415,560.813616000737,911.551901332719
17,Odisha,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",32.5664303792415,25.8589377404174,40.6135036785368,"YLDs per 100,000",115.785368900737,84.8475496958429,150.930085871649,"DALYs per 100,000",979.989220708217,802.972052994088,1198.74723904886
18,Punjab,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",58.0079743006463,44.1419439526795,72.0381215705862,"YLDs per 100,000",145.116913757045,104.541823370968,188.476937435912,"DALYs per 100,000",1612.62707285056,1274.63227894598,1990.98090834035
19,Rajasthan,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",17.4321987691618,13.2859107044894,22.8416795519287,"YLDs per 100,000",75.8766147369539,54.1280742589013,99.0615485658381,"DALYs per 100,000",551.630847576841,439.879509389381,693.968026092566
20,Sikkim,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",26.7211493207388,20.5445166587387,33.516146657016,"YLDs per 100,000",112.017900304813,80.4352428672476,146.414954917605,"DALYs per 100,000",777.912535578062,611.674043992744,964.597342012925
21,Tamil Nadu,2019,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",72.7480724208359,57.8302883197125,89.199960004403,"YLDs per 100,000",163.931567054231,118.970762749505,213.924251455063,"DALYs per 100,000",1970.48094613316,1596.93672350739,2382.01923905903
