,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",6.38049344421731,2.97544902072466,11.0405653324644,"YLDs per 100,000",15.8791348940926,7.30044225424087,26.3565142567608,"DALYs per 100,000",178.341540654331,85.4384942470413,307.296413492801
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",2.32016163742525,1.15095879696425,3.90306789412445,"YLDs per 100,000",11.6700388922313,5.2341350626763,19.761680203546,"DALYs per 100,000",71.2999380729292,36.6618382768046,118.129909759997
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.33230242260336,2.44372496784666,9.22782928168871,"YLDs per 100,000",17.2678938458719,7.67960086211799,29.3837533129157,"DALYs per 100,000",165.342683153246,76.5716017093195,284.619215548867
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.26302406495342,2.3565495884671,9.35424941580783,"YLDs per 100,000",16.5470117790763,7.39100446875946,28.2011892836686,"DALYs per 100,000",145.276411224572,66.9398637152273,255.444117431776
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",3.88121899612217,1.71922043776534,6.71408880889294,"YLDs per 100,000",14.2701721924781,5.75022519071393,25.4821991572092,"DALYs per 100,000",106.234249650044,49.2389361167592,182.892517590221
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",8.08999400542077,3.85272676132649,13.5678707943391,"YLDs per 100,000",20.4649046122552,9.317062032838,34.4055401621124,"DALYs per 100,000",215.929333372195,107.212952353323,371.860588427385
6,Assam,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",6.12479071903835,3.00717487264768,9.9820198491909,"YLDs per 100,000",19.7139067896695,9.3519205555834,32.3613347840781,"DALYs per 100,000",194.373860386932,98.7079851010513,311.510300832939
7,Delhi,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",2.6381534721428,1.1367916676622,4.63194872766654,"YLDs per 100,000",11.2071144391734,4.66046006770112,19.7845769206864,"DALYs per 100,000",77.2634558775308,33.7561492610038,132.638034348077
8,Goa,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",3.84640129953341,1.80609895924734,6.75635571459348,"YLDs per 100,000",13.0249179493494,5.5249497914888,22.9775144462192,"DALYs per 100,000",90.3475764158191,44.2741034650672,157.316924372947
9,Haryana,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",4.60975880556816,2.0641784665536,8.34614988926496,"YLDs per 100,000",13.937798828275,5.7940299910473,24.0410651514499,"DALYs per 100,000",143.435525750294,63.3531518953103,250.335230992106
10,Karnataka,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",8.58191402206361,4.03981589557832,14.1937370252272,"YLDs per 100,000",21.3075583188053,9.42874959470565,36.3665661956505,"DALYs per 100,000",249.711809318398,119.847860684003,417.654415626071
11,Kerala,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",8.46865737722284,4.03830691293035,14.005239515115,"YLDs per 100,000",24.5279502371143,10.8510158736052,40.5955669440298,"DALYs per 100,000",194.86345734673,94.3385948806606,317.829054875811
12,Maharashtra,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.71319825075939,2.60653769253552,9.66386359299924,"YLDs per 100,000",15.3277566268192,6.95170898942523,25.8701659466344,"DALYs per 100,000",155.456968736899,74.1817328295846,255.697780880285
13,Manipur,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.98768244251478,3.08207924427392,9.78160813988628,"YLDs per 100,000",22.0112311611567,10.442117440739,35.875500830328,"DALYs per 100,000",171.780297448084,87.8099785772594,277.284024173122
14,Meghalaya,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",2.6650649245469,1.23844159175839,4.30635048552169,"YLDs per 100,000",11.9597943542925,5.53444834193677,20.3520636884236,"DALYs per 100,000",77.9240583928735,37.5036871624759,124.948150589465
15,Mizoram,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",1.79871663873216,0.893774983996918,3.14696288775696,"YLDs per 100,000",12.8906671135782,5.72400149483349,21.713315259968,"DALYs per 100,000",55.1287241269802,28.6036017757065,95.3981731957127
16,Nagaland,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",3.76597659153902,1.81907704312634,6.43453347422672,"YLDs per 100,000",13.9022411061427,6.28232861450016,23.096162242919,"DALYs per 100,000",102.015421882205,51.284427800409,171.441004800117
17,Odisha,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.29608467179384,2.56380499524464,8.935535879682,"YLDs per 100,000",20.6630075214476,9.36885404413859,34.076381446988,"DALYs per 100,000",156.284523709185,77.5966254592982,255.760015513277
18,Punjab,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",9.21491367101879,3.84934730778761,15.6427344086476,"YLDs per 100,000",21.3086350313251,8.95361286563231,36.3206526793209,"DALYs per 100,000",270.894712604014,117.926368510045,471.539105870987
19,Rajasthan,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",4.39031306052084,1.98239821418659,7.79229632177918,"YLDs per 100,000",14.4733042566979,6.95321542306098,24.7823365914314,"DALYs per 100,000",141.488779425943,66.8108790051941,242.826443622078
20,Sikkim,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",2.59432105583412,1.22639200129734,4.46802484865602,"YLDs per 100,000",13.1013316865461,5.67515997653121,23.1184536296297,"DALYs per 100,000",75.5881382139323,37.6540613203298,131.28607166307
21,Tamil Nadu,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",9.12935457155823,4.1856838847639,15.7927936646445,"YLDs per 100,000",24.0275307614845,9.96712169003043,40.8818266803795,"DALYs per 100,000",253.105374028024,114.358661525455,428.012312121355
22,Tripura,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",6.9817583618966,3.37200377386719,11.7760860673975,"YLDs per 100,000",19.3323014886317,9.08936838362094,31.9072387722304,"DALYs per 100,000",195.094827020224,98.4863862026956,327.217981039706
23,West Bengal,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",7.37619670709924,3.50725642679233,12.1128345867423,"YLDs per 100,000",21.0702858392678,9.91384781244987,35.3019068860015,"DALYs per 100,000",202.741112917276,97.7756916159673,331.009990353837
24,Bihar,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",6.30409595146956,3.13203440745241,9.89009576613168,"YLDs per 100,000",17.4527516193722,8.67182440362904,27.8131627741638,"DALYs per 100,000",182.785672212583,93.2647890491116,285.47407092044
25,Chhattisgarh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",7.14438045206503,3.45740191229927,11.5706633882311,"YLDs per 100,000",20.4367687042814,9.56715854814843,34.268591491325,"DALYs per 100,000",217.565459049115,109.787682102978,349.494620106619
26,Jharkhand,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",4.41455882282118,2.08953692295594,6.92841702810431,"YLDs per 100,000",17.5123295216602,8.31368351366202,28.307793969102,"DALYs per 100,000",123.52324412743,63.9267872685013,195.610776466032
27,Madhya Pradesh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",6.32806732673215,3.16360289427158,10.359715049706,"YLDs per 100,000",17.616361024268,8.43910415674744,29.4459101758609,"DALYs per 100,000",189.668998854056,96.7188773245992,309.497910724276
28,Uttar Pradesh,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.86234350170322,2.93506409522029,9.5133893555659,"YLDs per 100,000",17.695322194008,8.30137339840771,29.489986670437,"DALYs per 100,000",181.035436222983,96.3358296401134,289.553646872085
29,Gujarat,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",7.07416345015272,3.39959887749327,11.5554883579856,"YLDs per 100,000",16.4152410905379,8.55640290735784,26.1084935785271,"DALYs per 100,000",218.722984983266,110.586280889623,353.856378934593
30,Telangana,2019,All ages,Both,All causes,Diet low in fiber,"Deaths per 100,000",5.61942415892058,2.4498060582175,9.77243038152615,"YLDs per 100,000",16.3468984985072,6.89935379915728,28.183652573158,"DALYs per 100,000",162.698907778834,73.9098703008316,287.050799514282
