,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.903744991061471,0.565954350326062,1.23740717567903,"YLDs per 100,000",0.432024747468395,0.250628052028378,0.673926485288244,"DALYs per 100,000",21.3813721167119,13.4532697367633,29.4113132010017
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.599247809953644,0.377009137213387,0.83859641805854,"YLDs per 100,000",0.281950757501999,0.159826714960012,0.439710300413842,"DALYs per 100,000",14.5319829986853,9.09211790584256,20.4687115023521
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.3455568265488,0.858727087693731,1.86058730189223,"YLDs per 100,000",0.624045615773616,0.366273765799847,0.962321638047171,"DALYs per 100,000",34.8760826921341,22.4017398078752,47.8146296738393
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.39555671305458,0.895752188093076,1.93068041530842,"YLDs per 100,000",0.646802602363624,0.37087084717978,0.965375973076615,"DALYs per 100,000",32.6564626467847,20.7066310380369,45.1503024213759
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.978957152317593,0.604032429982624,1.37946016686537,"YLDs per 100,000",0.50958997941397,0.285149635033844,0.792520520791879,"DALYs per 100,000",24.548009418416,15.0779687331537,35.4895652378077
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.17601294520537,0.733896236324491,1.64855432655991,"YLDs per 100,000",0.524077083967652,0.300931955900137,0.810724362024094,"DALYs per 100,000",25.6152195727613,15.9880169442198,36.6522097329057
6,Assam,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.855293348022991,0.554722670257751,1.18398387970602,"YLDs per 100,000",0.37660968699488,0.218845274132424,0.57624965759194,"DALYs per 100,000",22.7628846027827,14.7459078684621,31.353515863182
7,Delhi,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.834693517482997,0.53046878127178,1.15301833378414,"YLDs per 100,000",0.440254694045006,0.251223368352188,0.677810666547931,"DALYs per 100,000",21.2509886817339,13.5177030306026,29.4701740689943
8,Goa,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.36807467586044,0.82898285404694,1.94613479048876,"YLDs per 100,000",0.770786781572887,0.438356737472464,1.22119978100543,"DALYs per 100,000",31.2972761349421,18.9299766121894,45.1864763824109
9,Haryana,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.981954496546544,0.622945851147027,1.3646662665775,"YLDs per 100,000",0.45562538360398,0.267461328639035,0.7060167366825,"DALYs per 100,000",24.5990245620607,15.6192927934306,34.2580833940343
10,Karnataka,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.39201835326076,0.932104364220101,1.90706520385581,"YLDs per 100,000",0.600234675022359,0.361764373384275,0.889011233272502,"DALYs per 100,000",31.9319275524664,21.2990665316972,44.361891649558
11,Kerala,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",3.03169637186006,2.31854332980584,3.77446707010265,"YLDs per 100,000",1.65478979041126,1.11339706886168,2.36654232655613,"DALYs per 100,000",65.1041757127437,49.7610572702516,81.3685485521568
12,Maharashtra,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.58058453740345,1.12240290949834,2.1183900823961,"YLDs per 100,000",0.760403463696967,0.487640111490192,1.14068737744999,"DALYs per 100,000",36.8468229449326,25.8455376383517,50.1468959281158
13,Manipur,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.873892471592581,0.553038524785752,1.24905311310424,"YLDs per 100,000",0.394385693468787,0.226015363871165,0.609726779239233,"DALYs per 100,000",21.0548645019413,13.2274525899029,30.0576608350898
14,Meghalaya,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.711139264096928,0.446137220552285,0.988589631126283,"YLDs per 100,000",0.308487276641113,0.178281399145724,0.47562862581482,"DALYs per 100,000",16.9431394594851,10.6412220747836,23.7993018164465
15,Mizoram,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.30944705924998,0.832583097714122,1.87878002061858,"YLDs per 100,000",0.621598884085601,0.346806106538396,0.979590475469655,"DALYs per 100,000",32.4314756762407,20.7050971275954,46.343837373662
16,Nagaland,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.913477232060373,0.570843583973105,1.26883536817495,"YLDs per 100,000",0.40912264426339,0.233477534751027,0.642523957189499,"DALYs per 100,000",21.0728961544109,13.0648762469766,29.9681037688173
17,Odisha,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.51758273981329,1.00229808765794,2.0824044438842,"YLDs per 100,000",0.665240785885158,0.393439879475529,1.02339395835133,"DALYs per 100,000",39.4600670574216,26.2874459000675,53.8309567349978
18,Punjab,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",1.28655322637567,0.819915493133084,1.76945588352578,"YLDs per 100,000",0.626087759549726,0.356062611870172,0.950228602118608,"DALYs per 100,000",30.9182089207165,19.8466367854142,42.6403973068914
19,Rajasthan,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.964329924827553,0.608709863914153,1.37365214180271,"YLDs per 100,000",0.442266684184909,0.249766150782729,0.679857962489768,"DALYs per 100,000",24.8895584660697,15.7385074849753,35.4536737501122
20,Sikkim,2019,All ages,Both,All causes,Diet low in milk,"Deaths per 100,000",0.942341403903691,0.59329450153504,1.3513566884233,"YLDs per 100,000",0.461985258428973,0.263521971086867,0.748325538378964,"DALYs per 100,000",22.2134264421668,13.8663080751613,32.1301642371846
