,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",15.3217389409645,9.78947459737853,21.2211033865091,"YLDs per 100,000",53.6989777263201,35.7344494738829,77.8156842280429,"DALYs per 100,000",454.264340036794,301.091347582933,612.975668961886
1,Arunachal Pradesh,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",8.06902988395811,5.76605962101464,11.1174956747426,"YLDs per 100,000",43.4816027227666,29.1852301439988,62.6436945341285,"DALYs per 100,000",259.0068166639,188.375386671804,351.566206700741
2,Uttarakhand,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",17.0844205256067,11.3200484816086,24.2602713457245,"YLDs per 100,000",71.9645592808009,47.4620095305704,104.941699809871,"DALYs per 100,000",547.913611615936,377.501954415822,760.106227917669
3,Himachal Pradesh,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",17.3334757880926,11.1775555607343,24.0040947628769,"YLDs per 100,000",69.1924117710016,46.2943438853531,99.7612196988199,"DALYs per 100,000",515.05809171078,346.935231486464,697.417560175841
4,Other Union Territories,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",15.2868520627187,9.82091526893636,21.8500744813465,"YLDs per 100,000",70.7864314474886,47.1717629852339,103.948194979347,"DALYs per 100,000",456.835175527354,309.234576196025,631.339101680743
5,Andhra Pradesh,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",23.0495983126021,15.0539111486165,32.0194402326801,"YLDs per 100,000",82.8022207294748,56.0404019320321,119.098096411519,"DALYs per 100,000",645.285198497787,433.1155888289,888.390904335472
6,Assam,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",18.2800814982349,12.9195524617565,24.6669891677386,"YLDs per 100,000",62.3702671449609,42.0751647865847,88.519779397797,"DALYs per 100,000",590.31368327963,422.430527842243,789.557206576475
7,Delhi,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",12.9948259712464,8.31150043240419,17.669239263442,"YLDs per 100,000",66.5690093413873,43.5134372491072,96.2279177389925,"DALYs per 100,000",409.174642860775,279.045423523235,543.313598186002
8,Goa,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",22.1387055948123,14.0578707867115,30.1844959885432,"YLDs per 100,000",94.6426606938344,61.3103381842019,140.23760032097,"DALYs per 100,000",596.672020201341,404.288369729526,802.666672589493
9,Haryana,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",15.7290500761046,9.74093060987628,21.9065662457535,"YLDs per 100,000",63.2843036214003,42.1050482469362,92.584876195736,"DALYs per 100,000",503.786698578299,327.857780603789,681.577449884672
10,Karnataka,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",25.8151590923288,17.4935844383352,34.8426338272163,"YLDs per 100,000",84.8893869900554,56.6076138152163,123.671000676629,"DALYs per 100,000",757.530598316263,526.558186960711,1011.77632163928
11,Kerala,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",25.3836798430588,16.4909717315061,34.4759629504386,"YLDs per 100,000",100.511871017936,66.8472119868261,145.415076331633,"DALYs per 100,000",653.342389910237,454.155590364624,869.254354184007
12,Maharashtra,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",23.7805180735028,16.0161864345905,31.5088229811264,"YLDs per 100,000",79.9414007618597,54.5573780409314,114.607868885371,"DALYs per 100,000",673.953045047211,465.824711803449,887.768570455834
13,Manipur,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",15.6559324679874,10.9951063202579,21.4193056795512,"YLDs per 100,000",69.2719543854384,46.4706316519127,99.9429912879317,"DALYs per 100,000",476.551152170707,339.349535942747,643.348480032187
14,Meghalaya,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",12.3370782918712,7.26388922876442,16.9131480838725,"YLDs per 100,000",41.9038360615109,27.9832477294265,59.5799764418166,"DALYs per 100,000",376.131922847236,230.816836106603,511.989011199242
15,Mizoram,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",8.91333097540535,5.80768720647566,12.7203966184781,"YLDs per 100,000",47.3292305588341,31.3863651669782,69.1055536593458,"DALYs per 100,000",276.871771881146,189.74636077403,387.107754721302
16,Nagaland,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",12.1657922792187,8.10269288115982,16.8942466452645,"YLDs per 100,000",50.4560510076742,34.0142622643757,72.336078027386,"DALYs per 100,000",354.379437588831,246.5833506919,487.598372443403
17,Odisha,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",16.842705413255,11.4384145880891,22.8931235188676,"YLDs per 100,000",75.3176202138513,51.093155626254,107.739445156114,"DALYs per 100,000",513.457389042999,361.367646143753,684.500941933932
18,Punjab,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",27.2126120270931,17.3960452531417,37.2979721261378,"YLDs per 100,000",88.4645872781494,59.0130001614545,128.646020020875,"DALYs per 100,000",832.086349867674,540.028528159044,1133.00204594371
19,Rajasthan,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",11.2536708542661,7.31478177236985,16.0650950739767,"YLDs per 100,000",49.4418741703348,33.1578996773487,71.632026751298,"DALYs per 100,000",372.315148044847,250.907297713706,502.818163167338
20,Sikkim,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",11.4301917012416,7.78997894256395,15.8287817681086,"YLDs per 100,000",62.3245147788276,40.8489144055408,90.8008821580392,"DALYs per 100,000",351.287727008725,246.051948773667,474.115394973857
21,Tamil Nadu,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",30.4076836866767,19.8354050910317,41.3695115970256,"YLDs per 100,000",111.062367394377,73.7971133854571,159.083143601117,"DALYs per 100,000",875.559137553063,582.051046390468,1170.55124272724
22,Tripura,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",20.282938326222,13.465021584938,27.6870223009913,"YLDs per 100,000",66.1868225616165,44.7618016334666,93.7445402226122,"DALYs per 100,000",602.640107801892,413.355137138126,821.7627088919
23,West Bengal,2019,All ages,Both,Diet low in fruits,"Deaths per 100,000",22.4248191914633,15.2780736101036,30.5965076874497,"YLDs per 100,000",77.7870416366977,52.7439335385949,109.188441414835,"DALYs per 100,000",656.189626438011,458.651565637031,878.469935836428
