,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",7.42755529176287,3.21465882184651,11.2518024940668,"YLDs per 100,000",11.3178262924867,2.77255050464594,22.8766360648725,"DALYs per 100,000",237.11211017914,109.880075578043,348.116685560329
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",2.08574238804892,0.966833689446358,3.35399257965021,"YLDs per 100,000",8.27865556820918,1.93437897119283,17.1369887133334,"DALYs per 100,000",73.2207771538187,35.1158432083378,112.192167884693
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",7.00915250938595,3.07735145410123,10.7507643328544,"YLDs per 100,000",13.8959286468291,3.14176162451589,28.8293150346783,"DALYs per 100,000",243.832341081407,109.41213339133,370.082046708608
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",6.71248847903745,2.82259285108279,10.9577908040754,"YLDs per 100,000",13.2243901573805,3.29386218919837,26.8890300181714,"DALYs per 100,000",219.600448209541,95.2795065101684,343.160794201372
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",5.08205465212774,2.22091623114298,8.39670226097247,"YLDs per 100,000",12.5915890947973,2.9360348850102,25.8871133974887,"DALYs per 100,000",165.990712704568,76.6020048152396,264.049782480329
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",24.1302187530379,15.8871876821731,32.5214368602756,"YLDs per 100,000",43.5587352456543,24.5182109125928,66.0917948260435,"DALYs per 100,000",620.334351269834,413.324100147957,846.53780373362
6,Assam,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",4.36649222506144,2.02544820665633,6.57993476083709,"YLDs per 100,000",12.1099222609174,2.61903531948222,25.2121329995869,"DALYs per 100,000",151.663512301186,75.1695946191937,225.228912506396
7,Delhi,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",4.19805921157609,1.83705439734786,6.72825434600535,"YLDs per 100,000",11.4628141837147,2.83168057153338,23.9492935928211,"DALYs per 100,000",148.039147174225,69.183054913534,229.64958347531
8,Goa,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",4.90280741444935,2.20114906901241,8.1298218224794,"YLDs per 100,000",14.5396698410127,3.76373813203051,29.5303623165446,"DALYs per 100,000",151.830107870327,75.3183934561775,248.852295716201
9,Haryana,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",6.67134311378583,2.78167407829744,10.1913987443316,"YLDs per 100,000",11.8593759759587,2.85959191811792,23.9458540580963,"DALYs per 100,000",239.287664559859,105.939083859356,359.679241730121
10,Karnataka,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",8.87711430424381,5.08576858671982,12.7789230216626,"YLDs per 100,000",17.9108784161152,8.05623854113703,30.5911095326333,"DALYs per 100,000",291.371860628969,172.172841790516,416.081630345836
11,Kerala,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",20.9606576676095,15.0794284986728,27.0132612580011,"YLDs per 100,000",63.2774499142988,39.5300392892917,89.5165825157215,"DALYs per 100,000",553.280375934565,410.312164286952,702.503169813951
12,Maharashtra,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",17.7475744361741,11.9714109363341,23.515179474424,"YLDs per 100,000",34.3647374199437,19.4475339248042,51.0255603883812,"DALYs per 100,000",469.494747328092,321.894194083774,625.869086254184
13,Manipur,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",4.76410204969219,2.20065592647969,7.27063580598489,"YLDs per 100,000",14.2975551303241,3.19862130041582,29.0133067673121,"DALYs per 100,000",149.440981473457,76.4509866468277,225.384316510216
14,Meghalaya,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",2.12320402511656,0.960138030038161,3.31114916111189,"YLDs per 100,000",7.88273014840004,1.87489398179331,15.7191893471244,"DALYs per 100,000",71.1677541460657,34.5101004276014,108.673289948194
15,Mizoram,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",1.46483165946476,0.657361558014727,2.56339063742056,"YLDs per 100,000",9.35857198780832,2.14655343518101,19.3365078860736,"DALYs per 100,000",51.2134665603068,24.4632604024676,85.7648678227518
16,Nagaland,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",2.98992299756229,1.19013536181541,4.95898563356078,"YLDs per 100,000",9.41719988024487,2.2390632644155,18.9313617508326,"DALYs per 100,000",95.5018872947016,43.5360331421884,150.441363957037
17,Odisha,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",7.07018205241505,4.34750329267152,9.81886490089052,"YLDs per 100,000",33.6247101316375,17.9617947734959,52.7978821464702,"DALYs per 100,000",234.87641063246,157.216256654812,315.579409935607
18,Punjab,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",12.7733860748699,5.65707648573227,19.363133353313,"YLDs per 100,000",17.1399062998563,3.92140380272016,35.0098361143753,"DALYs per 100,000",436.880898503167,208.694513132318,649.595174299649
19,Rajasthan,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",5.27048273285097,2.24426250659072,8.16612268996327,"YLDs per 100,000",10.0829893620867,2.46582372002977,20.3244187294523,"DALYs per 100,000",186.510100570812,85.7963258505571,277.627355447595
20,Sikkim,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",3.29053808702115,1.47495336692726,5.36317380931256,"YLDs per 100,000",11.3941648448572,2.86488046452395,22.8640769365324,"DALYs per 100,000",110.964335805994,52.9574003870979,174.084711569419
21,Tamil Nadu,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",14.2763901965124,8.14173672248926,20.5593752290548,"YLDs per 100,000",22.2352534670338,8.28771652374246,40.6411935084756,"DALYs per 100,000",351.034729642876,197.416077407603,511.34493661878
22,Tripura,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",5.56535607017096,2.32948315017784,8.71482824390737,"YLDs per 100,000",12.3958761933603,2.965868629342,25.0278860831268,"DALYs per 100,000",177.174724309847,78.5409665013567,273.494694948996
23,West Bengal,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",13.6229218422832,9.12606025535414,18.2220223663135,"YLDs per 100,000",21.916109031095,10.4654148989913,36.621724373039,"DALYs per 100,000",347.649190871255,236.606386497241,465.576711730921
24,Bihar,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",6.48017397445242,3.09278858464833,9.75114832867152,"YLDs per 100,000",10.8685958512256,2.92397813357497,21.520292370086,"DALYs per 100,000",196.065979778245,95.8353277557104,289.230668818748
25,Chhattisgarh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",6.04467861345871,2.80879575122913,8.96332103296223,"YLDs per 100,000",13.5465299791227,2.9703799360694,27.4382716245596,"DALYs per 100,000",208.420998287445,105.82712351673,307.358147563961
26,Jharkhand,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",4.54024929789504,2.15321395033212,6.7899289521946,"YLDs per 100,000",12.1795691849342,3.19827884709952,24.2031202084008,"DALYs per 100,000",139.059612571039,68.9759161331754,202.756199689174
27,Madhya Pradesh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",14.0605669833681,9.14451547447772,18.6353831797393,"YLDs per 100,000",29.9918988713692,16.121575547533,46.5458388640722,"DALYs per 100,000",435.140543999165,292.005550933954,569.897982913629
28,Uttar Pradesh,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",12.8628806637242,8.46108651304925,17.1611726711655,"YLDs per 100,000",27.6401022302849,14.0704860825956,43.50837533593,"DALYs per 100,000",395.979709301469,266.703103585346,522.412563455818
29,Gujarat,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",17.8754263538068,11.1214133365681,24.2795273714947,"YLDs per 100,000",21.5949721977136,9.8811185170336,37.386775991422,"DALYs per 100,000",540.728354081162,345.076013957548,726.918875038626
30,Telangana,2019,All ages,Both,All causes,Diet low in nuts and seeds,"Deaths per 100,000",10.0822749459067,5.14308638950761,15.4201229887711,"YLDs per 100,000",19.8386650823545,7.32609827739467,35.3664420041806,"DALYs per 100,000",345.049277037636,189.24357345878,516.318946524731
