,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",20.0427658698689,8.25000472477292,27.6124352676857,"YLDs per 100,000",27.9591173260698,13.1758375137314,43.6667743107083,"DALYs per 100,000",544.564277324065,229.764744920507,747.514815138568
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",6.45744861684868,3.26624010157829,9.03573462298365,"YLDs per 100,000",21.0487015165918,9.56607421894996,33.0953870044882,"DALYs per 100,000",189.030588202317,98.2918741013258,266.673784704235
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",21.6692123344003,9.58255722838301,30.1358170041306,"YLDs per 100,000",36.772171957021,16.2241860218483,58.0738998767315,"DALYs per 100,000",643.157388657627,290.525887594562,892.665383623138
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",22.7089151107724,9.62889504149521,31.2928688857557,"YLDs per 100,000",36.9417127558693,17.2492981828535,57.7654055432177,"DALYs per 100,000",614.984083788539,269.012766739272,845.110632300538
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",20.0677750964258,8.53320590354543,28.1829281119534,"YLDs per 100,000",35.9569555304104,16.0920657295954,56.7986279172989,"DALYs per 100,000",533.088482264834,234.745713404627,750.528134487715
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",28.940304938796,12.0024110668934,40.7738744107928,"YLDs per 100,000",40.9200528588596,18.9477415353651,63.4384449354244,"DALYs per 100,000",753.541105716573,316.056836848457,1073.13006657673
6,Assam,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",11.3073433114772,5.74452441192186,15.329761250357,"YLDs per 100,000",29.3705275239634,13.5374036245978,46.4056031063614,"DALYs per 100,000",344.749272475246,174.847204066517,462.239467280405
7,Delhi,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",17.5493872040734,7.62861355019629,24.1902316313196,"YLDs per 100,000",34.5202031101498,15.4824716025353,54.9247095830937,"DALYs per 100,000",489.888468725115,220.765158072135,679.413652641703
8,Goa,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",27.322473974919,12.263862074163,38.2396651232421,"YLDs per 100,000",48.5205988273582,21.7994353994679,77.3843410668067,"DALYs per 100,000",645.440221850361,298.448919788997,902.708113132452
9,Haryana,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",21.7838622426754,9.2104866601898,30.1501177642019,"YLDs per 100,000",33.1658209286657,14.9071202676599,52.7493021637691,"DALYs per 100,000",647.488493848167,281.869479953264,890.091228042841
10,Karnataka,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",12.9939705137335,6.87981265466473,19.20640068904,"YLDs per 100,000",21.463474971779,8.761341336167,36.4361061492614,"DALYs per 100,000",346.800285599975,183.385687819686,517.415932984423
11,Kerala,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",17.7191913397129,9.39925759241879,25.4976302915911,"YLDs per 100,000",30.3023189069875,13.4421182263135,49.1737956833511,"DALYs per 100,000",381.667184692564,208.062379780144,556.656683970255
12,Maharashtra,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",24.7450882133054,10.7651425060172,33.4116733044864,"YLDs per 100,000",36.3543342067906,17.5246082818645,56.3924500455477,"DALYs per 100,000",644.043685011211,288.094827495829,875.376973066673
13,Manipur,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",12.5064247639304,6.1925035606297,17.0672676688956,"YLDs per 100,000",33.4516090832566,14.88581188672,52.7120583328223,"DALYs per 100,000",343.428606999766,173.265001174758,469.417530952453
14,Meghalaya,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",6.6104926612445,3.30695932956689,9.214473228419,"YLDs per 100,000",20.1935929700963,9.55330317527661,31.2865380775366,"DALYs per 100,000",183.821090981433,94.9253572244028,257.23572103328
15,Mizoram,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",5.37038494966188,3.11155954938993,7.94448638869221,"YLDs per 100,000",23.7770428154863,10.9931161769958,37.6812843068484,"DALYs per 100,000",152.759504001405,93.5516699061304,222.684998992112
16,Nagaland,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",10.1718258074679,4.98111632646732,14.2751035577576,"YLDs per 100,000",25.2526535810877,12.1267125505865,39.259763534366,"DALYs per 100,000",262.387209292351,130.922871670437,370.997362333093
17,Odisha,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",3.0288950682967,1.76273072336598,4.54953302089057,"YLDs per 100,000",10.6432661807412,4.33486004808045,18.039570763066,"DALYs per 100,000",81.9539374213406,47.9612382052646,122.589777459029
18,Punjab,2019,All ages,Both,All causes,Diet low in whole grains,"Deaths per 100,000",38.4572431159553,16.0704117033985,53.0221433529781,"YLDs per 100,000",46.0759545698924,21.0649248446501,73.0386234713023,"DALYs per 100,000",1099.05967150915,468.337799601959,1522.43326372901
