,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,"DALYs per 100,000",62.542913708655,36.76678165122,96.8615519970808
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.699660944307529,0.411056630135032,1.08580782469684,"YLDs per 100,000",0,0,0,"DALYs per 100,000",101.226129132266,61.556259975549,160.023187712485
1,Arunachal Pradesh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.13064132244384,0.681437404253032,1.79277112921534,"YLDs per 100,000",0,0,0,"DALYs per 100,000",72.1089818116144,44.3153381242646,107.69985815398
2,Uttarakhand,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.803324582073745,0.490712876255076,1.2017285418773,"YLDs per 100,000",0,0,0,"DALYs per 100,000",45.1088488091816,25.3877436565682,70.8406577047003
3,Himachal Pradesh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.503230340274001,0.28374483730071,0.794494476255099,"YLDs per 100,000",0,0,0,"DALYs per 100,000",28.2695574154056,15.6972259198334,47.3964861344575
4,Other Union Territories,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.314926921998084,0.172715659008876,0.531062973808546,"YLDs per 100,000",0,0,0,"DALYs per 100,000",34.1302201101923,21.3797816034644,52.0261741960135
5,Andhra Pradesh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.379383587542172,0.236242922286498,0.580915128427841,"YLDs per 100,000",0,0,0,"DALYs per 100,000",159.365665283864,103.510473440847,233.341259167774
6,Assam,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.78830240180244,1.15670047644276,2.62274716786443,"YLDs per 100,000",0,0,0,"DALYs per 100,000",63.0238542765037,38.4659807447879,95.0777101848534
7,Delhi,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.70127169733896,0.424318796773453,1.06133753493172,"YLDs per 100,000",0,0,0,"DALYs per 100,000",36.3765379406823,20.4364997265039,57.5937061772278
8,Goa,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.403432188197799,0.226147833900136,0.642362490402631,"YLDs per 100,000",0,0,0,"DALYs per 100,000",89.466961766014,52.6163535465678,143.054231523019
9,Haryana,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.00109102481684,0.58193921175174,1.60356210879636,"YLDs per 100,000",0,0,0,"DALYs per 100,000",32.3286895461931,20.1556196781226,49.5063576900302
10,Karnataka,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.359060993655433,0.222246693036602,0.553047131505517,"YLDs per 100,000",0,0,0,"DALYs per 100,000",9.33410834538575,5.21099783521801,15.2099674643933
11,Kerala,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.101361826190961,0.0550216147504886,0.16724065642613,"YLDs per 100,000",0,0,0,"DALYs per 100,000",26.5486300120417,15.7956918849351,40.9813855472126
12,Maharashtra,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.292970789867994,0.171576502356166,0.456698971650909,"YLDs per 100,000",0,0,0,"DALYs per 100,000",45.0603443001893,26.2716572966929,70.4095824621333
13,Manipur,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.500917578602887,0.290446968496147,0.787360151827632,"YLDs per 100,000",0,0,0,"DALYs per 100,000",146.492321032395,82.9056073145709,232.126989316619
14,Meghalaya,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.64002990248063,0.924022836240281,2.60734873716642,"YLDs per 100,000",0,0,0,"DALYs per 100,000",103.458654330396,59.4721759339348,162.379854165132
15,Mizoram,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.15690868125486,0.663280716560454,1.81977092187405,"YLDs per 100,000",0,0,0,"DALYs per 100,000",105.588354410932,57.0992860307835,175.828542870648
16,Nagaland,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.18300627612102,0.635130415025853,1.97469829962003,"YLDs per 100,000",0,0,0,"DALYs per 100,000",79.1804763415272,45.2561255963107,124.206692147127
17,Odisha,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.884315418643286,0.501420759777737,1.38976340827351,"YLDs per 100,000",0,0,0,"DALYs per 100,000",55.964074050244,32.504152551957,85.0040073931016
18,Punjab,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.624850215574806,0.360917844205215,0.952196339980627,"YLDs per 100,000",0,0,0,"DALYs per 100,000",143.934190226892,80.8376534086585,232.241960646078
19,Rajasthan,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.61513823818918,0.905038429800009,2.61183942604041,"YLDs per 100,000",0,0,0,"DALYs per 100,000",55.8013095455522,33.8191038579315,82.8209226325924
20,Sikkim,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.621900688159748,0.374135371409621,0.925719865560692,"YLDs per 100,000",0,0,0,"DALYs per 100,000",26.5814894428912,16.4114637042663,40.6525533429891
21,Tamil Nadu,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.29390665977247,0.180898313517572,0.45336687698251,"YLDs per 100,000",0,0,0,"DALYs per 100,000",54.2029668080411,31.244823426106,88.0176986590169
22,Tripura,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.605068775388512,0.347191703765562,0.983687307223864,"YLDs per 100,000",0,0,0,"DALYs per 100,000",48.6589043214724,29.2745182572211,74.6009758101634
23,West Bengal,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.542912810151504,0.324132873559085,0.836061033134269,"YLDs per 100,000",0,0,0,"DALYs per 100,000",218.356923025266,147.8022293227,314.255411984407
24,Bihar,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",2.45100400832248,1.65776554787026,3.53272871097117,"YLDs per 100,000",0,0,0,"DALYs per 100,000",53.6165891171001,33.1474339848059,78.8419074726382
25,Chhattisgarh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.599781940334094,0.369669284543068,0.883738533983979,"YLDs per 100,000",0,0,0,"DALYs per 100,000",91.9943530106799,58.1317762861338,137.672212464888
26,Jharkhand,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.02804196770989,0.647820131460961,1.54250379370919,"YLDs per 100,000",0,0,0,"DALYs per 100,000",137.460771662708,81.0159984512862,209.464377725866
27,Madhya Pradesh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",1.54207611856686,0.907887665220838,2.35686230177957,"YLDs per 100,000",0,0,0,"DALYs per 100,000",268.811242091487,167.167600826844,402.247582354411
28,Uttar Pradesh,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",3.01833925701846,1.87264044209718,4.51587449823444,"YLDs per 100,000",0,0,0,"DALYs per 100,000",59.9303707992267,36.7752409754144,92.5922282116718
29,Gujarat,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.668720251935205,0.408594718478661,1.03427823404484,"YLDs per 100,000",0,0,0,"DALYs per 100,000",52.4233212726433,33.4992198455229,78.1917469788261
30,Telangana,2019,All ages,Both,All causes,Non-exclusive breastfeeding,"Deaths per 100,000",0.587016635592501,0.373905695905041,0.877293106092549,"YLDs per 100,000",0,0,0,,,,
