,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00922752664711398,0.00300579606747387,0.017603865959725,"DALYs per 100,000",1.17414393030862,0.437731943394208,2.12255841349633
1,Arunachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00410997740901618,0.00121444604480564,0.00777635653098988,"DALYs per 100,000",0.513666526252097,0.193130039616969,0.915779965872084
2,Uttarakhand,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.0105781470885648,0.00310508008386281,0.0206469818313431,"DALYs per 100,000",1.34435681569917,0.489328782925944,2.33893333333334
3,Himachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00990306555619343,0.00301567116434976,0.0188343991992123,"DALYs per 100,000",1.21856095457463,0.436859054287383,2.14671535703361
4,Other Union Territories,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00603062762818205,0.00187364277634577,0.0116400397791008,"DALYs per 100,000",0.715778575816655,0.250225951093663,1.2877233320506
5,Andhra Pradesh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00578351576382387,0.00176599978795078,0.0110705654930846,"DALYs per 100,000",0.675737455485378,0.234898478663963,1.23855954549066
6,Assam,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00564915973266446,0.0017854240796474,0.0110664230986823,"DALYs per 100,000",0.705991624201315,0.256232542204906,1.23733890133207
7,Delhi,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.0108628576807541,0.00308457554237653,0.0217162816387946,"DALYs per 100,000",1.31361212397622,0.442553951893864,2.43361055550187
8,Goa,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00582792206184194,0.00173471994043984,0.0111662944583962,"DALYs per 100,000",0.655490848307969,0.226481213530814,1.19429500356699
9,Haryana,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00669560666783575,0.00199950382085747,0.012767732475407,"DALYs per 100,000",0.827236241159454,0.30281783583953,1.48549881368091
10,Karnataka,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00814137864044502,0.00257237262679131,0.0154198807915583,"DALYs per 100,000",0.991091573389057,0.357263001667182,1.71127720096966
11,Kerala,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.016222611250394,0.00508519002343864,0.0302915698985142,"DALYs per 100,000",1.88326840521626,0.693652383507089,3.28029280772468
12,Maharashtra,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00706916167203258,0.00207884191155516,0.0134040922064746,"DALYs per 100,000",0.828280996915052,0.307486470854048,1.4185984991636
13,Manipur,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.0114717421810216,0.00344130088644437,0.0216396752586986,"DALYs per 100,000",1.41091922400949,0.481245219737626,2.52619198673625
14,Meghalaya,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00671512693506051,0.00222063846351376,0.0131913269467696,"DALYs per 100,000",0.832452835483935,0.32541475565181,1.50926316049878
15,Mizoram,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.0220209148840163,0.0058877527747907,0.0417677966270834,"DALYs per 100,000",2.78143728615576,0.955818583661447,5.00168417567572
16,Nagaland,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00248378038896734,0.000750761745655421,0.00493031289888993,"DALYs per 100,000",0.294842573477074,0.100613039998038,0.522094531901621
17,Odisha,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00514961394807411,0.00154998810085664,0.00997343127434297,"DALYs per 100,000",0.599917623332815,0.207212527900828,1.06329122038127
18,Punjab,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00732722746036585,0.00217505030921939,0.0143216967417784,"DALYs per 100,000",0.8685817892096,0.309034508497643,1.55945336037802
19,Rajasthan,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00536298894775326,0.00160268570515238,0.0104806342928452,"DALYs per 100,000",0.670978940767835,0.24563117819687,1.18370110319394
20,Sikkim,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00744382865253402,0.00230269153274611,0.0141014150698568,"DALYs per 100,000",0.887898513994258,0.31198932232593,1.56701962161858
21,Tamil Nadu,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00958130207585754,0.00298030200206882,0.0184268076541583,"DALYs per 100,000",1.13409763854022,0.399168190711894,1.94280466233502
22,Tripura,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00855306561305087,0.002559359207284,0.0166873518816456,"DALYs per 100,000",1.04705175793802,0.371872670508261,1.85628828194138
23,West Bengal,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00975066209222582,0.00300662711814869,0.0194070624683068,"DALYs per 100,000",1.17285275596638,0.399502328933022,2.07405543101227
24,Bihar,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00290532789287254,0.000889519919375983,0.00551242389034815,"DALYs per 100,000",0.335926928441183,0.111922908209555,0.592075058638204
25,Chhattisgarh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00479729271599913,0.00147474235352553,0.00910823221264212,"DALYs per 100,000",0.596216092265954,0.229330204125232,1.02692710097232
26,Jharkhand,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00272794541916148,0.000793646142487358,0.00574379339719669,"DALYs per 100,000",0.308352691520975,0.104984323785151,0.58920978280504
27,Madhya Pradesh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00593825801467554,0.0017507464512732,0.0110216899841071,"DALYs per 100,000",0.729852128775114,0.26500867092283,1.26967253175575
28,Uttar Pradesh,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00602205611834949,0.00186133326945094,0.0114839048250798,"DALYs per 100,000",0.75616504440916,0.272676749713121,1.3259453943402
29,Gujarat,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.00873890084381005,0.00264914486673951,0.0167754015342939,"DALYs per 100,000",1.07378098751798,0.387364498043461,1.85540212562044
30,Telangana,2019,All ages,Both,All causes,Occupational exposure to arsenic,"Deaths per 100,000",0,0,0,"YLDs per 100,000",0.0053264754015313,0.00161365343220235,0.00994085874839015,"DALYs per 100,000",0.625981885574066,0.202359489996963,1.1725303857103
