,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.64899274887877,0.436194382233512,0.943931044456887,"YLDs per 100,000",0,0,0,"DALYs per 100,000",13.2768805303518,8.87747401999668,19.3972065865365
1,Arunachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.510868607608881,0.312510062892875,0.75850131757297,"YLDs per 100,000",0,0,0,"DALYs per 100,000",10.3806814287181,6.30002199671986,15.4485632398297
2,Uttarakhand,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",1.17982486521339,0.640899694512514,1.89309693809303,"YLDs per 100,000",0,0,0,"DALYs per 100,000",26.022935061892,14.0274266559707,43.036436494036
3,Himachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.908922204990918,0.582712734322681,1.33397617970518,"YLDs per 100,000",0,0,0,"DALYs per 100,000",18.8500017765522,12.0865407282734,28.0342570521843
4,Other Union Territories,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.601385435213948,0.386593843041989,0.877199767179439,"YLDs per 100,000",0,0,0,"DALYs per 100,000",12.1024200383387,7.79337249879857,17.6217680752128
5,Andhra Pradesh,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.615392959926574,0.384974497018288,0.92197964751711,"YLDs per 100,000",0,0,0,"DALYs per 100,000",11.5736007042813,7.33001071949728,17.5287875973421
6,Assam,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.588193200769075,0.36929381973894,0.904155982951448,"YLDs per 100,000",0,0,0,"DALYs per 100,000",13.5431072233041,8.44689439830261,21.7459937410067
7,Delhi,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.586864955814097,0.379107782239395,0.880352314712809,"YLDs per 100,000",0,0,0,"DALYs per 100,000",11.9230935228765,7.8323038358409,18.0501826607752
8,Goa,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.756757363301192,0.488975541570683,1.11868618139259,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.3514842973918,9.16243240744903,21.1956521789807
9,Haryana,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.499136861608072,0.342373418543654,0.70953619982498,"YLDs per 100,000",0,0,0,"DALYs per 100,000",10.8007810457481,7.32555358415378,15.4967390440411
10,Karnataka,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.664968845846127,0.445281465977878,0.963398382364652,"YLDs per 100,000",0,0,0,"DALYs per 100,000",13.5896205236126,9.14578304122133,19.9955978210626
11,Kerala,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",1.29071337636654,0.814221975962032,2.01140161742826,"YLDs per 100,000",0,0,0,"DALYs per 100,000",24.4868965893902,15.3681676840946,37.9768702316655
12,Maharashtra,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.572644396856648,0.387436578064203,0.806795469033047,"YLDs per 100,000",0,0,0,"DALYs per 100,000",11.6878060173156,7.87272908254995,16.7503433768136
13,Manipur,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",1.1962802803147,0.703388827540193,1.80763241987503,"YLDs per 100,000",0,0,0,"DALYs per 100,000",24.1608083020271,14.5058897957554,36.3984721042348
14,Meghalaya,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.762743127577675,0.459676603041832,1.14432153844118,"YLDs per 100,000",0,0,0,"DALYs per 100,000",15.2149605863586,9.35604519249094,23.0214998283672
15,Mizoram,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",1.70419584277638,1.08263954508463,2.64321721059193,"YLDs per 100,000",0,0,0,"DALYs per 100,000",33.0361292904889,20.6090916758977,51.7161968132092
16,Nagaland,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.598370174625624,0.360126610289156,0.893337742294962,"YLDs per 100,000",0,0,0,"DALYs per 100,000",11.1234829482191,6.83640986167965,16.595921221339
17,Odisha,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.708775161353535,0.43577178064607,1.08325490039219,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.5846077740257,9.04005207943939,22.136775444535
18,Punjab,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.49880872283561,0.337224526027816,0.722388617149899,"YLDs per 100,000",0,0,0,"DALYs per 100,000",10.7018152212133,7.27584873051532,15.4970972488446
19,Rajasthan,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.44386694845236,0.298554271924967,0.648279068187706,"YLDs per 100,000",0,0,0,"DALYs per 100,000",9.82731823076253,6.69737561482061,14.6626623185696
20,Sikkim,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.764750220754751,0.469559723134453,1.12618410439949,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.9392520881284,9.18805900767302,21.9186126985563
21,Tamil Nadu,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.721563844888533,0.443435491540215,1.10410755496844,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.8253185022517,9.18279382417783,22.5513056599895
22,Tripura,2019,All ages,Both,All causes,Occupational exposure to asbestos,"Deaths per 100,000",0.881780204485293,0.548980362787433,1.32596759222941,"YLDs per 100,000",0,0,0,"DALYs per 100,000",18.5246274448691,11.3982111993603,28.4570874299201
