,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0132901439261717,0.00355555375383466,0.023698446297005,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.630464354026433,0.172585353665752,1.12151994575003
1,Arunachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0100577696246043,0.0025141069768358,0.0204135641235319,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.487653923688927,0.120949678723741,0.995613752303206
2,Uttarakhand,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0188203114624837,0.00514505916346224,0.038119889056238,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.873842660981355,0.239647466835154,1.76973948744327
3,Himachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0180066343897919,0.00511102539646881,0.0325816001561896,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.79743516735173,0.223107888589722,1.43406310258588
4,Other Union Territories,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0150992051930028,0.00406074079500685,0.0275855588530801,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.693644388541205,0.188839726421988,1.26877297029713
5,Andhra Pradesh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0143061002925033,0.00391762234392429,0.0253823081089191,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.651006125311247,0.17663975408065,1.1689080148904
6,Assam,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.00996142345186705,0.00254674990806038,0.0217997961299763,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.479872179743081,0.120316858602456,1.04579210640942
7,Delhi,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0217628358563337,0.00543594770489798,0.0403324242540287,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.0902376780595,0.271953608045004,2.03470751602374
8,Goa,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0108647565838352,0.00277395629014478,0.0202941323779696,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.460153937466395,0.117389686979949,0.859935746825922
9,Haryana,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0144904451425247,0.00414322899120403,0.0271670068668667,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.701185354093942,0.203036746727065,1.31638122345866
10,Karnataka,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0179939056253602,0.00497766288866535,0.0324681996991678,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.861261562468915,0.234757207161682,1.56025472698091
11,Kerala,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0168791542661306,0.00481848821719321,0.029724182066487,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.72323951113733,0.205609985657359,1.27930726238318
12,Maharashtra,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0158095528882214,0.0045210889382098,0.0275810194874538,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.75094216929689,0.213801325801097,1.30604996556619
13,Manipur,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0124623836680244,0.00336674727483016,0.0229765195097545,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.567821090452199,0.155517307690197,1.05718992335135
14,Meghalaya,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0108070281312353,0.00298094975362852,0.0209474165989564,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.523542081511179,0.14475696707859,1.02435965283802
15,Mizoram,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0173617930543524,0.00470506546511013,0.032576349545724,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.820912992076187,0.222103548952606,1.55980370086503
16,Nagaland,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0102326627956792,0.00295219159770312,0.0195071208803721,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.493053284286297,0.140422086993679,0.938702144510477
17,Odisha,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0142015597714698,0.00400570713271144,0.025125800964364,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.666954579177147,0.188328244690248,1.17378149138153
18,Punjab,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0141106799817072,0.00374185642103791,0.0269517785398871,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.658204869339262,0.175382038023343,1.29094791744438
19,Rajasthan,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0142725196717838,0.00422858360435612,0.025006737112244,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.702834391271411,0.209084147626813,1.23613706997418
20,Sikkim,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0146327620547129,0.00373787547812199,0.0295282244047267,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.682273843837437,0.174584799220674,1.38489549046586
21,Tamil Nadu,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0150595518252056,0.00393170335504856,0.0299798888559654,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.689992779127854,0.180074948996476,1.38392929756836
22,Tripura,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0108162770400525,0.002732143975072,0.0220029252082432,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.491471770601945,0.123992877290089,1.02473065515196
23,West Bengal,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0115895651004399,0.00322435758242532,0.0208646505250538,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.54504681869147,0.150509417234812,0.98200612482189
24,Bihar,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.00810613755850049,0.00220466763735933,0.0149459428506419,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.387034971731908,0.106495827449988,0.715673649453339
25,Chhattisgarh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0133662245397834,0.00397061947254418,0.0245128071312162,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.625802892700339,0.186642226799466,1.14387960782093
26,Jharkhand,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.00828504981289013,0.00212961396430659,0.0169583296601763,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.387370975402341,0.100350885093287,0.789662466156643
27,Madhya Pradesh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0135507404528625,0.00383362543020386,0.0237451321587031,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.658952927856677,0.186295173733076,1.15561198685053
28,Uttar Pradesh,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0124313042576513,0.00366100454710204,0.0225847067837874,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.591172492837226,0.173241307710108,1.08015581248691
29,Gujarat,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0169319791454998,0.00479616960798258,0.0300752098384377,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.817393987058796,0.234472412263169,1.440879440526
30,Telangana,2019,All ages,Both,All causes,Occupational exposure to benzene,"Deaths per 100,000",0.0141676780505943,0.0038926475326098,0.0258907550653962,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.671246624931143,0.182704131704903,1.23196704839188
