,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0470649806302527,0.0100241300970239,0.108665943729698,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.50667764382745,0.316407236130816,3.45488687789271
1,Arunachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0203657053257616,0.00419421525743152,0.0447949504603635,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.65129869572427,0.133655417121333,1.43112685002332
2,Uttarakhand,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0578802096111783,0.0113366567796878,0.136498718808661,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.84906855356272,0.360545562306065,4.34299446439355
3,Himachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0576184887630978,0.0116994486392546,0.130306815402079,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.80082588484624,0.364377809834447,4.10927935775668
4,Other Union Territories,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0259703435705308,0.00571293042574838,0.0598883730274165,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.798875618232942,0.173529462529005,1.83536759122017
5,Andhra Pradesh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0289035670185267,0.00598927037079532,0.0654602016172632,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.851689989339773,0.176551443959465,1.93793022171181
6,Assam,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0254159027071985,0.0051525863614206,0.0558255077287144,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.804749830846844,0.160421369046329,1.77911059458467
7,Delhi,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0420481732925072,0.00891878950585938,0.0945478079950241,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.29521568923547,0.275806528383282,2.89855306545598
8,Goa,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0267905270924641,0.00568332131864841,0.0635634550342106,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.761997874741945,0.161240202579801,1.80528084371135
9,Haryana,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0317349528556194,0.00629872813007868,0.0720283592710211,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.01359093207956,0.200949647664114,2.29385976444257
10,Karnataka,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0386479274429916,0.00770496184668197,0.0906223747583603,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.1810203566975,0.236866845276112,2.78571147204829
11,Kerala,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0839272976261523,0.0177796734144383,0.189633053205334,"YLDs per 100,000",0,0,0,"DALYs per 100,000",2.47181768643841,0.522854025780202,5.58086081353316
12,Maharashtra,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0319907090288286,0.00629778827283088,0.071516925334416,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.945578381692889,0.185778186212508,2.11210428589465
13,Manipur,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0511710381285906,0.00992420323046698,0.118648705275812,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.55046129318411,0.300123655281944,3.63116529319243
14,Meghalaya,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0339185588747426,0.00668122223657099,0.0802574472759285,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.04738005746917,0.206092485624348,2.44548331436029
15,Mizoram,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.10176236167511,0.0190916313260563,0.232152350211581,"YLDs per 100,000",0,0,0,"DALYs per 100,000",3.09785562219351,0.582272190709912,7.04960336662239
16,Nagaland,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.010960282996413,0.00210888054831372,0.0248061450365535,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.329568474888886,0.0642989289894629,0.751050671831257
17,Odisha,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0271293756109163,0.0056638853911465,0.0611596934512966,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.787674514001498,0.163680034774775,1.78168043423594
18,Punjab,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0350227489911775,0.00724101455584111,0.0801522190097717,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.04077695666256,0.21418438447093,2.38071913506135
19,Rajasthan,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0331212630381158,0.00751672354447638,0.0763808890105042,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.05546730006902,0.239121496080101,2.38624281487388
20,Sikkim,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0384026631225195,0.00777790059966214,0.0867777036572584,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.1392547714245,0.230340382952295,2.57841999182924
21,Tamil Nadu,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0438916338133687,0.00902487868007118,0.101651084236379,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.32245847494332,0.275715934229689,3.06696799337687
22,Tripura,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0492034215496916,0.0103723945685752,0.111651721416615,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.48758376747113,0.310203236694148,3.39190137091779
23,West Bengal,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0413464357689671,0.0085051150402594,0.0934486713219391,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.27704926177868,0.263641964223179,2.88053973118198
24,Bihar,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0150899864623017,0.00310769534446671,0.0340700548503701,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.428141729804004,0.0894302900143576,0.962997187307399
25,Chhattisgarh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0242695015261765,0.00489926432076713,0.0540541075313662,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.748771564372071,0.15149522321167,1.67905504680222
26,Jharkhand,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0161234795539679,0.00303417406132841,0.0380126576126836,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.450649470111943,0.0847389635936042,1.06321117344877
27,Madhya Pradesh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0298477595215288,0.00584862294666473,0.0681717555244381,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.924528769801385,0.182282760223474,2.1177967156762
28,Uttar Pradesh,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0313806938783801,0.00692626151575599,0.07058038115871,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.97881908901226,0.209796729322298,2.19829262195951
29,Gujarat,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0384487747788192,0.00781853597283524,0.0866680798818471,"YLDs per 100,000",0,0,0,"DALYs per 100,000",1.21496735033334,0.245766736921033,2.75393963669787
30,Telangana,2019,All ages,Both,All causes,Occupational exposure to nickel,"Deaths per 100,000",0.0256469031389628,0.00509367406729916,0.059386855819073,"YLDs per 100,000",0,0,0,"DALYs per 100,000",0.766478825573383,0.154323767812332,1.77134196756288
