,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.456227777222538,0.243966932725581,0.700571483691927,"YLDs per 100,000",0.683977601959438,0.437104121441686,0.992077522838594,"DALYs per 100,000",14.0869740935738,7.50178051007312,21.8098456278323
1,Arunachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.187304202424506,0.0933055545241205,0.291824589589919,"YLDs per 100,000",0.4349369657433,0.27373367020028,0.649283532731571,"DALYs per 100,000",5.95636139079806,3.07636819978754,9.29824644562405
2,Uttarakhand,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.62296703039694,0.323611874492469,0.958377780722109,"YLDs per 100,000",0.807902640486161,0.52424972816194,1.18465710190329,"DALYs per 100,000",18.9823195361476,10.0500771785638,29.4897842081534
3,Himachal Pradesh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.642513778158471,0.344607751137006,1.0061544510628,"YLDs per 100,000",1.00585785882509,0.63484218774666,1.50195873123442,"DALYs per 100,000",19.1649080083091,10.1998878693367,30.3564577045207
4,Other Union Territories,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.204141149139139,0.0993291460315461,0.332015986774581,"YLDs per 100,000",0.633884524499347,0.397666836549866,0.954543384786273,"DALYs per 100,000",6.5560050789392,3.35274737808538,10.459154422007
5,Andhra Pradesh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.283433273303468,0.161292729421031,0.438911178439509,"YLDs per 100,000",0.804667102311637,0.513572677602545,1.17520025632712,"DALYs per 100,000",8.36731938906162,4.91674335136305,12.90981571568
6,Assam,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.248356866233386,0.138005331091809,0.364860551685026,"YLDs per 100,000",0.548863586790682,0.352444936286377,0.805240743016905,"DALYs per 100,000",7.56785402517002,4.26454603207534,11.2196404934788
7,Delhi,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.274781675132167,0.13553124266625,0.449243204822368,"YLDs per 100,000",0.602518447684087,0.37938655796195,0.899631933155051,"DALYs per 100,000",8.63426328462675,4.38160413809457,13.790037567642
8,Goa,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.218679591364975,0.105835982403551,0.36815849035444,"YLDs per 100,000",0.85557296448944,0.533806423920921,1.29402530732001,"DALYs per 100,000",6.73728791976732,3.62126875527599,10.7139133085157
9,Haryana,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.307517434929469,0.172362258365671,0.465392105083809,"YLDs per 100,000",0.698469856806451,0.450905073460545,1.02717843811072,"DALYs per 100,000",9.59953946479031,5.48802778575607,14.3589009127262
10,Karnataka,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.364018729432295,0.193330165671646,0.541577093701343,"YLDs per 100,000",1.47398116526753,0.934554493450082,2.23182653613186,"DALYs per 100,000",11.471946242515,6.53165996564953,16.9876396892158
11,Kerala,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.724509487873953,0.354400943466564,1.169846180934,"YLDs per 100,000",1.1474717050929,0.738829567342978,1.68983440756299,"DALYs per 100,000",21.5203273211039,10.6699238701908,34.6256056041396
12,Maharashtra,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.265823103846206,0.141164920859655,0.402662344870195,"YLDs per 100,000",0.750705706876527,0.481765465447237,1.09436786147379,"DALYs per 100,000",7.98234403828274,4.39212818152839,12.0555936712592
13,Manipur,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.361791902667657,0.171854221781262,0.575944192346857,"YLDs per 100,000",0.594426400451973,0.375477249124027,0.877448054002426,"DALYs per 100,000",11.0039563981602,5.29798450937557,17.5449803654427
14,Meghalaya,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.256748447176289,0.118574575333836,0.42231715227976,"YLDs per 100,000",0.449174784243185,0.282058219825086,0.666850238315179,"DALYs per 100,000",7.9927102806592,3.78925295458868,13.0738298815677
15,Mizoram,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.706715754729469,0.331921065591741,1.16199282823255,"YLDs per 100,000",0.707494245763103,0.458699404604432,1.03818084864646,"DALYs per 100,000",21.2880037860844,10.2454767260358,35.0630289996791
16,Nagaland,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.101913495400356,0.0513750467230282,0.162079340531395,"YLDs per 100,000",0.444605214071443,0.28065129114272,0.661677622797855,"DALYs per 100,000",3.17765126114534,1.70815878744399,4.95755994270381
17,Odisha,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.240818901406487,0.119670926704964,0.380427374727019,"YLDs per 100,000",0.661044019560404,0.420004737687708,0.98326323748811,"DALYs per 100,000",7.26182586663581,3.70765807870406,11.1621405995548
18,Punjab,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.286954739351835,0.144331789249782,0.461954430675392,"YLDs per 100,000",0.737118790903871,0.47085039163452,1.07529362186989,"DALYs per 100,000",8.89070128915224,4.75351808389272,14.0126730078206
19,Rajasthan,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.47760221188284,0.263140713394109,0.708009314403833,"YLDs per 100,000",0.704371277660411,0.456389668660307,1.0475004403525,"DALYs per 100,000",13.9652899046532,8.03910066279693,20.5683453503048
20,Sikkim,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.339370097474145,0.163431507178666,0.553630042822856,"YLDs per 100,000",0.631585900395736,0.409119457318477,0.927118902948863,"DALYs per 100,000",10.0806453155091,5.01060285873086,16.3170982931003
21,Tamil Nadu,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.338781097869964,0.169571577227636,0.535250658187261,"YLDs per 100,000",0.784297835106225,0.490298375838172,1.17441279456317,"DALYs per 100,000",10.4845794910656,5.53895308463583,16.1746193512521
22,Tripura,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.526328385259516,0.261413106259644,0.810267517373265,"YLDs per 100,000",0.756100626032156,0.491145216112145,1.10414387291296,"DALYs per 100,000",15.5116796584321,7.86864972218991,24.2676788219087
23,West Bengal,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.32489558144103,0.173074010037391,0.511203462915193,"YLDs per 100,000",0.756647058914749,0.482830186632029,1.12833810375829,"DALYs per 100,000",9.97291189768059,5.46630960510284,15.5055316575768
24,Bihar,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.187700198840698,0.0900707518376596,0.305859895979569,"YLDs per 100,000",0.497307158578645,0.311508664507996,0.735490107762924,"DALYs per 100,000",5.23429369776631,2.74287272947729,8.05152715560269
25,Chhattisgarh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.254721744742741,0.145570757205552,0.371331694267227,"YLDs per 100,000",0.562156674624765,0.355307191159433,0.839848155068909,"DALYs per 100,000",7.62362196089532,4.4266557460884,11.055678572389
26,Jharkhand,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.176922396264825,0.0946645567475722,0.287854588114983,"YLDs per 100,000",0.553707751412612,0.35258266437745,0.813091899687749,"DALYs per 100,000",5.06677559120804,2.87166570278768,8.27206559087505
27,Madhya Pradesh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.32995338808756,0.170546313326891,0.492069097399717,"YLDs per 100,000",0.631740433454638,0.407432265362802,0.919019438802671,"DALYs per 100,000",9.73119671121452,5.22314597268422,14.3273307140215
28,Uttar Pradesh,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.419159648716043,0.22511188216144,0.639837170031506,"YLDs per 100,000",0.602848802622587,0.385720799543351,0.899407786693408,"DALYs per 100,000",12.0006797658567,6.66179123045907,18.1373821326408
29,Gujarat,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.331062387125775,0.178377934014892,0.500916941349872,"YLDs per 100,000",0.688804454871861,0.436404144277122,1.00459894233992,"DALYs per 100,000",10.2592527960356,5.63368996616789,15.5439010712925
30,Telangana,2019,All ages,Both,All causes,Occupational exposure to silica,"Deaths per 100,000",0.236714501092137,0.124957384808876,0.382607431096549,"YLDs per 100,000",0.71104140875351,0.445819693059136,1.05355076975561,"DALYs per 100,000",7.16228462504481,3.97406827167842,11.4185486666936
