,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.149656910979325,0.106462875655262,0.201976253169027,"YLDs per 100,000",0.037683,0.022916,0.057625,"DALYs per 100,000",4.78019441397619,3.3750988089608,6.5538824100284
1,Arunachal Pradesh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0579459062853476,0.0404807987104496,0.0803478595446944,"YLDs per 100,000",0.014825,0.009024,0.023239,"DALYs per 100,000",1.86805437088517,1.30086815388111,2.65624419337093
2,Uttarakhand,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.184548222561666,0.126552471803316,0.253001163709071,"YLDs per 100,000",0.046032000000000003,0.026791,0.072041,"DALYs per 100,000",5.88371177186774,4.03914373619789,8.05613087443535
3,Himachal Pradesh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.189963114001964,0.136005630597909,0.262256888565041,"YLDs per 100,000",0.047923,0.029114,0.07407,"DALYs per 100,000",5.93826940391649,4.23920986205652,8.24041964621543
4,Other Union Territories,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0864656982838159,0.0597454021298997,0.118649980210174,"YLDs per 100,000",0.022299,0.013293,0.034619,"DALYs per 100,000",2.6567145814703,1.83865707098824,3.65918065359084
5,Andhra Pradesh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0850041409109902,0.0588182476128934,0.121922557859802,"YLDs per 100,000",0.021406,0.012872,0.032947,"DALYs per 100,000",2.50086783077595,1.72070983944752,3.55986744738656
6,Assam,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.086435083353278,0.0608628591964856,0.118742389329885,"YLDs per 100,000",0.021774,0.013347,0.034334,"DALYs per 100,000",2.72874962481761,1.92612925913054,3.72328122813531
7,Delhi,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.135046964444207,0.0894467720942325,0.193458811730893,"YLDs per 100,000",0.034274,0.019228,0.05519,"DALYs per 100,000",4.15166476410431,2.76093979099934,5.94481687647312
8,Goa,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0989750026871571,0.065040796574939,0.140171420627157,"YLDs per 100,000",0.024974,0.0143,0.03887,"DALYs per 100,000",2.80676356669942,1.85598323677172,3.9803986128692
9,Haryana,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0947994481108145,0.0656689398602868,0.130631931593657,"YLDs per 100,000",0.02431,0.014618,0.037282,"DALYs per 100,000",3.02371909861151,2.09050932883887,4.14733256733961
10,Karnataka,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.115729120864097,0.0839798357995731,0.158762860927826,"YLDs per 100,000",0.028817,0.018046,0.043595,"DALYs per 100,000",3.5265508669358,2.56842768701221,4.85638065053111
