,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.709135,0.080796,1.895513,"YLDs per 100,000",0.162675,0.019143,0.431123,"DALYs per 100,000",19.0401074794464,2.16157438836024,51.1343561820608
1,Arunachal Pradesh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.259933,0.024846,0.889448,"YLDs per 100,000",0.059708,0.006152,0.193118,"DALYs per 100,000",6.87766399309567,0.678772726666458,22.5965504948345
2,Uttarakhand,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.411353,0.075497,1.03081,"YLDs per 100,000",0.095689,0.016254,0.249249,"DALYs per 100,000",11.4190337015258,2.1062133509658,28.5301108992098
3,Himachal Pradesh,2019,All ages,Both,Residential radon,"Deaths per 100,000",1.103454,0.187205,2.499544,"YLDs per 100,000",0.251112,0.039295,0.59112,"DALYs per 100,000",28.4661791546225,4.84196709531914,64.7375633071485
4,Other Union Territories,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.260028,0.030637,0.794015,"YLDs per 100,000",0.061351,0.007147,0.209007,"DALYs per 100,000",6.70180318340381,0.797682790486236,20.5134121083311
5,Andhra Pradesh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.162909,0.01928,0.488463,"YLDs per 100,000",0.035441,0.003944,0.110931,"DALYs per 100,000",3.74074115645323,0.457869147583156,11.2197324204667
6,Assam,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.326289,0.045873,0.93531,"YLDs per 100,000",0.076122,0.01,0.221192,"DALYs per 100,000",8.90897116733679,1.23948359744045,25.5355323357581
7,Delhi,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.241022,0.031313,0.686499,"YLDs per 100,000",0.056014,0.007107,0.163102,"DALYs per 100,000",6.34840716786697,0.816641467416728,18.3481425700429
8,Goa,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.243438,0.032251,0.628813,"YLDs per 100,000",0.054901,0.006948,0.157322,"DALYs per 100,000",5.63717711271804,0.756412315544186,14.5170804277807
9,Haryana,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.548202,0.084693,1.232212,"YLDs per 100,000",0.127197,0.021398,0.300492,"DALYs per 100,000",14.7108598712248,2.24943351189529,33.370325771877
10,Karnataka,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.324755,0.043278,0.907276,"YLDs per 100,000",0.072906,0.008884,0.203209,"DALYs per 100,000",8.13058276521232,1.11244545933751,22.456184573207
11,Kerala,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.567604,0.075497,1.587855,"YLDs per 100,000",0.12757,0.019354,0.370637,"DALYs per 100,000",13.7495945888112,1.86306517993375,38.1518022007709
12,Maharashtra,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.254791,0.035531,0.680827,"YLDs per 100,000",0.057604,0.008007,0.158898,"DALYs per 100,000",6.12559566337596,0.853074926135309,16.3164558984955
13,Manipur,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.68478,0.076515,1.885525,"YLDs per 100,000",0.15297,0.018887,0.427412,"DALYs per 100,000",17.5462716599993,1.96903293560816,48.3966722919123
14,Meghalaya,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.18727,0.031344,0.517624,"YLDs per 100,000",0.041949,0.0063,0.119016,"DALYs per 100,000",4.85184480821927,0.804280446059715,13.2435361659406
15,Mizoram,2019,All ages,Both,Residential radon,"Deaths per 100,000",1.2582,0.167439,3.139665,"YLDs per 100,000",0.271927,0.031777,0.749409,"DALYs per 100,000",31.9026267278436,4.27515810883167,79.3037897391242
16,Nagaland,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.242929,0.031145,0.683552,"YLDs per 100,000",0.053818,0.005897,0.155215,"DALYs per 100,000",5.84791088480972,0.762466365832539,16.1279296076976
17,Odisha,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.250329,0.031172,0.791871,"YLDs per 100,000",0.055877,0.006805,0.179575,"DALYs per 100,000",5.96332559935471,0.745797079093359,18.9716203154947
18,Punjab,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.563652,0.090284,1.339452,"YLDs per 100,000",0.128206,0.019741,0.324476,"DALYs per 100,000",13.7843531351516,2.24161002018205,32.3765466147921
19,Rajasthan,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.290685,0.044402,0.828321,"YLDs per 100,000",0.067598,0.009119,0.201564,"DALYs per 100,000",7.80820715935984,1.16796407690362,22.4108781678523
20,Sikkim,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.6246,0.086999,1.763255,"YLDs per 100,000",0.139098,0.01822,0.402618,"DALYs per 100,000",15.2372892854734,2.08842027889083,42.1127666270087
21,Tamil Nadu,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.240316,0.03558,0.716596,"YLDs per 100,000",0.054668,0.007623,0.164731,"DALYs per 100,000",5.92953881054409,0.883089525010567,17.4351709264275
22,Tripura,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.402379,0.048562,1.203981,"YLDs per 100,000",0.090245,0.012418,0.272369,"DALYs per 100,000",10.2506763399789,1.22165089433213,30.667042806078
23,West Bengal,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.320138,0.040699,0.924089,"YLDs per 100,000",0.07507,0.009802,0.223045,"DALYs per 100,000",8.44407860976289,1.06204766655204,24.3865675476414
24,Bihar,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.231904,0.026311,0.64853,"YLDs per 100,000",0.052305,0.005937,0.15951,"DALYs per 100,000",5.56360160498943,0.634558490434139,15.5362136962664
25,Chhattisgarh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.153216,0.021049,0.406687,"YLDs per 100,000",0.034359,0.005038,0.094912,"DALYs per 100,000",3.91604316402503,0.54694152481402,10.409281955886
26,Jharkhand,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.192644,0.025274,0.54799,"YLDs per 100,000",0.042566,0.005844,0.123875,"DALYs per 100,000",4.4194875330974,0.574948186015254,12.5924751847014
27,Madhya Pradesh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.336291,0.047684,0.92791,"YLDs per 100,000",0.076,0.010874,0.207993,"DALYs per 100,000",8.67497278251019,1.23139225780253,24.0976612091177
28,Uttar Pradesh,2019,All ages,Both,Residential radon,"Deaths per 100,000",0.196882,0.027657,0.597213,"YLDs per 100,000",0.044946,0.006869,0.134076,"DALYs per 100,000",5.28503283330382,0.743019275207242,15.7877145756662
