,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",23.6437852907668,16.7458063792645,31.3131336051897,"YLDs per 100,000",89.8133259707931,53.7711060516288,128.335085704912,"DALYs per 100,000",658.382657442953,478.355325189956,851.454831733943
1,Arunachal Pradesh,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",9.06378182999845,6.28984669819731,12.3124911966648,"YLDs per 100,000",53.9919322238488,31.2228461623731,79.1590818432493,"DALYs per 100,000",300.393843636611,211.870306865208,393.421155187862
2,Uttarakhand,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",24.0895102868463,16.5879631887564,32.6584845947255,"YLDs per 100,000",94.2550629219747,53.7512069708702,138.407684606013,"DALYs per 100,000",704.580134992081,504.616695011772,921.230457334258
3,Himachal Pradesh,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",18.6608276445246,12.5692750801676,26.0609689882612,"YLDs per 100,000",78.8937556304516,45.5484082817545,114.522905053028,"DALYs per 100,000",488.736195429341,348.974709304855,655.237356083441
4,Other Union Territories,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",13.5254998247645,9.87138566018363,17.7790558168198,"YLDs per 100,000",82.3230808863252,45.6092224022514,123.127341127354,"DALYs per 100,000",409.568493914071,295.89120272821,530.420468963067
5,Andhra Pradesh,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",16.1492759921085,11.72205905299,21.6258385728869,"YLDs per 100,000",80.8418018629538,46.382355112666,118.218431556836,"DALYs per 100,000",465.01035948985,340.488536168747,607.741195103779
6,Assam,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",15.2917177925714,11.1387525033056,19.9711859292117,"YLDs per 100,000",69.9662169064803,41.0721455330452,102.337882317986,"DALYs per 100,000",527.853416980949,378.43564628338,679.570612417319
7,Delhi,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",14.6928966323075,10.8676783538205,18.9444307292921,"YLDs per 100,000",87.6924692666492,48.7023062614957,130.754275950668,"DALYs per 100,000",446.703260961428,333.575861619041,567.261128039157
8,Goa,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",12.5007858151612,8.94817434811587,17.1304197279382,"YLDs per 100,000",78.399205177691,41.8764699991675,121.170629952447,"DALYs per 100,000",357.694876781295,252.703095732827,481.813757338891
9,Haryana,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",20.8467441918744,14.787166306628,27.2378799272762,"YLDs per 100,000",95.5711498582963,56.1689008560181,139.210836661267,"DALYs per 100,000",639.021244947161,471.971164957815,820.991664137534
10,Karnataka,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",21.7871791708957,15.7293426123568,28.6840016922776,"YLDs per 100,000",89.6087376229789,50.141849105015,135.132827729835,"DALYs per 100,000",625.137886035262,458.109566597619,801.301950045272
11,Kerala,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",19.9079100963698,14.5859611221107,26.0588989441928,"YLDs per 100,000",114.612268400763,63.7897729914463,169.614360004838,"DALYs per 100,000",520.598373254727,387.143685402237,672.134809670858
12,Maharashtra,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",15.3213478564593,11.387605745409,20.0246686450602,"YLDs per 100,000",76.4157348379545,45.0640015978168,112.320511319315,"DALYs per 100,000",442.943651484811,325.999948745097,571.79009595133
13,Manipur,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",13.2041077056541,9.21425098246375,17.7311477734996,"YLDs per 100,000",79.1166831252144,44.1736014863382,119.314779085237,"DALYs per 100,000",412.640749459716,289.46834395624,552.548865480866
14,Meghalaya,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",10.7090665013529,7.53120596623294,14.5853308480958,"YLDs per 100,000",59.2186806775137,35.2463680979308,86.0585297841149,"DALYs per 100,000",378.657964536841,260.991736674937,504.810222296413
15,Mizoram,2019,All ages,Both,All causes,Secondhand smoke,"Deaths per 100,000",17.0255082135196,11.3195044624295,23.3813059846293,"YLDs per 100,000",72.3819435387992,43.6103767205298,103.805809923004,"DALYs per 100,000",553.301061173357,374.982725049852,733.124458633216
