,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",15.6506720343954,12.0376016762394,20.3547606805586,"YLDs per 100,000",210.75473647931,157.883587394388,278.060003013166,"DALYs per 100,000",1601.32865210359,1276.55339803946,2039.94242661714
1,Arunachal Pradesh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",18.4778839012006,13.997454877117,24.3678158006696,"YLDs per 100,000",255.376015978867,190.353559260718,331.367395126654,"DALYs per 100,000",1897.1615031973,1496.06865237403,2439.01745514092
2,Uttarakhand,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",16.3303361593937,12.2806182895077,21.4264362344363,"YLDs per 100,000",243.743241167628,181.073615654709,315.780978759481,"DALYs per 100,000",1694.78457093659,1308.14745731843,2139.82320791455
3,Himachal Pradesh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",15.4503088770234,12.4809136815817,19.4715190571004,"YLDs per 100,000",277.081470668124,205.769677338504,360.521546499464,"DALYs per 100,000",1649.89383105097,1377.78554192002,2004.47606648405
4,Other Union Territories,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",9.79981285959635,6.46694756703519,14.2815906099402,"YLDs per 100,000",246.960251815815,188.433730025349,318.958459325642,"DALYs per 100,000",1117.69672581562,816.485964648084,1532.95618269654
5,Andhra Pradesh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",19.58571581924,15.5604631942379,25.2934485505963,"YLDs per 100,000",205.051920887904,151.858044726923,267.105363304361,"DALYs per 100,000",1945.33438376682,1584.7152784015,2454.80603675817
6,Assam,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",31.0479802074998,24.295403276863,40.0613728613047,"YLDs per 100,000",195.540534805013,146.243900356093,256.241132042433,"DALYs per 100,000",2954.21026302482,2353.32049920814,3761.03025133388
7,Delhi,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",13.8164354836877,10.780319113822,17.8345524094495,"YLDs per 100,000",240.168985090741,180.736887110413,310.943336598905,"DALYs per 100,000",1467.80839859868,1198.4323177303,1820.78250860861
8,Goa,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",6.38084437832494,4.81078561196375,8.52675782130516,"YLDs per 100,000",250.375895824155,189.921086406631,323.149093051214,"DALYs per 100,000",817.29665001943,664.40808950148,1012.70142968834
9,Haryana,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",19.7071441430238,15.4682040058477,25.4403444150039,"YLDs per 100,000",231.76219284334,172.024352807136,301.620255305228,"DALYs per 100,000",1982.79505164102,1600.14117705262,2510.57448048687
10,Karnataka,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",16.3765691854456,12.7423752839965,21.2977436633536,"YLDs per 100,000",234.508026040702,173.533489777477,307.094954945563,"DALYs per 100,000",1689.60518638051,1372.58366496033,2124.28861704475
11,Kerala,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",4.38673958813906,3.26538804140263,5.94518166174878,"YLDs per 100,000",269.153558270981,202.447571820645,348.700247257052,"DALYs per 100,000",658.914635581645,537.438774254457,814.934873253604
12,Maharashtra,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",14.283284927394,11.2635061421711,18.2977397979096,"YLDs per 100,000",251.791044589889,190.449895589741,326.28738416547,"DALYs per 100,000",1520.93206166624,1256.55032628797,1867.63963134701
13,Manipur,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",14.8689483577924,11.3323067026892,19.6732655774512,"YLDs per 100,000",235.932487258766,178.227893306484,305.75772605425,"DALYs per 100,000",1557.10296047471,1252.36073614621,1997.80565608075
14,Meghalaya,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",22.094108343548,16.5795934423966,29.5596481405871,"YLDs per 100,000",240.011431851075,180.52141776797,315.298245659201,"DALYs per 100,000",2203.1474842212,1722.56259929119,2848.56807698655
15,Mizoram,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",17.9291118902242,13.8852283988421,23.5236358074677,"YLDs per 100,000",230.911084199086,173.57115049869,297.953996970328,"DALYs per 100,000",1823.92093674498,1462.03656316014,2336.61252376469
16,Nagaland,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",17.184754895982,11.8080419321277,24.5025599464076,"YLDs per 100,000",270.545776825734,203.271740799145,353.103187235718,"DALYs per 100,000",1797.39537731699,1317.53449529185,2447.06133422503
17,Odisha,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",23.9510205235212,18.4296701839347,30.6634531847518,"YLDs per 100,000",176.881458533705,128.52685285061,235.170314479471,"DALYs per 100,000",2305.01768123628,1802.85098729621,2918.15959878876
18,Punjab,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",12.0505840504658,9.36028616456068,15.5922379713997,"YLDs per 100,000",225.967821356379,170.020975471771,296.734440346308,"DALYs per 100,000",1296.6967092413,1061.55340375393,1614.06538990666
19,Rajasthan,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",33.9461997610657,25.9846015191544,43.2637229032385,"YLDs per 100,000",194.179219444702,144.826045432991,253.68494240967,"DALYs per 100,000",3210.48223519145,2497.10873915616,4019.56786883673
20,Sikkim,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",8.1963094984814,5.99839964282096,11.3245961352695,"YLDs per 100,000",238.83378108373,179.842059822029,309.27528859295,"DALYs per 100,000",967.091357992539,768.240147762134,1264.88414286246
21,Tamil Nadu,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",9.18732421257026,7.01345457635295,12.1967906369689,"YLDs per 100,000",214.836136623417,165.129286578149,276.534686285535,"DALYs per 100,000",1031.13457797376,835.54984399232,1314.44942280015
22,Tripura,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",16.3200439163261,12.0745267768932,21.8799416460116,"YLDs per 100,000",221.52145184028,167.240894369092,287.816267338863,"DALYs per 100,000",1671.63519676032,1294.63849005846,2174.06402883047
23,West Bengal,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",14.6687705422713,11.5894021767479,18.4655812226023,"YLDs per 100,000",193.59274686358,145.245737586135,249.927906033738,"DALYs per 100,000",1496.95600974783,1227.29625797554,1833.79484632255
24,Bihar,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",30.9273401663006,24.344149564157,38.7263046562912,"YLDs per 100,000",215.289551937705,159.897196091123,280.395373506029,"DALYs per 100,000",2963.33975539053,2381.34471161851,3646.82028434952
25,Chhattisgarh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",33.5698269329112,25.8707435185251,42.3920388341302,"YLDs per 100,000",207.163117744271,151.790079454576,273.808131055559,"DALYs per 100,000",3190.05535891051,2510.672840041,3987.15079970214
26,Jharkhand,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",25.8030298434072,18.5778648675795,35.1736399192007,"YLDs per 100,000",226.098109003922,170.839179605706,291.81507599382,"DALYs per 100,000",2518.85526868757,1878.97808926974,3348.89188050194
27,Madhya Pradesh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",33.1909427528524,26.4958715006646,42.1610246629572,"YLDs per 100,000",184.553575113279,137.247125925461,239.89556753751,"DALYs per 100,000",3133.62562293424,2530.69127640749,3902.4791793547
28,Uttar Pradesh,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",42.1192398355013,34.1748706974504,52.9182476609805,"YLDs per 100,000",179.364890580676,131.464965832843,233.215742830035,"DALYs per 100,000",3921.87013762473,3192.89820674734,4881.96287050122
29,Gujarat,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",22.4026201548415,18.061690243207,28.2364929147477,"YLDs per 100,000",225.872421270981,169.101484005766,294.36518850534,"DALYs per 100,000",2216.45564849094,1835.56789015643,2740.15912282063
30,Telangana,2019,All ages,Both,All causes,Short gestation,"Deaths per 100,000",17.5944467545807,13.9424875728577,22.1537194519013,"YLDs per 100,000",216.100024534917,162.867991993453,280.822679469393,"DALYs per 100,000",1779.38148496001,1447.77912747562,2196.04243272212
