,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",16.2842461148453,9.17163145659548,28.7785145029674,"YLDs per 100,000",144.74542277378,94.5645100827224,205.877427593254,"DALYs per 100,000",605.727213945862,411.470198094757,861.509206253114
1,Arunachal Pradesh,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",20.939715408439,12.0576978010005,31.4700131062634,"YLDs per 100,000",147.385295512711,96.6892155498737,212.879160345403,"DALYs per 100,000",876.629804517237,602.827401989742,1183.78913934476
2,Uttarakhand,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",25.7832686969481,14.3396372479217,44.784240070015,"YLDs per 100,000",153.545150228168,97.5975208856135,222.179181118761,"DALYs per 100,000",815.261156448737,535.676542936018,1217.28702546447
3,Himachal Pradesh,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",23.0250336934345,13.3687164678107,38.7152736401601,"YLDs per 100,000",132.990904266943,85.8888934651374,191.35418726687,"DALYs per 100,000",631.403833632697,437.768617996786,904.391546692015
4,Other Union Territories,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",16.0494875798319,9.22309853917613,27.2012101125278,"YLDs per 100,000",104.177020471448,67.7293484220635,152.645465275435,"DALYs per 100,000",485.216784039442,326.036817140046,708.26791688274
5,Andhra Pradesh,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",52.3085350254622,26.9134422704684,93.8729437637527,"YLDs per 100,000",180.676777606372,122.66314431058,250.519725603319,"DALYs per 100,000",1252.76011055058,774.323274786374,2021.76009914908
6,Assam,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",45.6024747064653,29.7880344414375,66.0594383453122,"YLDs per 100,000",152.717891651787,102.035483388598,213.164404220825,"DALYs per 100,000",1823.48114693854,1314.76792390286,2464.04862582368
7,Delhi,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",12.7557224747263,7.50269157760295,19.4179167103021,"YLDs per 100,000",129.052012586854,81.1255718672225,184.336455361864,"DALYs per 100,000",524.288114170898,367.049071830802,703.978559733504
8,Goa,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",14.283614272895,7.75561422495726,24.465954995008,"YLDs per 100,000",128.52979096238,79.3386343174446,187.312374919899,"DALYs per 100,000",413.255213243482,268.604744594717,598.296871867672
9,Haryana,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",25.9414724264814,15.5783980846482,39.8309045573068,"YLDs per 100,000",153.119356550556,102.206079121661,217.965832939873,"DALYs per 100,000",860.679123761916,607.066683059525,1167.91400152623
10,Karnataka,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",36.8998829857369,18.4088421897272,65.8329080632569,"YLDs per 100,000",159.949284504988,109.099514739267,224.592960845105,"DALYs per 100,000",955.33819161832,584.96182208946,1525.89989176907
11,Kerala,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",16.8893670796005,6.95974020987996,32.977161114844,"YLDs per 100,000",126.290290419376,77.3966209919121,182.76062159802,"DALYs per 100,000",412.109399728752,230.06136490817,679.382472635247
12,Maharashtra,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",27.6594001681416,15.4687805015278,46.3308363352406,"YLDs per 100,000",165.665824397351,110.915307968797,231.208847654043,"DALYs per 100,000",762.039274858272,511.454257384694,1104.9324409151
13,Manipur,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",28.0204352460205,16.2715969828358,43.3650540758896,"YLDs per 100,000",151.193581774753,99.7597545252297,215.428778197515,"DALYs per 100,000",897.305850296077,624.013860032267,1258.81206779139
14,Meghalaya,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",25.9244948607301,15.5815003993177,39.5670962711645,"YLDs per 100,000",148.172459309614,98.8899382582401,210.032427765932,"DALYs per 100,000",956.839837599457,644.608447773186,1323.45019021847
15,Mizoram,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",16.7993719480219,9.91250371872356,26.0131314389303,"YLDs per 100,000",153.369107611141,97.6982280193583,220.292044696539,"DALYs per 100,000",659.53576778564,461.273303055416,907.225333799325
16,Nagaland,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",18.3401144088902,10.988853385887,30.390281333988,"YLDs per 100,000",120.894402770757,78.4836338229315,172.411693178707,"DALYs per 100,000",655.327922575084,443.230747090012,949.483050085197
17,Odisha,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",83.3279816727203,47.5757463463974,126.68192362935,"YLDs per 100,000",227.031782452043,155.924308505994,317.40995823739,"DALYs per 100,000",2222.6592668259,1463.6693395032,3189.27305316093
18,Punjab,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",24.8356014213234,14.6654018236168,40.367218309325,"YLDs per 100,000",146.533486470271,97.2249726951849,206.937008169556,"DALYs per 100,000",756.990726759634,533.751281786392,1075.84998962422
19,Rajasthan,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",35.8935812502788,17.997007563171,65.1155758569822,"YLDs per 100,000",169.395236073144,113.069964298298,244.755104663636,"DALYs per 100,000",1275.54719589111,821.627254362046,2007.54265007183
20,Sikkim,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",17.4495747278407,8.78678727277466,26.7403558202965,"YLDs per 100,000",135.839283088595,81.7141399670133,199.615644203453,"DALYs per 100,000",570.04324268506,363.828770856965,796.247681032971
21,Tamil Nadu,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",26.5518945309434,13.93460302634,48.6077631723782,"YLDs per 100,000",145.902138540257,96.6706966122123,207.079575160527,"DALYs per 100,000",733.525029943927,461.833632086899,1165.27716978684
22,Tripura,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",31.4178261809549,18.6387054841696,51.0525530456753,"YLDs per 100,000",156.600303808223,105.752373217879,223.718970454677,"DALYs per 100,000",896.782223377727,612.227508030792,1299.62058469234
23,West Bengal,2019,All ages,Both,"Unsafe water, sanitation, and handwashing","Deaths per 100,000",33.0323407623833,15.351459676577,66.8441781833384,"YLDs per 100,000",156.161150769561,105.712242638339,219.109872331947,"DALYs per 100,000",977.257840951856,568.868132261941,1707.84057670805
