,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0176524498481374,0.00195778362926876,0.0466212598849598,"YLDs per 100,000",0,0,0,"DALYs per 100,000",16.4380195704709,10.572385557311,23.9959167881848
1,Arunachal Pradesh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0760810350812642,0.0100898757071744,0.197696009923995,"YLDs per 100,000",0,0,0,"DALYs per 100,000",26.1242923400593,16.0055840338678,39.8109100189069
2,Uttarakhand,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0197748359902922,0.00266026721910114,0.0468201413075509,"YLDs per 100,000",0,0,0,"DALYs per 100,000",15.6594578347416,10.4120944287052,22.7374532183755
3,Himachal Pradesh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.012173052491544,0.00134828254674605,0.0306269815930669,"YLDs per 100,000",0,0,0,"DALYs per 100,000",12.8796454318018,8.47411212463881,19.2458710504151
4,Other Union Territories,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.00730991859044489,0.0008452921813403,0.0188257314172209,"YLDs per 100,000",0,0,0,"DALYs per 100,000",11.8044841387393,7.63734705265647,17.3666414589205
5,Andhra Pradesh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0355630156756948,0.00503869567867244,0.0818573271211876,"YLDs per 100,000",0,0,0,"DALYs per 100,000",20.9782902885417,13.656943789222,31.2758378288695
6,Assam,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.144802606644738,0.0175438454057289,0.331142197584206,"YLDs per 100,000",0,0,0,"DALYs per 100,000",32.8795511403329,18.380530754023,52.4471348941776
7,Delhi,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0112541424964231,0.00155047374153826,0.0279059441096987,"YLDs per 100,000",0,0,0,"DALYs per 100,000",13.9317443902195,9.27780846657501,20.0581021020831
8,Goa,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.00249683243319301,0.000290988676786343,0.00665579648096294,"YLDs per 100,000",0,0,0,"DALYs per 100,000",8.61994188614967,5.58358526673554,12.6708089311801
9,Haryana,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0319566570060648,0.003574085627596,0.0848506677591505,"YLDs per 100,000",0,0,0,"DALYs per 100,000",19.4846490443378,12.3477246014406,28.7873771933479
10,Karnataka,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0217504232382774,0.00227029442102186,0.055116852289211,"YLDs per 100,000",0,0,0,"DALYs per 100,000",18.5528661253456,12.3911688994723,27.3844263509453
11,Kerala,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.00178296190355324,0.000123893100101789,0.00517417583196369,"YLDs per 100,000",0,0,0,"DALYs per 100,000",9.57032695960307,6.14225513607806,13.8209621364069
12,Maharashtra,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.011690491053782,0.00125130117180544,0.0287265237828658,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.0252317292961,9.31105339505675,20.6327036979779
13,Manipur,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0410108124712774,0.00473624381604421,0.105619493457929,"YLDs per 100,000",0,0,0,"DALYs per 100,000",15.9705933744299,9.64677611023434,23.8378758023989
14,Meghalaya,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0719071982063399,0.00745130169092166,0.192831286154488,"YLDs per 100,000",0,0,0,"DALYs per 100,000",27.6427692880049,16.7802630052208,42.6839037289684
15,Mizoram,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0243733762471468,0.00258966743221689,0.0657154013569214,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.3758521883225,9.28203369323799,21.1052682952434
16,Nagaland,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0342843180203759,0.003211446509055,0.0951650982576157,"YLDs per 100,000",0,0,0,"DALYs per 100,000",15.0073633289473,9.43936181433677,22.3722784355651
17,Odisha,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0577287982384354,0.0069999523469047,0.145079046660619,"YLDs per 100,000",0,0,0,"DALYs per 100,000",21.5414848495164,13.1285768266272,32.7629668942166
18,Punjab,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0201149915242784,0.00219065240251693,0.0501512725881128,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.4498675713281,9.32260438137217,21.4790749785167
19,Rajasthan,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0953247595284497,0.0118236119312005,0.243582971712281,"YLDs per 100,000",0,0,0,"DALYs per 100,000",31.9458754572653,18.7892944837142,48.6152012076376
20,Sikkim,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0107485930735986,0.00121784154428398,0.0276901926403878,"YLDs per 100,000",0,0,0,"DALYs per 100,000",12.9130169259975,8.37961848330955,19.317490977124
21,Tamil Nadu,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.00886503874854279,0.000797045804167757,0.0237600199280351,"YLDs per 100,000",0,0,0,"DALYs per 100,000",12.9540267096753,8.37238772012122,18.9233902537258
22,Tripura,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0272097052162464,0.00272197475621781,0.0695907310788938,"YLDs per 100,000",0,0,0,"DALYs per 100,000",19.9409363573104,12.9361285618851,29.5061556228942
23,West Bengal,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.0206086765372394,0.00207793071329779,0.0526606052619162,"YLDs per 100,000",0,0,0,"DALYs per 100,000",18.5294718312118,11.7860971527132,27.4917463644738
24,Bihar,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.344171156040915,0.0534913872010161,0.744485101219387,"YLDs per 100,000",0,0,0,"DALYs per 100,000",68.4386950405114,36.1908620353987,107.898804073884
25,Chhattisgarh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.057119695212071,0.00752773070338252,0.138923517018197,"YLDs per 100,000",0,0,0,"DALYs per 100,000",27.3012036628853,17.8817656952005,40.6641525760493
26,Jharkhand,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.119752404732313,0.0185466872530187,0.27985816065461,"YLDs per 100,000",0,0,0,"DALYs per 100,000",39.1755019693585,24.1564898280605,58.3110962808551
27,Madhya Pradesh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.127478236622862,0.0144587192070345,0.306409996404937,"YLDs per 100,000",0,0,0,"DALYs per 100,000",37.7599919407453,22.4085567226013,58.2161513202502
28,Uttar Pradesh,2019,All ages,Both,All causes,Vitamin A deficiency,"Deaths per 100,000",0.247278931076382,0.0291783330742981,0.563410118792602,"YLDs per 100,000",0,0,0,"DALYs per 100,000",51.3169111975389,28.4225317555142,85.2014120102333
