,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.11258117272138,0.690916336558314,1.84269332526534,"YLDs per 100,000",5.0719813222229,2.90421062931414,8.47449436326463,"DALYs per 100,000",33.1414160928879,21.1477907163615,54.8704381861392
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",0.489031176095987,0.310968522629258,0.787618158438732,"YLDs per 100,000",4.4770380975729,2.50383355373282,7.68525925516176,"DALYs per 100,000",16.8220707554077,10.7716526617244,26.9723238511417
2,Uttarakhand,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.58954087107538,0.949298178067803,2.65444053651782,"YLDs per 100,000",8.4642182787403,4.65785158069232,14.3400657081614,"DALYs per 100,000",51.4341147720244,30.889430951762,85.1252058853875
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.56338657799678,0.876207196510284,2.68938617562497,"YLDs per 100,000",7.78579168773839,4.38407912016876,12.8733178203234,"DALYs per 100,000",47.0185576811589,27.2861359110375,80.2786153393749
4,Other Union Territories,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.59716009629373,0.928231155937089,2.85090551805014,"YLDs per 100,000",8.88029610097388,4.71650416322902,14.992577536586,"DALYs per 100,000",48.0198196050664,28.1767612974576,81.729003277178
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",2.57948545027461,1.55882247400554,4.20420869316646,"YLDs per 100,000",11.6415880234182,6.77297141004796,19.4093363166822,"DALYs per 100,000",78.2162525693797,48.2364107407598,123.965570969297
6,Assam,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",0.635510596114013,0.403011056740035,0.988030071701494,"YLDs per 100,000",5.03433034866198,2.78092525035438,8.26913816209037,"DALYs per 100,000",22.288599833354,14.342770022309,35.1857679296163
7,Delhi,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.50204935410147,0.83032541536519,2.53187751948611,"YLDs per 100,000",9.45923340921845,5.0504166186634,16.1699485298748,"DALYs per 100,000",48.0522701316464,27.4033168971724,81.0908153715921
8,Goa,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",2.85955453969788,1.61463851571984,4.67089627734092,"YLDs per 100,000",14.8458064172002,7.69317545755246,24.112506891562,"DALYs per 100,000",77.9326923491472,45.4484617870037,125.662109142332
9,Haryana,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",1.6028071684414,0.97698094360873,2.66059932859371,"YLDs per 100,000",7.89596443432794,4.32262266432516,13.2882385609722,"DALYs per 100,000",52.1386821428612,32.1500892099432,84.3202820142284
10,Karnataka,2019,All ages,Both,All causes,Diet high in processed meat,"Deaths per 100,000",6.25163272613503,4.21195848040334,8.74916774234537,"YLDs per 100,000",18.3424661767651,11.3609297570386,27.8309320876874,"DALYs per 100,000",144.762154214743,96.8356494551707,207.359171259007
