,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.57210689357056,0.611954836481236,2.64251910374145,"YLDs per 100,000",5.05135723316174,1.94941663734977,9.01464178688026,"DALYs per 100,000",45.183822315431,16.8781497027454,75.6171953136591
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",0.747130804226674,0.334514632260835,1.23469621605663,"YLDs per 100,000",4.19557120048965,1.59436366480597,7.47523778973654,"DALYs per 100,000",23.671079713032,10.4465062643533,38.2400307129062
2,Uttarakhand,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.92674562060821,0.748578031325683,3.217577088767,"YLDs per 100,000",7.42837847763993,2.7123502426927,13.2539413042108,"DALYs per 100,000",60.1980212970974,22.8424798124609,99.6957476922095
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.9197322501032,0.745790926344465,3.27385295580883,"YLDs per 100,000",7.16181420519184,2.78860391301119,12.849427670786,"DALYs per 100,000",55.5301284906314,21.1962038560204,93.9709292155344
4,Other Union Territories,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.88062998706146,0.714205012695698,3.25577850922593,"YLDs per 100,000",7.75655816837798,2.84587970699542,13.6982215661085,"DALYs per 100,000",54.4185693850365,20.8255443269588,93.3427197911254
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",2.24353866685047,1.02051897274886,3.79795739547057,"YLDs per 100,000",6.39635653938846,2.85396633954244,10.7635018014402,"DALYs per 100,000",55.7856027926402,26.4160168916093,92.8265459090514
6,Assam,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.4593816040352,0.66820539953501,2.35156707494137,"YLDs per 100,000",5.50998715149763,2.12671597168166,9.69422616779222,"DALYs per 100,000",46.5770144460539,20.761233524222,75.2682854010678
7,Delhi,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.67842402791848,0.630000230772721,2.84754824674478,"YLDs per 100,000",7.81396183814919,2.86632852765383,14.1124466673562,"DALYs per 100,000",51.2102899023626,19.3481708218763,86.217834639071
8,Goa,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",3.0922076445225,1.25761988335317,5.14012905264495,"YLDs per 100,000",11.9074553701167,4.33785298856926,21.4736796720047,"DALYs per 100,000",80.7865844061005,32.5263007727331,132.279614577743
9,Haryana,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.85728154411524,0.668927485970884,3.15056934823643,"YLDs per 100,000",6.76434489128303,2.51260984144948,12.130311983214,"DALYs per 100,000",57.9022160278725,20.3692149107064,97.0767331096033
10,Karnataka,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",2.22281934165966,0.980962608766974,3.57392274862279,"YLDs per 100,000",6.62451031045809,2.78559901852172,11.476460098838,"DALYs per 100,000",62.1680838752439,27.6784185104697,99.100700249957
11,Kerala,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",3.29380283138531,1.33208375867733,5.41071185292964,"YLDs per 100,000",10.38169811827,4.10139296000697,18.1595982799382,"DALYs per 100,000",74.4971651567552,31.0357190934835,119.073018535503
12,Maharashtra,2019,All ages,Both,All causes,Diet high in red meat,"Deaths per 100,000",1.97138818233053,0.901129993517768,3.13517563267289,"YLDs per 100,000",5.88548544092243,2.53510540528711,10.1197624480171,"DALYs per 100,000",52.5094085720978,23.9941311416092,82.4235655323424
