,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",5.89805566797782,0.656591204324204,12.1320070790477,"YLDs per 100,000",2.17501663412328,0.237017289228443,4.80750427586137,"DALYs per 100,000",156.936556409242,16.5229185509311,323.442277278673
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",1.58026184451611,0.184245439127794,3.33965931931389,"YLDs per 100,000",1.22492997217227,0.129332183708958,2.75017410299157,"DALYs per 100,000",44.2425407785531,4.90237441955725,93.7640423317339
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",5.90856888177342,0.598650575909698,12.719152610073,"YLDs per 100,000",2.2178412723981,0.23600026986641,4.9604420995764,"DALYs per 100,000",171.54124487447,16.8345958276442,366.735172202862
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",6.32997062279142,0.684858968058524,13.4608762408081,"YLDs per 100,000",2.89171818086129,0.311256898757904,6.41140733377498,"DALYs per 100,000",167.110555400006,16.861160672035,357.727347160016
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",5.61290625697013,0.63085404824889,11.8114548271637,"YLDs per 100,000",2.28428840743928,0.238939581842768,5.15685315916987,"DALYs per 100,000",143.103294443993,15.0355672751234,302.591387876492
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",7.65612652531451,0.851785901429875,16.1006266005149,"YLDs per 100,000",2.81998464901531,0.300607960019306,6.42777793908261,"DALYs per 100,000",198.786381179421,20.8713729172358,423.074949780407
6,Assam,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",2.83306300060532,0.326983324601527,5.96090112746795,"YLDs per 100,000",1.61501748874409,0.173758787358775,3.54048124455502,"DALYs per 100,000",84.0634875807339,9.36903371687953,177.192841133699
7,Delhi,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",4.78390108965034,0.465984675066438,9.97864520337525,"YLDs per 100,000",2.17129867812535,0.211411349973082,4.94447705365704,"DALYs per 100,000",127.846217136779,11.725585315349,267.772046570227
8,Goa,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",7.12702748743625,0.745233789937329,15.2535420406123,"YLDs per 100,000",2.91292851943669,0.289333461065909,6.58141105433495,"DALYs per 100,000",160.15628748447,16.1177258453642,346.34221362953
9,Haryana,2019,All ages,Both,All causes,Diet low in polyunsaturated fatty acids,"Deaths per 100,000",6.23331202790872,0.670037230202091,13.0195069722217,"YLDs per 100,000",2.39349623681749,0.253066158619585,5.35885691396036,"DALYs per 100,000",181.134814004674,18.1483018158464,371.114293249842
