,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",4.69631714619568,1.59908912105285,6.78306188266512,"YLDs per 100,000",1.71893070742922,0.529257958616451,2.85303037890924,"DALYs per 100,000",123.351923212557,42.2362695734758,180.180321541571
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",1.26971080802739,0.416969600934713,2.01090226254536,"YLDs per 100,000",0.972112878663097,0.301580327357946,1.62042630242369,"DALYs per 100,000",35.2064988047947,10.594520447817,56.2514930113309
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",4.79354927405129,1.86276613484973,6.96675914750888,"YLDs per 100,000",1.79233270266576,0.591691762512303,2.98355107747443,"DALYs per 100,000",138.004308112864,53.8623639087146,202.783962171203
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",5.14167874779501,1.71743273022954,7.48457823713745,"YLDs per 100,000",2.32809687754014,0.746579970178377,3.90886407664484,"DALYs per 100,000",134.698667372024,44.710649582057,198.488514786751
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",4.83337919817014,1.64985006244411,7.15765606304593,"YLDs per 100,000",1.93286200924288,0.637795992097564,3.18083810131777,"DALYs per 100,000",121.271651921726,40.3543770453634,183.687680740229
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",6.17136205102186,1.97624178629608,9.2634858815476,"YLDs per 100,000",2.26046690090496,0.710343989071162,3.82009599596071,"DALYs per 100,000",158.655353944384,50.492080740596,239.842666516139
6,Assam,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",2.1846846289504,0.667474460005385,3.23686748163287,"YLDs per 100,000",1.23812813202274,0.338660825734279,2.10654816075874,"DALYs per 100,000",64.2211090310312,19.3802708969576,95.8648078910451
7,Delhi,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",4.0508132544582,1.54103675282353,5.80505969893929,"YLDs per 100,000",1.81764831819387,0.591902308710904,2.96800538761324,"DALYs per 100,000",107.24539212659,40.1979674651349,154.986972255276
8,Goa,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",6.52616233528794,2.6751187700279,9.46033115924931,"YLDs per 100,000",2.62038899254248,1.01670272436709,4.23457606580781,"DALYs per 100,000",144.359911618631,56.7260545933558,213.725990672345
9,Haryana,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",5.16080677088925,1.79242211220396,7.4636175373735,"YLDs per 100,000",1.97711504227285,0.67528867821662,3.24339386232326,"DALYs per 100,000",148.246260124979,49.999438442086,215.782650057747
10,Karnataka,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",6.57943910143127,2.11797326352803,9.69859900539952,"YLDs per 100,000",1.90713633364626,0.607471233319515,3.18624598140544,"DALYs per 100,000",182.931093805907,60.3295255057689,271.790822228302
11,Kerala,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",7.16456964730023,2.39283887686528,10.4412830780675,"YLDs per 100,000",3.37700743304797,1.06604000368687,5.52234191104272,"DALYs per 100,000",159.523568074748,52.2113869178566,234.781868185591
12,Maharashtra,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",5.54773065133398,2.0485861852717,8.18611529588148,"YLDs per 100,000",2.37511029553689,0.772416650737618,3.93426125017327,"DALYs per 100,000",142.844178721411,51.4481103161501,212.138515597988
13,Manipur,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",2.42076673411815,0.795964239717922,3.65113937900044,"YLDs per 100,000",1.4756204787417,0.440509160397645,2.47106262874868,"DALYs per 100,000",62.9632816360563,20.3437722289531,96.863718434285
14,Meghalaya,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",1.32389515114188,0.436907845468979,2.02315542594736,"YLDs per 100,000",1.09308170717115,0.324267223746699,1.83520355249747,"DALYs per 100,000",34.6698033260497,10.1678432786229,53.5603039303203
15,Mizoram,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",0.862312904130593,0.279906887339317,1.3973337935681,"YLDs per 100,000",1.14421405480685,0.365395701713378,1.93668407634846,"DALYs per 100,000",22.4052043725649,7.09166062167411,37.3798481045526
16,Nagaland,2019,All ages,Both,All causes,Diet low in seafood omega-3 fatty acids,"Deaths per 100,000",2.10293246443898,0.710539782268637,3.16228853440467,"YLDs per 100,000",1.38747320260691,0.442840596512875,2.31335906685246,"DALYs per 100,000",51.2401119581008,16.4774808088023,78.6480929993179
