,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",4.91395137603569,2.27717784694596,10.434372489366,"YLDs per 100,000",11.9705179876549,5.478951340815,23.6107728281778,"DALYs per 100,000",86.6799491418461,41.0623574855262,192.15849964053
1,Arunachal Pradesh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",2.13593254078908,1.10433972944752,3.90915280818981,"YLDs per 100,000",8.16197681426345,3.63573651835643,16.281611531942,"DALYs per 100,000",39.8964122583359,20.1148780225683,77.7022505544115
2,Uttarakhand,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",6.86482135911941,3.27346898866605,13.2505666322531,"YLDs per 100,000",27.427473229353,11.481782475068,53.6996168848016,"DALYs per 100,000",148.225740569582,69.7605387676161,295.770632804004
3,Himachal Pradesh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.71756816244227,2.64616209743907,11.4404342478211,"YLDs per 100,000",16.9913359734936,7.77703954504902,33.3112525588522,"DALYs per 100,000",101.366684736783,48.1641111455049,224.397845446976
4,Other Union Territories,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.77839606209028,2.77669788632703,11.5575666362579,"YLDs per 100,000",16.9866247858753,7.71794581716567,33.080363052473,"DALYs per 100,000",104.383016684364,49.7913033050127,225.151738716142
5,Andhra Pradesh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",10.770479944749,5.15077098662359,20.1782723324206,"YLDs per 100,000",30.7699969705982,13.709951370204,57.3084667353521,"DALYs per 100,000",198.877875787995,95.2532044482681,389.516058641308
6,Assam,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.9234728898449,2.00437993752195,7.15330426293117,"YLDs per 100,000",16.5349552995287,7.38402328756815,31.2514004864512,"DALYs per 100,000",83.4615421133606,42.2035362321589,158.553651785694
7,Delhi,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.15969570691817,2.46274981985989,9.95652561226132,"YLDs per 100,000",16.7951090709691,7.64008450942219,32.3289387438842,"DALYs per 100,000",96.5709959011755,47.2881330472529,204.987854760164
8,Goa,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",11.1912877658766,5.52339219362483,20.1023870201455,"YLDs per 100,000",28.9603355908393,13.3387837797723,54.3239481153781,"DALYs per 100,000",186.413858860831,92.8668154822875,360.162039487241
9,Haryana,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.14226601124708,2.41054872603045,10.5793758380757,"YLDs per 100,000",15.9458037532028,7.39750420266917,30.9974322411319,"DALYs per 100,000",97.4600238867977,46.0205000683362,216.461481497096
10,Karnataka,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",12.5933814162842,6.29736218019518,23.1978779365607,"YLDs per 100,000",38.2200727724635,17.0780412800627,72.0746867554601,"DALYs per 100,000",249.774680028666,122.250306006506,485.245068924217
11,Kerala,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",16.7990832264045,8.3841145215371,29.8183392857007,"YLDs per 100,000",49.5110232569662,22.5968701750494,91.1456924880227,"DALYs per 100,000",283.211281517536,142.158824548514,520.477155957876
12,Maharashtra,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",11.9942822605079,6.1525020363322,21.1928047883085,"YLDs per 100,000",36.3214070846628,17.3615051412955,66.1802948250596,"DALYs per 100,000",231.309629156053,118.916514853614,432.630430466294
13,Manipur,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.90904940928555,1.99733399125186,6.91121934105083,"YLDs per 100,000",13.0122762416858,5.76966773741789,26.2265386408229,"DALYs per 100,000",72.1710886841604,36.6293510491293,140.909599420724
14,Meghalaya,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",2.22160021387472,1.14855900558939,4.14838246632827,"YLDs per 100,000",7.97899484295455,3.63077590159542,16.0715041517201,"DALYs per 100,000",40.5650083210144,21.051438803423,77.7220143731901
15,Mizoram,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",2.66776772921264,1.40846811019376,4.64876888335419,"YLDs per 100,000",16.2193489448171,6.73561164282238,31.4262165867712,"DALYs per 100,000",57.4343642186815,29.5093869285873,102.584873360297
16,Nagaland,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.58065817073318,1.74024887416519,6.58153713000916,"YLDs per 100,000",10.2524152355836,4.64938120960779,20.4557293646362,"DALYs per 100,000",60.1654951874774,30.0479371996372,121.125623776319
17,Odisha,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.28329503578546,1.66732016511122,6.37356954980153,"YLDs per 100,000",14.5633160208781,6.5286158154392,28.8614068540766,"DALYs per 100,000",65.3902025227593,33.1411075416371,132.480825581031
18,Punjab,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",10.2906397723776,4.90018183727621,20.5179128020285,"YLDs per 100,000",23.9123352969806,10.7229346875988,45.5262941664461,"DALYs per 100,000",185.538087049139,86.568670963283,402.794209305173
19,Rajasthan,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",4.23722484699756,2.00976668764921,8.30503065450836,"YLDs per 100,000",18.9668755825359,8.60482326972129,35.5504216581534,"DALYs per 100,000",94.3206961379993,44.8434736178109,189.611188374438
20,Sikkim,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.93927271459263,1.93847152335327,7.87139060526699,"YLDs per 100,000",14.773545460137,6.78937563093076,28.3584614941741,"DALYs per 100,000",73.524558879379,36.4616418604766,150.859461925778
21,Tamil Nadu,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",14.6433357821772,7.02797545586505,26.7123770594777,"YLDs per 100,000",41.1405007954971,17.8035040788419,79.1478269853872,"DALYs per 100,000",279.236767305832,133.147835745841,533.286193948993
22,Tripura,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",4.91498498367727,2.41433554094083,9.78827641264402,"YLDs per 100,000",13.1333105848713,5.98971176298578,25.6073296742697,"DALYs per 100,000",85.6759939021218,42.7431072073831,183.535718145962
23,West Bengal,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.59531553334688,2.56739316955266,10.8888143340116,"YLDs per 100,000",16.9384121223907,7.72369256593904,32.0330319107738,"DALYs per 100,000",102.405188449326,48.04248600421,214.336864049654
24,Bihar,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",2.88927431056199,1.25421837973387,6.06355315648892,"YLDs per 100,000",8.95511864846789,3.88216111320971,17.8260997299687,"DALYs per 100,000",56.2337632857039,25.5130542430758,126.613985077714
25,Chhattisgarh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",4.01670875470704,1.920752503315,8.18029827573834,"YLDs per 100,000",13.6896440407601,6.27063754732641,26.6685413248196,"DALYs per 100,000",79.6302829425532,38.7135888981927,173.700205886563
26,Jharkhand,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",3.17336056702143,1.50446155738602,6.23371806476767,"YLDs per 100,000",11.5555180870789,5.13926934784574,22.9472354100425,"DALYs per 100,000",59.9745570761625,29.1008352028009,123.861623126679
27,Madhya Pradesh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",4.86052302628181,2.26980937630238,9.47912884740233,"YLDs per 100,000",16.7381629311842,7.37167737146619,32.1374247155184,"DALYs per 100,000",97.4103241963374,45.1646077286794,196.930313662902
28,Uttar Pradesh,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.07737471734645,2.47815219456972,9.79130165270543,"YLDs per 100,000",22.3071870582666,10.0916258936395,42.109575744567,"DALYs per 100,000",116.522142281789,56.5253340335399,230.204822446545
29,Gujarat,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.30941164440881,2.4636252340846,11.0198285047267,"YLDs per 100,000",13.4060810618933,6.08182590120071,26.5276069107734,"DALYs per 100,000",100.325526378713,46.6210417455713,230.607622048374
30,Telangana,2019,All ages,Both,All causes,Low physical activity,"Deaths per 100,000",5.7706646669357,2.70932698929441,11.6208699718774,"YLDs per 100,000",15.6255984934679,7.07645383602015,30.0223189505492,"DALYs per 100,000",105.134359185426,49.5433579464176,239.589958489775
