,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",41.2435403863447,29.8676509326005,55.0921441294524,"YLDs per 100,000",0,0,0,"DALYs per 100,000",762.901179045817,512.392546284221,1065.23326694457
1,Arunachal Pradesh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",13.2178401745978,10.3580183096785,16.6187374983644,"YLDs per 100,000",0,0,0,"DALYs per 100,000",276.86101559907,208.271332923732,366.416624894929
2,Uttarakhand,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",38.884009081121,30.2519942157496,48.4764264626048,"YLDs per 100,000",0,0,0,"DALYs per 100,000",764.229406595192,568.809443295603,988.725764900471
3,Himachal Pradesh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",47.6497310052099,35.1512752813241,60.037307384585,"YLDs per 100,000",0,0,0,"DALYs per 100,000",845.542161684162,608.72200597631,1092.6397940242
4,Other Union Territories,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",3.27667319566506,1.2081310650199,5.53767271892078,"YLDs per 100,000",0,0,0,"DALYs per 100,000",60.5875405423822,17.5735942851292,110.082139109409
5,Andhra Pradesh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",4.68612161624075,0.766785145277456,8.21381894920755,"YLDs per 100,000",0,0,0,"DALYs per 100,000",84.1080372921747,10.0796735380081,162.507598008358
6,Assam,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",5.49162976788406,2.32726842345068,9.25131261072465,"YLDs per 100,000",0,0,0,"DALYs per 100,000",95.0223650513858,18.4901623387791,198.644972925226
7,Delhi,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",9.32713598544162,3.60861853464052,15.7675120512237,"YLDs per 100,000",0,0,0,"DALYs per 100,000",185.211114760464,56.1917084175505,332.831492766277
8,Goa,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",1.31073707594042,0.378966990659838,2.82217820241678,"YLDs per 100,000",0,0,0,"DALYs per 100,000",17.6855875714998,3.85771349425105,41.0851745129038
9,Haryana,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",11.0671438966625,4.66719385178309,18.1577826275394,"YLDs per 100,000",0,0,0,"DALYs per 100,000",215.579095963285,60.3154461345271,381.734697421413
10,Karnataka,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",4.13669542248024,2.07660314068909,6.82226640668273,"YLDs per 100,000",0,0,0,"DALYs per 100,000",56.588496421306,17.5206973236758,110.22900787349
11,Kerala,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",1.82256654091595,0.844454134774644,3.18758135801989,"YLDs per 100,000",0,0,0,"DALYs per 100,000",23.1313194483835,7.99367244471548,43.5072203911708
12,Maharashtra,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",6.04666069290207,2.3975543769909,9.76313482322616,"YLDs per 100,000",0,0,0,"DALYs per 100,000",103.448037333192,31.5280038036606,183.187606130517
13,Manipur,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",11.7393214475116,7.05484230716305,17.6884015639615,"YLDs per 100,000",0,0,0,"DALYs per 100,000",223.199675821699,119.277066566426,354.687072100521
14,Meghalaya,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",5.68970341043478,3.81032391299036,8.06797655051633,"YLDs per 100,000",0,0,0,"DALYs per 100,000",120.465409292311,71.8868827211995,183.722849255137
15,Mizoram,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",6.40872698311025,3.85684840987304,9.33830406926831,"YLDs per 100,000",0,0,0,"DALYs per 100,000",122.924738130783,59.9599121083219,199.059634757543
16,Nagaland,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",10.9250881917821,8.09577579735509,14.2304585690408,"YLDs per 100,000",0,0,0,"DALYs per 100,000",218.610674984566,147.726820535466,300.372976004784
17,Odisha,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",4.70364512614435,1.53967268407742,8.33452904335386,"YLDs per 100,000",0,0,0,"DALYs per 100,000",84.5134816088509,14.038707800803,170.990361118067
18,Punjab,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",18.4486408607261,9.96136112677731,27.8913334914686,"YLDs per 100,000",0,0,0,"DALYs per 100,000",401.746920687705,192.513360957643,624.97546110908
19,Rajasthan,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",10.2368074118092,1.06543489707326,20.9901138025692,"YLDs per 100,000",0,0,0,"DALYs per 100,000",201.62094935873,-25.9487239035249,496.561064484014
20,Sikkim,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",31.1902099227148,24.0779922176597,40.3660519478042,"YLDs per 100,000",0,0,0,"DALYs per 100,000",620.402023496046,462.361313547615,819.036414313666
21,Tamil Nadu,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",3.68594459901798,1.72416743537949,5.60968494550823,"YLDs per 100,000",0,0,0,"DALYs per 100,000",67.2183157360631,28.9095539173639,111.527141800737
22,Tripura,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",5.56577925847247,2.26910267567206,9.78251907262949,"YLDs per 100,000",0,0,0,"DALYs per 100,000",92.423953388785,26.8534564758148,179.977190196752
23,West Bengal,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",7.45931194468153,3.17060818090868,12.2760192283195,"YLDs per 100,000",0,0,0,"DALYs per 100,000",130.740156830308,36.5481784360588,242.014480038991
24,Bihar,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",6.72874366197425,2.30608951622353,11.3715235428026,"YLDs per 100,000",0,0,0,"DALYs per 100,000",142.900516950813,3.64684510520569,284.364545100776
25,Chhattisgarh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",6.90251869132754,2.08246888709658,11.7411930548103,"YLDs per 100,000",0,0,0,"DALYs per 100,000",137.555573185018,30.6559625963267,265.174502455932
26,Jharkhand,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",5.05727455295588,2.60141811846411,8.05416192959261,"YLDs per 100,000",0,0,0,"DALYs per 100,000",91.2699116490967,27.0817329077294,161.608297867325
27,Madhya Pradesh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",7.42215975994323,2.33673284555771,12.9817282724114,"YLDs per 100,000",0,0,0,"DALYs per 100,000",136.386973950638,2.12962250118649,282.117844562324
28,Uttar Pradesh,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",9.33683576794309,2.8402292767218,16.3931331996173,"YLDs per 100,000",0,0,0,"DALYs per 100,000",190.083611747715,16.696342550558,380.708925731178
29,Gujarat,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",9.4442302811791,0.942984084266137,18.0980273363576,"YLDs per 100,000",0,0,0,"DALYs per 100,000",192.416431460881,0.878817107172751,409.34288371657
30,Telangana,2019,All ages,Both,All causes,Low temperature,"Deaths per 100,000",5.66385427152946,0.585687021639772,11.009070406058,"YLDs per 100,000",0,0,0,"DALYs per 100,000",104.891336481504,4.5988973732572,224.923200471324
