,Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",8.69089872611738,4.85289440351341,12.9927956711848,"YLDs per 100,000",6.43243861932986,3.33063132969062,10.0941397363802,"DALYs per 100,000",231.643169390906,127.00326015682,345.567706445495
1,Arunachal Pradesh,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",3.21970150036047,1.79377168218619,4.88421412957464,"YLDs per 100,000",4.92963718729923,2.28142644564492,7.91761378382122,"DALYs per 100,000",91.1816030561071,48.9334476114799,139.890886752528
2,Uttarakhand,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",8.18541323859799,4.12842127873786,12.5914752175207,"YLDs per 100,000",6.5009907219481,3.17908095980616,10.2966664337371,"DALYs per 100,000",236.143110813474,118.693784911829,365.606095266432
3,Himachal Pradesh,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",8.80935004433321,4.46675112582745,13.3989227962658,"YLDs per 100,000",7.78171293911088,3.8801861814874,12.232389893646,"DALYs per 100,000",231.869349730405,116.322065518887,349.977602923959
4,Other Union Territories,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",6.9710892808268,3.41184071073512,10.738488155456,"YLDs per 100,000",6.22753366488191,2.95914714942865,10.2892636239976,"DALYs per 100,000",178.894596011566,86.9097031723001,277.124452243988
5,Andhra Pradesh,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",12.1806802889166,6.63412147542106,18.062807492198,"YLDs per 100,000",9.05572636164165,4.52800171605221,14.1341896797617,"DALYs per 100,000",309.233100950218,163.571483873368,470.334383852478
6,Assam,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",7.98904666115277,4.33231714161333,11.770611893045,"YLDs per 100,000",8.05068020242954,3.72578900569185,12.9121231123667,"DALYs per 100,000",238.879627855352,128.02855000344601,355.78833000346
7,Delhi,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",5.53800175241724,2.62970136663435,8.53634677934985,"YLDs per 100,000",5.19793585858711,2.41073880250941,8.61851534744834,"DALYs per 100,000",147.87989863661,69.7879022378123,226.992231878489
8,Goa,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",7.73127547495267,3.54556375523249,12.1173953413846,"YLDs per 100,000",6.30793643323348,2.7917242886952,10.5466900026545,"DALYs per 100,000",173.886707122986,76.5794589582719,274.736602697688
9,Haryana,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",7.76676744445884,3.7918351165771,11.806824607536,"YLDs per 100,000",5.81163918371627,2.89440867272501,9.22524810573587,"DALYs per 100,000",223.565209271039,107.942312458813,339.17526018729
10,Karnataka,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",14.4118488533256,8.27215460705433,20.8303692247499,"YLDs per 100,000",9.51671433611956,4.85402337795019,14.8183984943061,"DALYs per 100,000",403.194157689923,230.806140448901,590.687073932119
11,Kerala,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",15.2331746419057,8.96263454501797,22.0439354707858,"YLDs per 100,000",14.6593951634584,7.89975508300177,22.4274389788992,"DALYs per 100,000",353.038206979955,205.507779260418,512.37259113028
12,Maharashtra,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",13.7616003518651,8.48555570471764,19.3688715061173,"YLDs per 100,000",11.0799103855805,6.0538161633326,16.7789057843745,"DALYs per 100,000",358.624511835232,217.68860415005,505.751210694618
13,Manipur,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",6.89505514456338,3.97021040840596,10.2633082567069,"YLDs per 100,000",8.09399799036551,3.84877086142462,12.833249151946,"DALYs per 100,000",187.710527781044,105.165380535611,284.692194914594
14,Meghalaya,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",4.6864704133377,2.53653739897654,7.24925394992179,"YLDs per 100,000",5.64383048043835,2.71661936894885,8.92420064207269,"DALYs per 100,000",129.836268585888,67.7926775135005,204.403627101197
15,Mizoram,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",2.71441179677082,1.41831720762978,4.34979903782142,"YLDs per 100,000",5.01454679736869,2.49187474988602,7.81757616873856,"DALYs per 100,000",74.2496687174932,38.1623547995251,119.45058594248
16,Nagaland,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",5.46285042982702,3.06674156537386,8.16220968882559,"YLDs per 100,000",6.56458001977631,3.09752793356976,10.5170308630316,"DALYs per 100,000",139.144222700519,73.8532121732093,212.501575270665
17,Odisha,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",4.84006771642544,2.34253547868687,7.86802496767296,"YLDs per 100,000",6.28339627398717,2.72753625091748,10.6409152752983,"DALYs per 100,000",136.473404485246,65.6592348809778,221.35808343119
18,Punjab,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",14.3307008544769,7.29885254190276,21.7671708253167,"YLDs per 100,000",8.57563978228713,4.34226460404287,13.5457919891255,"DALYs per 100,000",400.067126984665,200.823123576272,607.044805520935
19,Rajasthan,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",6.08901285319317,3.2773166861013,9.48913268685543,"YLDs per 100,000",5.95325091218903,2.9364071422591,9.42985305302549,"DALYs per 100,000",182.232291493307,96.0683269823406,280.635150828091
20,Sikkim,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",4.68659089827762,2.46430532279218,7.18746467517616,"YLDs per 100,000",6.12728407878557,2.92925274776674,9.95393343757659,"DALYs per 100,000",122.468205667046,63.7782028311406,188.212862084936
21,Tamil Nadu,2019,All ages,Both,All causes,Diet low in vegetables,"Deaths per 100,000",12.8259737269775,6.6108014748705,19.5444569824099,"YLDs per 100,000",8.26747335404523,4.20537588327579,12.9894183665267,"DALYs per 100,000",346.226643350027,178.271916654481,526.981028192957
