Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,11738.65373,8176.318236,14449.22152
Arunachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,518.8039894,409.2483311,665.4518617
Uttarakhand,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,12982.12394,8138.292982,16100.29277
Himachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,9442.449493,5886.187546,11351.33211
Other Union Territories,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,1163.423244,925.8733468,1481.912855
Andhra Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,34416.67934,26573.35951,43134.76603
Assam,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,18571.74346,14996.54167,22403.90679
Delhi,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,7416.482812,5137.178015,9158.241862
Goa,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,552.6318572,419.3850477,799.288832
Haryana,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,18102.25033,12484.24219,22326.69127
Karnataka,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,54961.60818,39908.37159,68130.77263
Kerala,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,19626.60672,15512.27801,24312.25118
Maharashtra,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,71499.64239,54670.15309,87239.07852
Manipur,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,1194.01256,909.8143579,1699.846782
Meghalaya,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,829.8683235,621.513961,1410.937265
Mizoram,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,802.6889928,498.5351755,996.8945832
Nagaland,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,500.3002035,372.8174978,836.1661984
Odisha,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,13038.93475,8601.494501,29148.65343
Punjab,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,10236.73095,7579.584823,15801.26656
Rajasthan,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,88774.42838,42099.25449,110001.4436
Sikkim,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,315.8761569,246.9243408,390.7100986
Tamil Nadu,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,33080.31977,25369.08152,48358.96568
Tripura,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,2692.011908,2069.563823,3258.198596
West Bengal,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,50417.59524,39749.57156,60046.40252
Bihar,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,56748.75236,42986.94444,69090.35643
Chhattisgarh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,16401.10341,12823.02188,20506.02933
Jharkhand,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,16196.67588,12846.13679,19614.91499
Madhya Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,58919.20275,43630.65108,71664.48771
Uttar Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,220224.8842,133151.4424,275372.3762
Gujarat,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,48554.56528,34135.16746,59535.98985
Telangana,2019,All ages,Both,Chronic obstructive pulmonary disease,Deaths,18523.67649,13860.18276,23847.65384
