Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",172.60732187858906,147.50853317026136,206.33245365968313
Arunachal Pradesh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",74.44612364932523,60.205825972059976,94.03900623963084
Uttarakhand,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",181.84442893956637,148.83605922960842,225.45871360150446
Himachal Pradesh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",196.84745939501997,162.1439284490937,245.6312553207051
Other Union Territories,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",177.07899014229233,141.38676726963894,216.15237135577792
Andhra Pradesh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",240.80513704100014,190.67239161391726,294.63932074262584
Assam,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",155.1700236508691,130.1655707062815,182.2456527043
Delhi,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",147.46897023203127,125.43245132572633,170.58670510488298
Goa,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",259.55550908551066,204.28843135271063,314.4408362859432
Haryana,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",173.746296441173,144.84940429214834,205.91787618432477
Karnataka,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",250.936920591121,208.3864900074052,297.4263788157596
Kerala,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",292.3858996827198,239.65053726099393,344.39241989454655
Maharashtra,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",221.4331847621804,180.48567886305864,262.8619139034372
Manipur,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",144.10387630659577,114.75499709321672,172.1419932191002
Meghalaya,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",83.18758126714053,68.12439492145032,103.83789527864718
Mizoram,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",56.02066717098953,42.219846112375926,98.5055677543785
Nagaland,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",125.3856786791187,99.20567864945347,152.8718317030867
Odisha,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",165.03420624156942,132.55559337834495,205.21531929471487
Punjab,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",285.7658698292702,230.5158432514312,333.2315454880693
Rajasthan,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",125.13118325641999,100.52542570850088,169.38685096332892
Sikkim,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",118.21654450579678,96.53796993184118,146.90715407316063
Tamil Nadu,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",276.1031556600965,222.55210810979068,328.33363459894707
Tripura,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",207.30081513907544,172.0381947469463,247.86950936585757
West Bengal,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",221.22072724780963,180.38674421223976,259.03663678858203
Bihar,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",135.2781633829513,112.18782539255218,159.91146187842804
Chhattisgarh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",205.11176001343284,171.67180046732824,239.184810722706
Jharkhand,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",115.31848047848649,97.69684788557261,134.73957841075625
Madhya Pradesh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",163.03284444006547,136.292532240592,191.47893259723298
Uttar Pradesh,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",135.37171195600416,113.03607143956212,168.45142726141066
Gujarat,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",200.0015468243706,164.93996271686282,237.14230008166533
Telangana,2019,All ages,Both,Cardiovascular diseases,"Deaths per 100,000",190.42380247461656,146.66679175890476,244.54585787122605
