Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",83.79597901629943,58.36636869125092,103.14527470397384
Arunachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",30.142238577369135,23.777112524086597,38.66240273083129
Uttarakhand,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",109.77810836743302,68.81820057486377,136.14564864012564
Himachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",124.03521742935771,77.3204614582639,149.11013789805503
Other Union Territories,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",30.67784743311586,24.41398813852163,39.07597405192745
Andhra Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",63.51170359944114,49.037831802099234,79.5998488866554
Assam,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",51.52738902393924,41.607974951012906,62.15974408190928
Delhi,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",38.11279318573655,26.399603182956,47.06357270399798
Goa,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",36.14061706542887,27.42663893604962,52.271310865303825
Haryana,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",62.13237685786589,42.8496803574086,76.63193087319253
Karnataka,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",80.82759870748802,58.690019280893246,100.19442538942646
Kerala,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",56.131616813856716,44.36473697397702,69.53244574545515
Maharashtra,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",57.33220676443213,43.83742933995948,69.95292172857934
Manipur,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",34.015187179451836,25.918911342590768,48.42545918417926
Meghalaya,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",24.2931327092032,18.19387571067741,41.30304199007439
Mizoram,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",62.948434001208355,39.096099327158925,78.17841460377605
Nagaland,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",25.58633130648449,19.066616301577344,42.76317544518073
Odisha,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",27.955106349912946,18.441360290551884,62.49388636034988
Punjab,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",32.93909979333767,24.38910450779532,50.844307492459414
Rajasthan,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",110.42530134555149,52.36668878537323,136.82929626500425
Sikkim,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",47.80413200851546,37.36908761936601,59.12936675671574
Tamil Nadu,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",41.44386621661914,31.783030752080517,60.58534253265331
Tripura,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",66.86859714734256,51.40721301323718,80.93246865860844
West Bengal,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",50.64721742588821,39.9306072354386,60.31987820219565
Bihar,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",46.466408840381916,35.19811188778954,56.571829603545176
Chhattisgarh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",51.7196876341915,40.43646756410994,64.66427321015088
Jharkhand,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",42.75478059958643,33.910276658947126,51.77799404315396
Madhya Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",66.4138565837754,49.18056708338649,80.78037017754491
Uttar Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",90.70078897857063,54.83912921392353,113.41357662163804
Gujarat,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",70.13452720021154,49.30646205802208,85.99661999810995
Telangana,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",47.593523387684634,35.61144749105507,61.27260275062389
