Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Diabetes mellitus,Deaths,1791.062518,1514.321996,2194.801776
Arunachal Pradesh,2019,All ages,Both,Diabetes mellitus,Deaths,231.3129804,172.0684856,289.7076257
Uttarakhand,2019,All ages,Both,Diabetes mellitus,Deaths,2879.18216,2381.250823,3523.522669
Himachal Pradesh,2019,All ages,Both,Diabetes mellitus,Deaths,1268.666316,1045.262505,1555.176579
Other Union Territories,2019,All ages,Both,Diabetes mellitus,Deaths,807.4520134,636.3423382,1011.827001
Andhra Pradesh,2019,All ages,Both,Diabetes mellitus,Deaths,13726.62156,10920.83634,17044.48729
Assam,2019,All ages,Both,Diabetes mellitus,Deaths,6510.206148,5377.083324,7784.632311
Delhi,2019,All ages,Both,Diabetes mellitus,Deaths,3353.503753,2697.346282,4148.586579
Goa,2019,All ages,Both,Diabetes mellitus,Deaths,654.1393293,509.789996,813.7585295
Haryana,2019,All ages,Both,Diabetes mellitus,Deaths,5342.28414,4318.171553,6466.972846
Karnataka,2019,All ages,Both,Diabetes mellitus,Deaths,22899.23486,18935.76042,27462.06989
Kerala,2019,All ages,Both,Diabetes mellitus,Deaths,10057.39498,8192.477078,12311.6501
Maharashtra,2019,All ages,Both,Diabetes mellitus,Deaths,25837.2085,21648.63345,31054.21318
Manipur,2019,All ages,Both,Diabetes mellitus,Deaths,929.2904101,726.1443142,1123.863062
Meghalaya,2019,All ages,Both,Diabetes mellitus,Deaths,375.3785783,295.5023176,455.2326279
Mizoram,2019,All ages,Both,Diabetes mellitus,Deaths,173.5151464,134.2451007,215.2088283
Nagaland,2019,All ages,Both,Diabetes mellitus,Deaths,224.7338912,174.5997279,280.6234172
Odisha,2019,All ages,Both,Diabetes mellitus,Deaths,7835.470666,6258.541221,9854.039303
Punjab,2019,All ages,Both,Diabetes mellitus,Deaths,11941.28185,9541.394585,14074.56858
Rajasthan,2019,All ages,Both,Diabetes mellitus,Deaths,7053.212781,5808.27688,9217.173247
Sikkim,2019,All ages,Both,Diabetes mellitus,Deaths,116.34111,89.95563159,147.3548866
Tamil Nadu,2019,All ages,Both,Diabetes mellitus,Deaths,42440.42558,35099.73366,50349.15049
Tripura,2019,All ages,Both,Diabetes mellitus,Deaths,608.5116256,496.5659732,752.581472
West Bengal,2019,All ages,Both,Diabetes mellitus,Deaths,11075.01715,8909.85067,13433.44897
Bihar,2019,All ages,Both,Diabetes mellitus,Deaths,16053.45244,13002.56235,19500.59022
Chhattisgarh,2019,All ages,Both,Diabetes mellitus,Deaths,6264.917733,5285.194612,7405.649844
Jharkhand,2019,All ages,Both,Diabetes mellitus,Deaths,5039.171777,4067.597803,6056.366302
Madhya Pradesh,2019,All ages,Both,Diabetes mellitus,Deaths,12281.04433,10265.27813,15140.45234
Uttar Pradesh,2019,All ages,Both,Diabetes mellitus,Deaths,34195.37733,28861.44839,40788.57356
Gujarat,2019,All ages,Both,Diabetes mellitus,Deaths,13431.70746,11098.76654,16097.20499
Telangana,2019,All ages,Both,Diabetes mellitus,Deaths,7691.547087,5848.720561,10075.30842
