Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Diarrheal diseases,Deaths,2233.7279,1107.3635,4185.76136
Arunachal Pradesh,2019,All ages,Both,Diarrheal diseases,Deaths,369.8750662,200.7690764,577.5418921
Uttarakhand,2019,All ages,Both,Diarrheal diseases,Deaths,3712.127524,2011.971724,6593.131773
Himachal Pradesh,2019,All ages,Both,Diarrheal diseases,Deaths,1871.296668,1012.489488,3222.323887
Other Union Territories,2019,All ages,Both,Diarrheal diseases,Deaths,687.2696556,378.1993476,1197.020618
Andhra Pradesh,2019,All ages,Both,Diarrheal diseases,Deaths,29330.78869,14473.77137,53668.4056
Assam,2019,All ages,Both,Diarrheal diseases,Deaths,16055.06615,9621.520694,24562.1876
Delhi,2019,All ages,Both,Diarrheal diseases,Deaths,2892.818823,1745.642905,4398.636309
Goa,2019,All ages,Both,Diarrheal diseases,Deaths,257.6023712,133.7729783,459.4392672
Haryana,2019,All ages,Both,Diarrheal diseases,Deaths,7820.25581,4465.034034,12642.59981
Karnataka,2019,All ages,Both,Diarrheal diseases,Deaths,26032.01702,12712.74161,48093.36871
Kerala,2019,All ages,Both,Diarrheal diseases,Deaths,7293.520714,2799.15401,15313.77501
Maharashtra,2019,All ages,Both,Diarrheal diseases,Deaths,35580.38145,18948.93696,61827.29012
Manipur,2019,All ages,Both,Diarrheal diseases,Deaths,1050.771959,589.8682993,1648.676571
Meghalaya,2019,All ages,Both,Diarrheal diseases,Deaths,912.4807875,504.9759997,1463.244035
Mizoram,2019,All ages,Both,Diarrheal diseases,Deaths,210.4223744,122.2621541,359.9344947
Nagaland,2019,All ages,Both,Diarrheal diseases,Deaths,363.2008581,200.4192474,639.8460352
Odisha,2019,All ages,Both,Diarrheal diseases,Deaths,39228.9161,22008.9608,60491.98625
Punjab,2019,All ages,Both,Diarrheal diseases,Deaths,8172.777715,4602.246838,14023.3185
Rajasthan,2019,All ages,Both,Diarrheal diseases,Deaths,30887.13152,14180.75565,59045.34718
Sikkim,2019,All ages,Both,Diarrheal diseases,Deaths,117.910874,52.09185664,194.1859426
Tamil Nadu,2019,All ages,Both,Diarrheal diseases,Deaths,22608.98991,11231.36972,43059.93585
Tripura,2019,All ages,Both,Diarrheal diseases,Deaths,1270.188525,722.2419075,2097.02554
West Bengal,2019,All ages,Both,Diarrheal diseases,Deaths,34158.72385,14626.5511,72476.28554
Bihar,2019,All ages,Both,Diarrheal diseases,Deaths,81894.29543,49173.51081,132417.3229
Chhattisgarh,2019,All ages,Both,Diarrheal diseases,Deaths,18948.41882,9429.358995,33030.70089
Jharkhand,2019,All ages,Both,Diarrheal diseases,Deaths,23386.27489,14590.81086,36005.78373
Madhya Pradesh,2019,All ages,Both,Diarrheal diseases,Deaths,47474.7556,23892.78377,91675.4115
Uttar Pradesh,2019,All ages,Both,Diarrheal diseases,Deaths,153851.0553,83583.35021,274227.5889
Gujarat,2019,All ages,Both,Diarrheal diseases,Deaths,18823.24045,10584.7074,31544.93217
Telangana,2019,All ages,Both,Diarrheal diseases,Deaths,14848.43744,7150.904073,30291.81457
