Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Lower respiratory infections,Deaths,3793.284303,3258.11783,4396.822026
Arunachal Pradesh,2019,All ages,Both,Lower respiratory infections,Deaths,355.0104643,291.0200224,420.2821082
Uttarakhand,2019,All ages,Both,Lower respiratory infections,Deaths,4805.788839,4056.445599,5569.088219
Himachal Pradesh,2019,All ages,Both,Lower respiratory infections,Deaths,2135.620186,1784.702236,2526.897173
Other Union Territories,2019,All ages,Both,Lower respiratory infections,Deaths,630.8122148,524.699746,764.5894927
Andhra Pradesh,2019,All ages,Both,Lower respiratory infections,Deaths,12931.05935,10480.90181,16603.23781
Assam,2019,All ages,Both,Lower respiratory infections,Deaths,12479.10763,10631.71347,14309.79716
Delhi,2019,All ages,Both,Lower respiratory infections,Deaths,3086.494655,2605.764267,3638.947541
Goa,2019,All ages,Both,Lower respiratory infections,Deaths,408.7019875,313.7434414,495.0925086
Haryana,2019,All ages,Both,Lower respiratory infections,Deaths,7252.750369,6149.260776,8539.767544
Karnataka,2019,All ages,Both,Lower respiratory infections,Deaths,13954.42685,11574.74943,19461.057
Kerala,2019,All ages,Both,Lower respiratory infections,Deaths,6259.96903,5069.659689,8523.483135
Maharashtra,2019,All ages,Both,Lower respiratory infections,Deaths,32124.63691,26344.09933,38800.43673
Manipur,2019,All ages,Both,Lower respiratory infections,Deaths,940.1834932,682.6357758,1117.842942
Meghalaya,2019,All ages,Both,Lower respiratory infections,Deaths,996.6740819,751.1543059,1199.586553
Mizoram,2019,All ages,Both,Lower respiratory infections,Deaths,445.720886,345.3554119,521.8341769
Nagaland,2019,All ages,Both,Lower respiratory infections,Deaths,659.2009842,489.6470875,792.4619437
Odisha,2019,All ages,Both,Lower respiratory infections,Deaths,17510.48852,13763.06199,20967.39317
Punjab,2019,All ages,Both,Lower respiratory infections,Deaths,6926.340085,5757.36081,8116.229114
Rajasthan,2019,All ages,Both,Lower respiratory infections,Deaths,36416.64332,30877.48018,42187.33361
Sikkim,2019,All ages,Both,Lower respiratory infections,Deaths,249.2985244,132.7146747,298.9602433
Tamil Nadu,2019,All ages,Both,Lower respiratory infections,Deaths,18981.98156,16059.81626,22739.42013
Tripura,2019,All ages,Both,Lower respiratory infections,Deaths,1279.182535,1018.303538,1514.007652
West Bengal,2019,All ages,Both,Lower respiratory infections,Deaths,21023.34033,17561.34684,26719.73907
Bihar,2019,All ages,Both,Lower respiratory infections,Deaths,36524.00302,30896.31326,42878.98676
Chhattisgarh,2019,All ages,Both,Lower respiratory infections,Deaths,12684.15927,10252.63532,14860.72725
Jharkhand,2019,All ages,Both,Lower respiratory infections,Deaths,9836.951644,8162.566234,11521.11993
Madhya Pradesh,2019,All ages,Both,Lower respiratory infections,Deaths,34556.1657,29192.47486,40816.8917
Uttar Pradesh,2019,All ages,Both,Lower respiratory infections,Deaths,108963.2346,91398.00882,126628.4043
Gujarat,2019,All ages,Both,Lower respiratory infections,Deaths,17976.35315,15344.18868,21574.57882
Telangana,2019,All ages,Both,Lower respiratory infections,Deaths,7473.232741,6006.528509,9626.900145
