Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Neonatal disorders,Deaths,2933.423559,2259.83903,3819.65554
Arunachal Pradesh,2019,All ages,Both,Neonatal disorders,Deaths,402.9390113,304.4894015,536.794906
Uttarakhand,2019,All ages,Both,Neonatal disorders,Deaths,2359.664285,1760.805429,3073.501679
Himachal Pradesh,2019,All ages,Both,Neonatal disorders,Deaths,1481.054965,1198.848526,1851.021189
Other Union Territories,2019,All ages,Both,Neonatal disorders,Deaths,464.3148487,307.5631472,673.6024623
Andhra Pradesh,2019,All ages,Both,Neonatal disorders,Deaths,13370.1117,10529.67882,17237.48327
Assam,2019,All ages,Both,Neonatal disorders,Deaths,14637.32337,11560.03712,18704.79004
Delhi,2019,All ages,Both,Neonatal disorders,Deaths,3556.147566,2797.213991,4578.644164
Goa,2019,All ages,Both,Neonatal disorders,Deaths,120.7907741,90.27562958,160.7214733
Haryana,2019,All ages,Both,Neonatal disorders,Deaths,7588.932274,5948.678141,9898.714316
Karnataka,2019,All ages,Both,Neonatal disorders,Deaths,14144.03521,11066.79916,18309.57968
Kerala,2019,All ages,Both,Neonatal disorders,Deaths,1842.302704,1369.058119,2481.540796
Maharashtra,2019,All ages,Both,Neonatal disorders,Deaths,21822.83377,17191.82554,27992.1684
Manipur,2019,All ages,Both,Neonatal disorders,Deaths,679.8303772,517.0496002,898.3955964
Meghalaya,2019,All ages,Both,Neonatal disorders,Deaths,977.9866365,736.0728203,1300.21239
Mizoram,2019,All ages,Both,Neonatal disorders,Deaths,323.4519756,249.1362078,419.9597254
Nagaland,2019,All ages,Both,Neonatal disorders,Deaths,412.1053703,280.7078268,584.0370795
Odisha,2019,All ages,Both,Neonatal disorders,Deaths,15764.12544,12030.27057,20231.97582
Punjab,2019,All ages,Both,Neonatal disorders,Deaths,5157.373236,4004.184477,6635.071274
Rajasthan,2019,All ages,Both,Neonatal disorders,Deaths,32403.33402,24989.32744,40926.79237
Sikkim,2019,All ages,Both,Neonatal disorders,Deaths,64.34495355,46.80497369,88.68013198
Tamil Nadu,2019,All ages,Both,Neonatal disorders,Deaths,9065.251389,6863.011206,11951.70347
Tripura,2019,All ages,Both,Neonatal disorders,Deaths,779.2022292,575.1784204,1061.906607
West Bengal,2019,All ages,Both,Neonatal disorders,Deaths,18023.90177,14300.43116,22842.54172
Bihar,2019,All ages,Both,Neonatal disorders,Deaths,47467.36259,37596.72581,60234.14468
Chhattisgarh,2019,All ages,Both,Neonatal disorders,Deaths,13601.50893,10546.29074,17236.13086
Jharkhand,2019,All ages,Both,Neonatal disorders,Deaths,12199.06317,8847.092856,16704.3479
Madhya Pradesh,2019,All ages,Both,Neonatal disorders,Deaths,36731.44736,29436.89765,46571.13166
Uttar Pradesh,2019,All ages,Both,Neonatal disorders,Deaths,131076.4352,105976.7931,165179.9123
Gujarat,2019,All ages,Both,Neonatal disorders,Deaths,19917.1935,16006.09096,25068.30376
Telangana,2019,All ages,Both,Neonatal disorders,Deaths,8635.943933,6888.094608,10948.63976
