Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,1208.079642,288.1009568,3328.02465
Arunachal Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,104.6357102,24.76780184,288.8317812
Uttarakhand,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,1032.798603,234.700094,2941.78233
Himachal Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,1041.395634,243.1242724,2922.345653
Other Union Territories,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,328.1443538,76.32775637,922.8518107
Andhra Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,7735.169437,1825.215353,21519.55201
Assam,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,2338.627929,547.6931461,6730.204044
Delhi,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,1254.756259,289.8833183,3642.164416
Goa,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,217.3342357,51.63654319,599.7814697
Haryana,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,3444.995895,824.1452353,9198.89008
Karnataka,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,8082.420291,1912.014356,22034.36563
Kerala,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,7146.544931,1706.159772,19650.22728
Maharashtra,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,15509.81312,3702.650622,42540.59275
Manipur,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,288.2327051,67.69336392,786.8540263
Meghalaya,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,244.8062404,58.31390955,689.7172427
Mizoram,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,102.5342161,23.17556189,286.4739168
Nagaland,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,160.8629933,38.55340044,460.2951086
Odisha,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,5454.272451,1257.293417,15656.30958
Punjab,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,4227.695057,1021.729317,11416.90565
Rajasthan,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,6583.321816,1532.510553,17894.20002
Sikkim,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,57.10850841,13.75163543,160.1110799
Tamil Nadu,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,8031.726851,1886.476397,22778.74399
Tripura,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,375.1079921,85.24868804,1017.386937
West Bengal,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,8186.95645,1905.796049,23212.55167
Bihar,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,8045.840884,1821.508644,23055.7243
Chhattisgarh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,2465.145199,569.0060692,6811.903433
Jharkhand,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,3201.886633,755.3872285,9274.766813
Madhya Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,6810.106871,1624.135739,18938.38514
Uttar Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,15653.39733,3663.849717,43218.39649
Gujarat,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,6196.365307,1442.762708,16550.19525
Telangana,2019,All ages,Both,Alzheimer's disease and other dementias,Deaths,3481.168385,810.181205,9787.902912
