Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Asthma,Deaths,1722.291336,1051.928897,2388.892749
Arunachal Pradesh,2019,All ages,Both,Asthma,Deaths,92.58078042,67.78525982,127.9667256
Uttarakhand,2019,All ages,Both,Asthma,Deaths,2514.167685,1485.222067,3471.298029
Himachal Pradesh,2019,All ages,Both,Asthma,Deaths,1521.139777,908.7790821,2170.657047
Other Union Territories,2019,All ages,Both,Asthma,Deaths,216.96854,160.3446859,290.8404857
Andhra Pradesh,2019,All ages,Both,Asthma,Deaths,6906.555595,4985.460963,9096.402087
Assam,2019,All ages,Both,Asthma,Deaths,4755.524311,2968.099683,7128.41135
Delhi,2019,All ages,Both,Asthma,Deaths,1396.529499,817.0516712,2699.751018
Goa,2019,All ages,Both,Asthma,Deaths,88.4169752,63.88595282,134.2348384
Haryana,2019,All ages,Both,Asthma,Deaths,3847.721415,2462.790776,5626.200754
Karnataka,2019,All ages,Both,Asthma,Deaths,11737.60754,7977.568388,15644.9659
Kerala,2019,All ages,Both,Asthma,Deaths,2631.300867,2037.704555,3276.22302
Maharashtra,2019,All ages,Both,Asthma,Deaths,13830.35736,9725.174606,18531.03096
Manipur,2019,All ages,Both,Asthma,Deaths,254.0758022,181.5402587,361.4827012
Meghalaya,2019,All ages,Both,Asthma,Deaths,163.8238187,111.1594535,277.7785167
Mizoram,2019,All ages,Both,Asthma,Deaths,157.1840203,84.57356446,221.7102716
Nagaland,2019,All ages,Both,Asthma,Deaths,87.82033179,57.7484921,135.6182713
Odisha,2019,All ages,Both,Asthma,Deaths,3040.89461,1849.824977,6344.985894
Punjab,2019,All ages,Both,Asthma,Deaths,2006.431647,1478.727469,2992.748277
Rajasthan,2019,All ages,Both,Asthma,Deaths,19174.58648,8742.943415,26142.60641
Sikkim,2019,All ages,Both,Asthma,Deaths,46.51685315,33.63737871,67.39635165
Tamil Nadu,2019,All ages,Both,Asthma,Deaths,6322.622486,4671.095231,9098.398563
Tripura,2019,All ages,Both,Asthma,Deaths,555.2911947,367.500961,806.3932839
West Bengal,2019,All ages,Both,Asthma,Deaths,10083.43874,6872.099682,14239.4506
Bihar,2019,All ages,Both,Asthma,Deaths,13779.36248,7914.800023,23290.71695
Chhattisgarh,2019,All ages,Both,Asthma,Deaths,4183.123627,2843.140655,5930.004869
Jharkhand,2019,All ages,Both,Asthma,Deaths,4156.649447,2438.172491,6721.282887
Madhya Pradesh,2019,All ages,Both,Asthma,Deaths,13414.04468,8134.515542,19394.13912
Uttar Pradesh,2019,All ages,Both,Asthma,Deaths,56268.45296,26179.6261,89405.91181
Gujarat,2019,All ages,Both,Asthma,Deaths,10190.79216,6458.631967,13512.85918
Telangana,2019,All ages,Both,Asthma,Deaths,3652.596956,2646.47322,4967.950947
