Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Chronic kidney disease,Deaths,2398.70453,1999.31083,2959.094619
Arunachal Pradesh,2019,All ages,Both,Chronic kidney disease,Deaths,133.3418633,105.6480475,165.8786723
Uttarakhand,2019,All ages,Both,Chronic kidney disease,Deaths,1907.417506,1569.461168,2309.78142
Himachal Pradesh,2019,All ages,Both,Chronic kidney disease,Deaths,1490.171564,1185.768231,1839.897409
Other Union Territories,2019,All ages,Both,Chronic kidney disease,Deaths,909.9050674,713.6474375,1146.491952
Andhra Pradesh,2019,All ages,Both,Chronic kidney disease,Deaths,8384.596555,6559.488852,10596.76128
Assam,2019,All ages,Both,Chronic kidney disease,Deaths,5582.668795,4648.788905,6621.211612
Delhi,2019,All ages,Both,Chronic kidney disease,Deaths,3065.251493,2512.236431,3669.333327
Goa,2019,All ages,Both,Chronic kidney disease,Deaths,385.4743064,290.9421445,483.8020924
Haryana,2019,All ages,Both,Chronic kidney disease,Deaths,3913.333929,3191.933631,4765.613889
Karnataka,2019,All ages,Both,Chronic kidney disease,Deaths,15236.65776,12353.58954,18314.45237
Kerala,2019,All ages,Both,Chronic kidney disease,Deaths,12465.21054,10338.69427,14881.69874
Maharashtra,2019,All ages,Both,Chronic kidney disease,Deaths,22532.71687,18337.49998,27009.17859
Manipur,2019,All ages,Both,Chronic kidney disease,Deaths,584.2871533,463.540373,721.2599873
Meghalaya,2019,All ages,Both,Chronic kidney disease,Deaths,362.6434092,292.9401343,444.2606183
Mizoram,2019,All ages,Both,Chronic kidney disease,Deaths,166.1962998,127.8910693,211.0876051
Nagaland,2019,All ages,Both,Chronic kidney disease,Deaths,282.7841844,217.7183161,358.6740137
Odisha,2019,All ages,Both,Chronic kidney disease,Deaths,9311.150639,7341.508181,11413.99711
Punjab,2019,All ages,Both,Chronic kidney disease,Deaths,8154.493924,6516.742004,9946.852277
Rajasthan,2019,All ages,Both,Chronic kidney disease,Deaths,6158.332645,5038.960234,7452.988942
Sikkim,2019,All ages,Both,Chronic kidney disease,Deaths,102.2491021,79.20499411,130.9650872
Tamil Nadu,2019,All ages,Both,Chronic kidney disease,Deaths,31678.41351,26006.08682,37992.70637
Tripura,2019,All ages,Both,Chronic kidney disease,Deaths,756.8124638,610.8659039,940.9667934
West Bengal,2019,All ages,Both,Chronic kidney disease,Deaths,17539.65783,14416.73651,20958.00794
Bihar,2019,All ages,Both,Chronic kidney disease,Deaths,13508.91547,11100.95649,16282.75989
Chhattisgarh,2019,All ages,Both,Chronic kidney disease,Deaths,4487.59402,3704.951859,5290.074693
Jharkhand,2019,All ages,Both,Chronic kidney disease,Deaths,3775.325902,3098.173252,4710.325562
Madhya Pradesh,2019,All ages,Both,Chronic kidney disease,Deaths,9105.915979,7626.459301,10864.89856
Uttar Pradesh,2019,All ages,Both,Chronic kidney disease,Deaths,22758.47434,18871.17756,27480.73039
Gujarat,2019,All ages,Both,Chronic kidney disease,Deaths,10769.58185,8867.175402,13091.50237
Telangana,2019,All ages,Both,Chronic kidney disease,Deaths,5013.576263,3826.473255,6608.196418
