Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,1564.116836,1231.244182,2065.40703
Arunachal Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,561.9582501,355.0272972,742.1839879
Uttarakhand,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,2833.989914,2235.334165,3656.596687
Himachal Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,1309.076905,945.9821333,1914.732236
Other Union Territories,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,899.846095,690.8217237,1195.368598
Andhra Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,11641.41223,9011.499224,14867.82575
Assam,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,16287.765,11199.70941,20059.75385
Delhi,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,3736.253284,2897.616483,4588.567362
Goa,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,621.5191473,444.5062562,822.6250493
Haryana,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,4621.667782,3694.706171,5964.531701
Karnataka,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,14695.92574,11100.14715,19113.28137
Kerala,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,5456.290148,4395.728785,6741.865102
Maharashtra,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,33899.01981,26304.64492,42541.98563
Manipur,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,1446.546884,1034.566258,1959.811647
Meghalaya,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,900.0653252,608.258474,1159.295834
Mizoram,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,262.3225401,196.9945063,340.262389
Nagaland,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,562.9544421,377.80854,762.2673008
Odisha,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,9760.303327,7692.917116,12521.45542
Punjab,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,4844.693009,3721.134588,6567.351573
Rajasthan,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,10146.77794,7412.381612,14637.28254
Sikkim,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,292.5691311,202.4930898,381.2472032
Tamil Nadu,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,12045.39245,9442.884183,15706.64522
Tripura,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,1089.372647,824.6418297,1384.698753
West Bengal,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,17550.83106,13861.56512,21735.4742
Bihar,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,18436.73805,14724.08066,22729.54683
Chhattisgarh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,8619.458263,6796.545274,10793.0363
Jharkhand,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,7337.129937,5339.781353,9732.375293
Madhya Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,15075.9716,12068.81564,19213.33098
Uttar Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,46435.77653,35564.8222,63035.21676
Gujarat,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,10198.71692,8005.792092,13132.28073
Telangana,2019,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths,6902.297224,5165.505676,9148.680248
