Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,
Jammu & Kashmir and Ladakh,2019,All ages,Both,Falls,Deaths,1669.998271,1295.390096,2457.36057,
Arunachal Pradesh,2019,All ages,Both,Falls,Deaths,164.8841592,128.2907182,227.5720868,
Uttarakhand,2019,All ages,Both,Falls,Deaths,2336.012459,1901.931768,2914.454765,
Himachal Pradesh,2019,All ages,Both,Falls,Deaths,1890.089319,1377.351846,2341.006125,
Other Union Territories,2019,All ages,Both,Falls,Deaths,925.4388372,466.8973519,1216.219039,
Andhra Pradesh,2019,All ages,Both,Falls,Deaths,12883.95131,9683.513789,16077.17581,
Assam,2019,All ages,Both,Falls,Deaths,3721.079422,2828.463823,5765.257049,
Delhi,2019,All ages,Both,Falls,Deaths,2260.787964,1875.313708,2707.34219,
Goa,2019,All ages,Both,Falls,Deaths,399.0550761,254.5710364,504.0587598,
Haryana,2019,All ages,Both,Falls,Deaths,3825.904077,2974.801312,5067.636727,
Karnataka,2019,All ages,Both,Falls,Deaths,14398.41984,11172.70484,17847.47459,
Kerala,2019,All ages,Both,Falls,Deaths,8186.7532,6190.393796,9995.718775,
Maharashtra,2019,All ages,Both,Falls,Deaths,23856.18185,18575.79116,29179.57894,
Manipur,2019,All ages,Both,Falls,Deaths,236.1726773,127.5615868,544.2261094,
Meghalaya,2019,All ages,Both,Falls,Deaths,294.2498457,215.3036817,447.6141684,
Mizoram,2019,All ages,Both,Falls,Deaths,143.2122946,109.568936,190.529337,
Nagaland,2019,All ages,Both,Falls,Deaths,201.2645924,151.8375718,269.5052576,
Odisha,2019,All ages,Both,Falls,Deaths,9582.967202,7450.59507,12098.82558,
Punjab,2019,All ages,Both,Falls,Deaths,4741.998039,3781.590322,6324.564402,
Rajasthan,2019,All ages,Both,Falls,Deaths,9059.854918,6854.66849,13893.80208,
Sikkim,2019,All ages,Both,Falls,Deaths,109.8106569,76.0741661,144.3016621,
Tamil Nadu,2019,All ages,Both,Falls,Deaths,25579.97197,13025.76394,33846.66322,
Tripura,2019,All ages,Both,Falls,Deaths,344.4651946,211.49131,706.5065196,
West Bengal,2019,All ages,Both,Falls,Deaths,11216.08696,8678.120912,15034.70058,
Bihar,2019,All ages,Both,Falls,Deaths,17081.93002,12336.09515,21250.13681,
Chhattisgarh,2019,All ages,Both,Falls,Deaths,5025.353383,4124.374429,6052.117714,
Jharkhand,2019,All ages,Both,Falls,Deaths,4571.971525,3487.623055,6184.601365,
Madhya Pradesh,2019,All ages,Both,Falls,Deaths,12190.95314,10252.58508,14839.77212,
Uttar Pradesh,2019,All ages,Both,Falls,Deaths,37887.2692,30689.99091,45424.53857,
Gujarat,2019,All ages,Both,Falls,Deaths,11790.70312,9443.050702,14327.10772,
Telangana,2019,All ages,Both,Falls,Deaths,7088.857329,5055.454613,9208.081027,
