Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Self-harm,Deaths,810.2729912,615.185608,1350.20017
Arunachal Pradesh,2019,All ages,Both,Self-harm,Deaths,170.0229456,123.855903,233.6133796
Uttarakhand,2019,All ages,Both,Self-harm,Deaths,1342.243513,1060.658519,1874.241743
Himachal Pradesh,2019,All ages,Both,Self-harm,Deaths,861.6021103,660.6091973,1075.693759
Other Union Territories,2019,All ages,Both,Self-harm,Deaths,491.2497475,367.1088033,648.978617
Andhra Pradesh,2019,All ages,Both,Self-harm,Deaths,9366.37711,6805.099346,12538.51497
Assam,2019,All ages,Both,Self-harm,Deaths,4102.068505,3243.214234,5471.454964
Delhi,2019,All ages,Both,Self-harm,Deaths,1000.604606,785.6791092,1483.299516
Goa,2019,All ages,Both,Self-harm,Deaths,131.5447126,97.70251179,173.8425629
Haryana,2019,All ages,Both,Self-harm,Deaths,3673.462917,2947.636688,4940.869576
Karnataka,2019,All ages,Both,Self-harm,Deaths,20347.89772,13977.78119,24909.1581
Kerala,2019,All ages,Both,Self-harm,Deaths,6319.309078,3557.608988,8054.076995
Maharashtra,2019,All ages,Both,Self-harm,Deaths,18725.61494,15095.97105,22960.38129
Manipur,2019,All ages,Both,Self-harm,Deaths,294.4205815,210.4394948,407.1368011
Meghalaya,2019,All ages,Both,Self-harm,Deaths,158.4355516,102.9415217,315.3786784
Mizoram,2019,All ages,Both,Self-harm,Deaths,54.2375692,36.83112325,84.75514866
Nagaland,2019,All ages,Both,Self-harm,Deaths,57.00544678,35.51026541,131.6147264
Odisha,2019,All ages,Both,Self-harm,Deaths,5318.184603,3918.95989,8176.357765
Punjab,2019,All ages,Both,Self-harm,Deaths,2434.711565,1900.078361,3716.369081
Rajasthan,2019,All ages,Both,Self-harm,Deaths,9608.212441,7695.155913,12016.19926
Sikkim,2019,All ages,Both,Self-harm,Deaths,51.9392701,38.00667111,69.64384338
Tamil Nadu,2019,All ages,Both,Self-harm,Deaths,22009.25669,16563.01246,26951.66348
Tripura,2019,All ages,Both,Self-harm,Deaths,783.3827511,427.4529192,1077.593313
West Bengal,2019,All ages,Both,Self-harm,Deaths,15227.31128,10797.68743,19003.44997
Bihar,2019,All ages,Both,Self-harm,Deaths,7015.269284,5360.359382,9323.095477
Chhattisgarh,2019,All ages,Both,Self-harm,Deaths,4908.270122,3015.351167,6328.115688
Jharkhand,2019,All ages,Both,Self-harm,Deaths,1703.521998,1225.962161,2554.934647
Madhya Pradesh,2019,All ages,Both,Self-harm,Deaths,11442.25946,8538.022995,14144.50018
Uttar Pradesh,2019,All ages,Both,Self-harm,Deaths,29523.78186,24530.42613,35123.50077
Gujarat,2019,All ages,Both,Self-harm,Deaths,11142.71012,9090.016891,13723.56862
Telangana,2019,All ages,Both,Self-harm,Deaths,6260.880997,4689.375673,8496.219749
