Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Stroke,Deaths,5261.543518,4384.911484,6372.826063
Arunachal Pradesh,2019,All ages,Both,Stroke,Deaths,495.9578926,396.853294,637.0288073
Uttarakhand,2019,All ages,Both,Stroke,Deaths,4666.801031,3726.002935,6982.70186
Himachal Pradesh,2019,All ages,Both,Stroke,Deaths,3137.963428,2512.479718,4531.928078
Other Union Territories,2019,All ages,Both,Stroke,Deaths,1445.795371,1150.702056,1790.771334
Andhra Pradesh,2019,All ages,Both,Stroke,Deaths,31718.60723,25031.28312,39467.93877
Assam,2019,All ages,Both,Stroke,Deaths,28428.17851,23529.45494,33386.06483
Delhi,2019,All ages,Both,Stroke,Deaths,5153.458063,4268.712641,6204.19729
Goa,2019,All ages,Both,Stroke,Deaths,1032.712899,760.8099403,1262.043209
Haryana,2019,All ages,Both,Stroke,Deaths,8709.94586,6991.896604,11171.2479
Karnataka,2019,All ages,Both,Stroke,Deaths,41564.29421,33559.9092,50106.7389
Kerala,2019,All ages,Both,Stroke,Deaths,27520.06739,21882.18188,33026.37823
Maharashtra,2019,All ages,Both,Stroke,Deaths,74896.12898,60176.84008,90108.89454
Manipur,2019,All ages,Both,Stroke,Deaths,2144.564988,1676.739661,2625.902496
Meghalaya,2019,All ages,Both,Stroke,Deaths,1098.746793,888.4120255,1399.91406
Mizoram,2019,All ages,Both,Stroke,Deaths,220.1702363,156.343987,542.8989
Nagaland,2019,All ages,Both,Stroke,Deaths,1039.25146,815.8289073,1277.736215
Odisha,2019,All ages,Both,Stroke,Deaths,38013.60539,30618.28553,46846.05686
Punjab,2019,All ages,Both,Stroke,Deaths,13151.30405,10669.40721,15692.76517
Rajasthan,2019,All ages,Both,Stroke,Deaths,24868.77313,19311.05333,39096.66412
Sikkim,2019,All ages,Both,Stroke,Deaths,180.8934727,143.3116356,252.4264006
Tamil Nadu,2019,All ages,Both,Stroke,Deaths,37862.48262,30522.42659,46437.63637
Tripura,2019,All ages,Both,Stroke,Deaths,3767.626082,3003.275275,4581.592471
West Bengal,2019,All ages,Both,Stroke,Deaths,97922.30096,70323.47063,115961.0639
Bihar,2019,All ages,Both,Stroke,Deaths,42891.02365,35294.66891,52425.74194
Chhattisgarh,2019,All ages,Both,Stroke,Deaths,29599.9285,24115.09925,34638.90984
Jharkhand,2019,All ages,Both,Stroke,Deaths,11836.61247,9775.932604,14401.40203
Madhya Pradesh,2019,All ages,Both,Stroke,Deaths,44279.12345,36617.74312,51991.53691
Uttar Pradesh,2019,All ages,Both,Stroke,Deaths,73598.17651,58266.20266,130243.6467
Gujarat,2019,All ages,Both,Stroke,Deaths,25108.72428,20347.2996,31346.48544
Telangana,2019,All ages,Both,Stroke,Deaths,17463.33944,13327.83931,23080.86139
