Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Tuberculosis,Deaths,2148.686833,1771.256712,2711.988928
Arunachal Pradesh,2019,All ages,Both,Tuberculosis,Deaths,392.7981473,304.181179,495.1145928
Uttarakhand,2019,All ages,Both,Tuberculosis,Deaths,4900.928706,3924.548416,6097.872611
Himachal Pradesh,2019,All ages,Both,Tuberculosis,Deaths,1977.722677,1550.496915,2466.862843
Other Union Territories,2019,All ages,Both,Tuberculosis,Deaths,793.4770599,597.5249142,1066.102863
Andhra Pradesh,2019,All ages,Both,Tuberculosis,Deaths,11597.16358,8996.694695,14727.76158
Assam,2019,All ages,Both,Tuberculosis,Deaths,13574.50199,11138.07903,16319.06152
Delhi,2019,All ages,Both,Tuberculosis,Deaths,3515.949222,2791.205223,4378.66218
Goa,2019,All ages,Both,Tuberculosis,Deaths,215.5237566,165.6513826,272.4425422
Haryana,2019,All ages,Both,Tuberculosis,Deaths,7402.315154,5812.310508,9007.600694
Karnataka,2019,All ages,Both,Tuberculosis,Deaths,15705.46788,12523.58823,19575.52177
Kerala,2019,All ages,Both,Tuberculosis,Deaths,3681.898862,2867.405444,4596.919422
Maharashtra,2019,All ages,Both,Tuberculosis,Deaths,32632.51345,25990.26191,39913.60087
Manipur,2019,All ages,Both,Tuberculosis,Deaths,1076.659241,844.6212472,1347.039839
Meghalaya,2019,All ages,Both,Tuberculosis,Deaths,994.4449844,775.7589923,1254.298104
Mizoram,2019,All ages,Both,Tuberculosis,Deaths,210.4703583,158.5957357,273.0508886
Nagaland,2019,All ages,Both,Tuberculosis,Deaths,487.2523732,369.2645678,623.299681
Odisha,2019,All ages,Both,Tuberculosis,Deaths,19944.80539,15670.27264,24869.52691
Punjab,2019,All ages,Both,Tuberculosis,Deaths,6537.064652,5301.860975,8120.380619
Rajasthan,2019,All ages,Both,Tuberculosis,Deaths,34878.40419,27848.60383,43602.10948
Sikkim,2019,All ages,Both,Tuberculosis,Deaths,152.6734554,119.3805713,194.0645636
Tamil Nadu,2019,All ages,Both,Tuberculosis,Deaths,20080.87839,16009.50539,24851.30593
Tripura,2019,All ages,Both,Tuberculosis,Deaths,621.6341296,478.2851527,777.7899628
West Bengal,2019,All ages,Both,Tuberculosis,Deaths,15548.36697,12354.36829,19234.23951
Bihar,2019,All ages,Both,Tuberculosis,Deaths,29491.25207,23665.69874,36430.53437
Chhattisgarh,2019,All ages,Both,Tuberculosis,Deaths,13449.62258,10745.25872,16207.08799
Jharkhand,2019,All ages,Both,Tuberculosis,Deaths,8340.386186,6611.921995,10408.43118
Madhya Pradesh,2019,All ages,Both,Tuberculosis,Deaths,26672.39326,21851.5775,32859.20776
Uttar Pradesh,2019,All ages,Both,Tuberculosis,Deaths,109835.505,90388.23895,133743.2895
Gujarat,2019,All ages,Both,Tuberculosis,Deaths,29899.07562,24513.60187,36843.89351
Telangana,2019,All ages,Both,Tuberculosis,Deaths,5873.924498,4417.700411,7847.007514
