Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.623835293,2.056598848,23.75699039
Arunachal Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",6.079279661,1.438996244,16.78097439
Uttarakhand,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.733445895,1.984646925,24.87599879
Himachal Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",13.67968491,3.193659867,38.38768519
Other Union Territories,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.652708699,2.012656423,24.33431445
Andhra Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",14.27429368,3.368208053,39.71165826
Assam,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",6.488534117,1.519577193,18.67298257
Delhi,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",6.448105797,1.489690361,18.7168315
Goa,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",14.21306659,3.376889171,39.2240732
Haryana,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",11.8242638,2.828714741,31.57336214
Karnataka,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",11.88616282,2.811845108,32.40416214
Kerala,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",20.4389443,4.879575358,56.19917104
Maharashtra,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",12.43659105,2.968981718,34.11130431
Manipur,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.211211293,1.928457473,22.41600121
Meghalaya,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",7.166330269,1.70705099,20.19042303
Mizoram,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.040932904,1.817472696,22.46584245
Nagaland,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.226848223,1.971696333,23.54039248
Odisha,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",11.69380546,2.695601432,33.56668375
Punjab,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",13.60360745,3.287655416,36.73659067
Rajasthan,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.188904268,1.906268987,22.25835149
Sikkim,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.64269941,2.081147884,24.23092416
Tamil Nadu,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",10.06235174,2.363425625,28.53779
Tripura,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",9.31754616,2.11754642,25.27152165
West Bengal,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.224243171,1.914475818,23.31827105
Bihar,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",6.588009717,1.491468303,18.87824254
Chhattisgarh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",7.77365623,1.794319286,21.48084242
Jharkhand,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.452102243,1.994015036,24.48283976
Madhya Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",7.676367635,1.830729423,21.34738991
Uttar Pradesh,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",6.446934883,1.508975978,17.79972628
Gujarat,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.950325241,2.083995188,23.90589047
Telangana,2019,All ages,Both,Alzheimer's disease and other dementias,"Deaths per 100,000",8.944286468,2.081626623,25.14839786
