Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",15.94539,7.904877,29.87991
Arunachal Pradesh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",21.48955,11.66458,33.55488
Uttarakhand,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",31.39011,17.01343,55.75217
Himachal Pradesh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",24.58119,13.29998,42.32817
Other Union Territories,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",18.12234,9.972589,31.56376
Andhra Pradesh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",54.12632,26.70955,99.03837
Assam,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",44.54486,26.69495,68.1479
Delhi,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",14.866,8.970738,22.60429
Goa,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",16.84649,8.748388,30.04608
Haryana,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",26.84147,15.32534,43.39321
Karnataka,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",38.28319,18.6956,70.72703
Kerala,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",20.85929,8.005512,43.79702
Maharashtra,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",28.53024,15.19426,49.5764
Manipur,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",29.93453,16.80425,46.96772
Meghalaya,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",26.71149,14.7824,42.83424
Mizoram,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",16.50173,9.588036,28.22676
Nagaland,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",18.5748,10.24983,32.72298
Odisha,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",84.10568,47.18659,129.6931
Punjab,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",26.29784,14.80882,45.12334
Rajasthan,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",38.42008,17.63925,73.4457
Sikkim,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",17.84442,7.883488,29.38775
Tamil Nadu,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",28.32512,14.07095,53.94658
Tripura,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",31.55102,17.94023,52.08935
West Bengal,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",34.3143,14.69317,72.80637
Bihar,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",67.05581,40.26373,108.4245
Chhattisgarh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",59.75246,29.7348,104.1599
Jharkhand,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",61.73335,38.51574,95.04539
Madhya Pradesh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",53.51365,26.932,103.3367
Uttar Pradesh,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",63.36437,34.42425,112.9421
Gujarat,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",27.18919,15.28906,45.565
Telangana,2019,All ages,Both,Diarrheal diseases,"Deaths per 100,000",38.1506,18.37307,77.82981
