Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.33832763,12.64405559,19.35944041
Arunachal Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",22.82136551,17.67276632,28.76589711
Uttarakhand,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",41.44273196,33.18636483,51.56420656
Himachal Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.97919772,20.36719626,32.40450154
Other Union Territories,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",20.92288281,15.75589817,28.1116448
Andhra Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",21.40112381,16.60228174,27.17825327
Assam,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",37.66251919,30.90265231,45.27731245
Delhi,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",18.06822034,14.34381095,22.50164267
Goa,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",14.09466619,10.83314888,17.81699962
Haryana,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.40697573,19.94960076,30.91679934
Karnataka,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",23.09676331,18.41742987,28.78813903
Kerala,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",10.530141,8.200709674,13.14707749
Maharashtra,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",26.16648064,20.84037094,32.00484284
Manipur,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",30.67201037,24.06168141,38.37464848
Meghalaya,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",29.11086409,22.70916435,36.71766884
Mizoram,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",16.50549537,12.43738645,21.41318243
Nagaland,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",24.91903973,18.88491251,31.87676525
Odisha,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",42.76109718,33.59662016,53.31956046
Punjab,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",21.03454961,17.05999002,26.12924272
Rajasthan,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",43.38477153,34.64049869,54.23606963
Sikkim,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",23.10532738,18.06684191,29.36938357
Tamil Nadu,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",25.15783534,20.05711565,31.13434832
Tripura,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.44116579,11.88042932,19.32001992
West Bengal,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.61918054,12.4106351,19.32184005
Bihar,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",24.14771283,19.37769532,29.82966204
Chhattisgarh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",42.41240734,33.88439245,51.1078741
Jharkhand,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",22.01633127,17.45366002,27.47540266
Madhya Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",30.0651811,24.63114683,37.03897218
Uttar Pradesh,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",45.23633647,37.22687659,55.08288457
Gujarat,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",43.1876492,35.40861435,53.21907502
Telangana,2019,All ages,Both,Tuberculosis,"Deaths per 100,000",15.0920776,11.35055063,20.16158811
