Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Asthma,"Deaths per 100,000",12.29451792,7.509158534,17.05302936
Arunachal Pradesh,2019,All ages,Both,Asthma,"Deaths per 100,000",5.378894589,3.938287899,7.434799371
Uttarakhand,2019,All ages,Both,Asthma,"Deaths per 100,000",21.26004758,12.5591829,29.35363528
Himachal Pradesh,2019,All ages,Both,Asthma,"Deaths per 100,000",19.98156337,11.93764511,28.51356727
Other Union Territories,2019,All ages,Both,Asthma,"Deaths per 100,000",5.721157629,4.228065614,7.669057753
Andhra Pradesh,2019,All ages,Both,Asthma,"Deaths per 100,000",12.74518984,9.200048496,16.78627933
Assam,2019,All ages,Both,Asthma,"Deaths per 100,000",13.19422442,8.23500644,19.7778106
Delhi,2019,All ages,Both,Asthma,"Deaths per 100,000",7.176668686,4.198772135,13.87383411
Goa,2019,All ages,Both,Asthma,"Deaths per 100,000",5.782229166,4.17796717,8.778592527
Haryana,2019,All ages,Both,Asthma,"Deaths per 100,000",13.20653911,8.453039919,19.31081601
Karnataka,2019,All ages,Both,Asthma,"Deaths per 100,000",17.26155154,11.7319656,23.00778794
Kerala,2019,All ages,Both,Asthma,"Deaths per 100,000",7.525456341,5.827785356,9.369917978
Maharashtra,2019,All ages,Both,Asthma,"Deaths per 100,000",11.08991432,7.79816098,14.85916381
Manipur,2019,All ages,Both,Asthma,"Deaths per 100,000",7.238144941,5.171742817,10.29796684
Meghalaya,2019,All ages,Both,Asthma,"Deaths per 100,000",4.795693069,3.254023898,8.131543498
Mizoram,2019,All ages,Both,Asthma,"Deaths per 100,000",12.32667698,6.632423627,17.38695126
Nagaland,2019,All ages,Both,Asthma,"Deaths per 100,000",4.491303599,2.953370878,6.93578375
Odisha,2019,All ages,Both,Asthma,"Deaths per 100,000",6.519591811,3.965972293,13.60346983
Punjab,2019,All ages,Both,Asthma,"Deaths per 100,000",6.456167754,4.758154914,9.629874486
Rajasthan,2019,All ages,Both,Asthma,"Deaths per 100,000",23.85100675,10.87522814,32.51843175
Sikkim,2019,All ages,Both,Asthma,"Deaths per 100,000",7.039777267,5.090620666,10.19964319
Tamil Nadu,2019,All ages,Both,Asthma,"Deaths per 100,000",7.921142307,5.852066945,11.3987052
Tripura,2019,All ages,Both,Asthma,"Deaths per 100,000",13.79323141,9.128590271,20.03051602
West Bengal,2019,All ages,Both,Asthma,"Deaths per 100,000",10.12936281,6.903398012,14.30430284
Bihar,2019,All ages,Both,Asthma,"Deaths per 100,000",11.28267079,6.480712235,19.07065673
Chhattisgarh,2019,All ages,Both,Asthma,"Deaths per 100,000",13.19117635,8.965637429,18.69983939
Jharkhand,2019,All ages,Both,Asthma,"Deaths per 100,000",10.97241412,6.436106439,17.74234277
Madhya Pradesh,2019,All ages,Both,Asthma,"Deaths per 100,000",15.12034104,9.169244038,21.86111682
Uttar Pradesh,2019,All ages,Both,Asthma,"Deaths per 100,000",23.1744614,10.78221814,36.82229994
Gujarat,2019,All ages,Both,Asthma,"Deaths per 100,000",14.72006568,9.329155699,19.51861755
Telangana,2019,All ages,Both,Asthma,"Deaths per 100,000",9.384743832,6.799675279,12.76432839
