Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",11.16539466,8.789194577,14.7438376
Arunachal Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",32.6494784,20.62689901,43.12049886
Uttarakhand,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",23.96449559,18.90220409,30.92053884
Himachal Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",17.19592344,12.42634125,25.15176061
Other Union Territories,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",23.72768583,18.21600484,31.52020185
Andhra Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",21.48277919,16.62960165,27.43672429
Assam,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",45.1904801,31.0736461,55.65588078
Delhi,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",19.2003477,14.89065107,23.58033091
Goa,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",40.64565806,29.06949749,53.79743586
Haryana,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",15.86295622,12.6813447,20.47206975
Karnataka,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",21.61211122,16.32409002,28.10835942
Kerala,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",15.60485682,12.57167718,19.28156985
Maharashtra,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",27.18203264,21.09245992,34.1124212
Manipur,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",41.20941829,29.47285991,55.8313725
Meghalaya,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",26.34804314,17.80584149,33.93662193
Mizoram,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",20.57184445,15.44869282,26.68403918
Nagaland,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",28.79059166,19.32186796,38.98384123
Odisha,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",20.92581355,16.49339614,26.84564535
Punjab,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",15.5889441,11.97362949,21.13200493
Rajasthan,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",12.62143877,9.220160446,18.20711623
Sikkim,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",44.27688845,30.64494164,57.69726911
Tamil Nadu,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",15.09077411,11.83028555,19.67768473
Tripura,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",27.05962053,20.48380326,34.39541363
West Bengal,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",17.63076467,13.92469632,21.83446637
Bihar,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",15.09617344,12.05621486,18.61116539
Chhattisgarh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",27.18083521,21.43241158,34.03505557
Jharkhand,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",19.36801002,14.09555775,25.6908006
Madhya Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",16.99366877,13.60399587,21.65730948
Uttar Pradesh,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",19.12482135,14.64756104,25.96138903
Gujarat,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",14.73151258,11.56394749,18.96889191
Telangana,2019,All ages,Both,Cirrhosis and other chronic liver diseases,"Deaths per 100,000",17.73431125,13.27191259,23.50602094
