Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",12.78543866,10.80993589,15.66751758
Arunachal Pradesh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.43916235,9.997088399,16.83186049
Uttarakhand,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",24.34664564,20.1360896,29.79525194
Himachal Pradesh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",16.66509335,13.73047981,20.42866793
Other Union Territories,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",21.29138283,16.77945947,26.68046607
Andhra Pradesh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",25.33077381,20.15304597,31.45348259
Assam,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",18.06259738,14.91874281,21.59849872
Delhi,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.23342428,13.86147634,21.31930004
Goa,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",42.77892904,33.33887612,53.21758964
Haryana,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",18.33632866,14.82126572,22.19659914
Karnataka,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",33.67605548,27.84729369,40.38624848
Kerala,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",28.7639045,23.43028475,35.21101919
Maharashtra,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",20.7176446,17.35902289,24.90091575
Manipur,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",26.47374769,20.68649493,32.01675903
Meghalaya,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",10.98863682,8.650380807,13.32624265
Mizoram,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.60739569,10.52776223,16.87709542
Nagaland,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.49333092,8.929371712,14.35163063
Odisha,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",16.79902691,13.4181349,21.12678083
Punjab,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",38.42389497,30.70169081,45.28824889
Rajasthan,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",8.773395234,7.224836436,11.46511616
Sikkim,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",17.60685528,13.61372422,22.3004247
Tamil Nadu,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",53.17044491,43.97383932,63.07869669
Tripura,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",15.11520756,12.33451825,18.69385018
West Bengal,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",11.12545728,8.950429745,13.49463035
Bihar,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.1447169,10.64661959,15.96726554
Chhattisgarh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.75596276,16.6664771,23.35317857
Jharkhand,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.30203094,10.73734222,15.98714541
Madhya Pradesh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",13.84322052,11.57104437,17.0663516
Uttar Pradesh,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",14.08354789,11.88674091,16.7989908
Gujarat,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.40139814,16.03158713,23.25156975
Telangana,2019,All ages,Both,Diabetes mellitus,"Deaths per 100,000",19.76215826,15.02732025,25.88683879
