Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Falls,"Deaths per 100,000",11.92122567,9.247097989,17.54178456
Arunachal Pradesh,2019,All ages,Both,Falls,"Deaths per 100,000",9.579682818,7.453623167,13.2218184
Uttarakhand,2019,All ages,Both,Falls,"Deaths per 100,000",19.75354958,16.08292085,24.64491424
Himachal Pradesh,2019,All ages,Both,Falls,"Deaths per 100,000",24.82805333,18.09277728,30.75125834
Other Union Territories,2019,All ages,Both,Falls,"Deaths per 100,000",24.40253073,12.31143164,32.06999888
Andhra Pradesh,2019,All ages,Both,Falls,"Deaths per 100,000",23.77573061,17.869721,29.6684295
Assam,2019,All ages,Both,Falls,"Deaths per 100,000",10.32415224,7.847586095,15.99573262
Delhi,2019,All ages,Both,Falls,"Deaths per 100,000",11.61803328,9.637107686,13.91284462
Goa,2019,All ages,Both,Falls,"Deaths per 100,000",26.09711421,16.64825186,32.9640689
Haryana,2019,All ages,Both,Falls,"Deaths per 100,000",13.13165544,10.21041433,17.39365599
Karnataka,2019,All ages,Both,Falls,"Deaths per 100,000",21.1745933,16.43079475,26.24683961
Kerala,2019,All ages,Both,Falls,"Deaths per 100,000",23.41391459,17.70437536,28.58751205
Maharashtra,2019,All ages,Both,Falls,"Deaths per 100,000",19.12915233,14.89505491,23.39773455
Manipur,2019,All ages,Both,Falls,"Deaths per 100,000",6.728118359,3.633991299,15.50398513
Meghalaya,2019,All ages,Both,Falls,"Deaths per 100,000",8.613716597,6.302687744,13.10322383
Mizoram,2019,All ages,Both,Falls,"Deaths per 100,000",11.23098704,8.592609339,14.94168165
Nagaland,2019,All ages,Both,Falls,"Deaths per 100,000",10.29306505,7.765270509,13.78302619
Odisha,2019,All ages,Both,Falls,"Deaths per 100,000",20.54560993,15.97386455,25.93953894
Punjab,2019,All ages,Both,Falls,"Deaths per 100,000",15.25849878,12.1681601,20.35077986
Rajasthan,2019,All ages,Both,Falls,"Deaths per 100,000",11.26943003,8.526428696,17.28231102
Sikkim,2019,All ages,Both,Falls,"Deaths per 100,000",16.61854819,11.51292809,21.83835517
Tamil Nadu,2019,All ages,Both,Falls,"Deaths per 100,000",32.04723968,16.31900846,42.40396079
Tripura,2019,All ages,Both,Falls,"Deaths per 100,000",8.55639021,5.253367256,17.54936511
West Bengal,2019,All ages,Both,Falls,"Deaths per 100,000",11.26716957,8.717644596,15.10317471
Bihar,2019,All ages,Both,Falls,"Deaths per 100,000",13.98684396,10.10091001,17.39981064
Chhattisgarh,2019,All ages,Both,Falls,"Deaths per 100,000",15.84708667,13.00591502,19.08491337
Jharkhand,2019,All ages,Both,Falls,"Deaths per 100,000",12.06875046,9.206368001,16.3256508
Madhya Pradesh,2019,All ages,Both,Falls,"Deaths per 100,000",13.74166953,11.55673674,16.72742419
Uttar Pradesh,2019,All ages,Both,Falls,"Deaths per 100,000",15.60407318,12.63983586,18.70833762
Gujarat,2019,All ages,Both,Falls,"Deaths per 100,000",17.03105329,13.6399923,20.69475693
Telangana,2019,All ages,Both,Falls,"Deaths per 100,000",18.21364659,12.98915458,23.65864142
