Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Road injuries,"Deaths per 100,000",21.12330256,11.08172675,27.18951724
Arunachal Pradesh,2019,All ages,Both,Road injuries,"Deaths per 100,000",9.089881465,6.634719347,12.41021494
Uttarakhand,2019,All ages,Both,Road injuries,"Deaths per 100,000",28.06402061,16.53669355,35.62994366
Himachal Pradesh,2019,All ages,Both,Road injuries,"Deaths per 100,000",17.00206398,12.34071733,21.232691
Other Union Territories,2019,All ages,Both,Road injuries,"Deaths per 100,000",12.68238595,9.096590673,16.88565267
Andhra Pradesh,2019,All ages,Both,Road injuries,"Deaths per 100,000",14.09147263,10.2272448,18.19143735
Assam,2019,All ages,Both,Road injuries,"Deaths per 100,000",12.45749098,10.07996853,16.09445819
Delhi,2019,All ages,Both,Road injuries,"Deaths per 100,000",11.41398661,8.147253623,14.03219005
Goa,2019,All ages,Both,Road injuries,"Deaths per 100,000",11.45833772,8.000457065,15.30728812
Haryana,2019,All ages,Both,Road injuries,"Deaths per 100,000",17.65188887,12.34960059,21.39329716
Karnataka,2019,All ages,Both,Road injuries,"Deaths per 100,000",16.0369804,12.27157147,19.60420672
Kerala,2019,All ages,Both,Road injuries,"Deaths per 100,000",13.31464235,8.731798608,16.53710896
Maharashtra,2019,All ages,Both,Road injuries,"Deaths per 100,000",13.68793072,10.26620613,16.89313342
Manipur,2019,All ages,Both,Road injuries,"Deaths per 100,000",16.46631905,11.4380489,21.86848551
Meghalaya,2019,All ages,Both,Road injuries,"Deaths per 100,000",7.012213161,5.202728542,10.41028242
Mizoram,2019,All ages,Both,Road injuries,"Deaths per 100,000",11.69297368,7.556153903,16.40642184
Nagaland,2019,All ages,Both,Road injuries,"Deaths per 100,000",9.928625737,7.449523951,13.1595736
Odisha,2019,All ages,Both,Road injuries,"Deaths per 100,000",13.7007211,10.81023986,17.05342341
Punjab,2019,All ages,Both,Road injuries,"Deaths per 100,000",23.86966546,14.70541806,30.33568467
Rajasthan,2019,All ages,Both,Road injuries,"Deaths per 100,000",19.28023113,13.56136023,23.77815787
Sikkim,2019,All ages,Both,Road injuries,"Deaths per 100,000",9.77039732,7.272759283,13.05143963
Tamil Nadu,2019,All ages,Both,Road injuries,"Deaths per 100,000",19.65249402,13.39213641,24.24997008
Tripura,2019,All ages,Both,Road injuries,"Deaths per 100,000",10.79701421,8.053631897,14.38492412
West Bengal,2019,All ages,Both,Road injuries,"Deaths per 100,000",9.987278649,7.653571601,11.97498122
Bihar,2019,All ages,Both,Road injuries,"Deaths per 100,000",9.702171496,7.429779338,12.23786986
Chhattisgarh,2019,All ages,Both,Road injuries,"Deaths per 100,000",15.45467719,12.36105386,19.1717254
Jharkhand,2019,All ages,Both,Road injuries,"Deaths per 100,000",10.02262964,7.856960135,12.75526244
Madhya Pradesh,2019,All ages,Both,Road injuries,"Deaths per 100,000",15.64973762,11.73841503,19.29032017
Uttar Pradesh,2019,All ages,Both,Road injuries,"Deaths per 100,000",18.38030463,12.55470904,22.60350309
Gujarat,2019,All ages,Both,Road injuries,"Deaths per 100,000",15.18342987,12.29381284,18.25288499
Telangana,2019,All ages,Both,Road injuries,"Deaths per 100,000",13.62279715,9.695628477,17.97317814
