Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Self-harm,"Deaths per 100,000",5.784106096,4.391481468,9.638357835
Arunachal Pradesh,2019,All ages,Both,Self-harm,"Deaths per 100,000",9.878243603,7.195962739,13.57281433
Uttarakhand,2019,All ages,Both,Self-harm,"Deaths per 100,000",11.35014228,8.96903206,15.8487713
Himachal Pradesh,2019,All ages,Both,Self-harm,"Deaths per 100,000",11.3179324,8.677706509,14.13022218
Other Union Territories,2019,All ages,Both,Self-harm,"Deaths per 100,000",12.95357032,9.680146859,17.11266051
Andhra Pradesh,2019,All ages,Both,Self-harm,"Deaths per 100,000",17.28448468,12.55796494,23.13827079
Assam,2019,All ages,Both,Self-harm,"Deaths per 100,000",11.38120823,8.998313047,15.18057736
Delhi,2019,All ages,Both,Self-harm,"Deaths per 100,000",5.142037997,4.037550704,7.622573814
Goa,2019,All ages,Both,Self-harm,"Deaths per 100,000",8.602665629,6.389477947,11.36882975
Haryana,2019,All ages,Both,Self-harm,"Deaths per 100,000",12.60843145,10.11717716,16.95855294
Karnataka,2019,All ages,Both,Self-harm,"Deaths per 100,000",29.92400997,20.55599402,36.63188727
Kerala,2019,All ages,Both,Self-harm,"Deaths per 100,000",18.07306993,10.17467499,23.03446388
Maharashtra,2019,All ages,Both,Self-harm,"Deaths per 100,000",15.01519156,12.10475052,18.4108519
Manipur,2019,All ages,Both,Self-harm,"Deaths per 100,000",8.387492332,5.995028066,11.59856685
Meghalaya,2019,All ages,Both,Self-harm,"Deaths per 100,000",4.637959748,3.013456444,9.232231029
Mizoram,2019,All ages,Both,Self-harm,"Deaths per 100,000",4.253415801,2.888368411,6.646663813
Nagaland,2019,All ages,Both,Self-harm,"Deaths per 100,000",2.915370086,1.816064453,6.731034627
Odisha,2019,All ages,Both,Self-harm,"Deaths per 100,000",11.40203698,8.40213887,17.52987918
Punjab,2019,All ages,Both,Self-harm,"Deaths per 100,000",7.834259553,6.113950936,11.95829535
Rajasthan,2019,All ages,Both,Self-harm,"Deaths per 100,000",11.95152448,9.571899545,14.94678647
Sikkim,2019,All ages,Both,Self-harm,"Deaths per 100,000",7.860396139,5.751861555,10.53977456
Tamil Nadu,2019,All ages,Both,Self-harm,"Deaths per 100,000",27.57375673,20.7505634,33.76572969
Tripura,2019,All ages,Both,Self-harm,"Deaths per 100,000",19.45894275,10.61777512,26.76702616
West Bengal,2019,All ages,Both,Self-harm,"Deaths per 100,000",15.29666264,10.84686448,19.08999939
Bihar,2019,All ages,Both,Self-harm,"Deaths per 100,000",5.744168058,4.389112363,7.633837716
Chhattisgarh,2019,All ages,Both,Self-harm,"Deaths per 100,000",15.47787312,9.508690761,19.95525292
Jharkhand,2019,All ages,Both,Self-harm,"Deaths per 100,000",4.496830696,3.23620375,6.744326497
Madhya Pradesh,2019,All ages,Both,Self-harm,"Deaths per 100,000",12.89774036,9.624078538,15.9437121
Uttar Pradesh,2019,All ages,Both,Self-harm,"Deaths per 100,000",12.15952647,10.10298637,14.46580046
Gujarat,2019,All ages,Both,Self-harm,"Deaths per 100,000",16.09506133,13.13005344,19.82297629
Telangana,2019,All ages,Both,Self-harm,"Deaths per 100,000",16.08629833,12.04857529,21.82963159
