Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Stroke,"Deaths per 100,000",37.55935,31.30154,45.4922
Arunachal Pradesh,2019,All ages,Both,Stroke,"Deaths per 100,000",28.81489,23.05697,37.01104
Uttarakhand,2019,All ages,Both,Stroke,"Deaths per 100,000",39.46293,31.50744,59.04641
Himachal Pradesh,2019,All ages,Both,Stroke,"Deaths per 100,000",41.22002,33.00372,59.53102
Other Union Territories,2019,All ages,Both,Stroke,"Deaths per 100,000",38.12361,30.34241,47.22014
Andhra Pradesh,2019,All ages,Both,Stroke,"Deaths per 100,000",58.53275,46.19212,72.83317
Assam,2019,All ages,Both,Stroke,"Deaths per 100,000",78.87411,65.28258,92.62979
Delhi,2019,All ages,Both,Stroke,"Deaths per 100,000",26.48327,21.93662,31.88294
Goa,2019,All ages,Both,Stroke,"Deaths per 100,000",67.53661,49.7549,82.53419
Haryana,2019,All ages,Both,Stroke,"Deaths per 100,000",29.89516,23.9983,38.34309
Karnataka,2019,All ages,Both,Stroke,"Deaths per 100,000",61.12525,49.35385,73.68793
Kerala,2019,All ages,Both,Stroke,"Deaths per 100,000",78.70672,62.58251,94.45464
Maharashtra,2019,All ages,Both,Stroke,"Deaths per 100,000",60.05569,48.25298,72.25409
Manipur,2019,All ages,Both,Stroke,"Deaths per 100,000",61.09465,47.76718,74.80706
Meghalaya,2019,All ages,Both,Stroke,"Deaths per 100,000",32.16414,26.00691,40.98035
Mizoram,2019,All ages,Both,Stroke,"Deaths per 100,000",17.26618,12.2608,42.57519
Nagaland,2019,All ages,Both,Stroke,"Deaths per 100,000",53.14935,41.72309,65.34593
Odisha,2019,All ages,Both,Stroke,"Deaths per 100,000",81.50009,65.64474,100.4366
Punjab,2019,All ages,Both,Stroke,"Deaths per 100,000",42.31743,34.33134,50.49518
Rajasthan,2019,All ages,Both,Stroke,"Deaths per 100,000",30.93393,24.02076,48.63181
Sikkim,2019,All ages,Both,Stroke,"Deaths per 100,000",27.37609,21.68853,38.20176
Tamil Nadu,2019,All ages,Both,Stroke,"Deaths per 100,000",47.43508,38.23927,58.17825
Tripura,2019,All ages,Both,Stroke,"Deaths per 100,000",93.58646,74.60027,113.8051
West Bengal,2019,All ages,Both,Stroke,"Deaths per 100,000",98.36828,70.64375,116.4892
Bihar,2019,All ages,Both,Stroke,"Deaths per 100,000",35.11957,28.8996,42.92669
Chhattisgarh,2019,All ages,Both,Stroke,"Deaths per 100,000",93.34122,76.04521,109.2313
Jharkhand,2019,All ages,Both,Stroke,"Deaths per 100,000",31.24541,25.80578,38.01575
Madhya Pradesh,2019,All ages,Both,Stroke,"Deaths per 100,000",49.91153,41.2756,58.60498
Uttar Pradesh,2019,All ages,Both,Stroke,"Deaths per 100,000",30.3118,23.99725,53.64154
Gujarat,2019,All ages,Both,Stroke,"Deaths per 100,000",36.26824,29.39061,45.27836
Telangana,2019,All ages,Both,Stroke,"Deaths per 100,000",44.86916,34.24368,59.30246
