Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",83.79597902,58.36636869,103.1452747
Arunachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",30.14223858,23.77711252,38.66240273
Uttarakhand,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",109.7781084,68.81820057,136.1456486
Himachal Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",124.0352174,77.32046146,149.1101379
Other Union Territories,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",30.67784743,24.41398814,39.07597405
Andhra Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",63.5117036,49.0378318,79.59984889
Assam,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",51.52738902,41.60797495,62.15974408
Delhi,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",38.11279319,26.39960318,47.0635727
Goa,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",36.14061707,27.42663894,52.27131087
Haryana,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",62.13237686,42.84968036,76.63193087
Karnataka,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",80.82759871,58.69001928,100.1944254
Kerala,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",56.13161681,44.36473697,69.53244575
Maharashtra,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",57.33220676,43.83742934,69.95292173
Manipur,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",34.01518718,25.91891134,48.42545918
Meghalaya,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",24.29313271,18.19387571,41.30304199
Mizoram,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",62.948434,39.09609933,78.1784146
Nagaland,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",25.58633131,19.0666163,42.76317545
Odisha,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",27.95510635,18.44136029,62.49388636
Punjab,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",32.93909979,24.38910451,50.84430749
Rajasthan,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",110.4253013,52.36668879,136.8292963
Sikkim,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",47.80413201,37.36908762,59.12936676
Tamil Nadu,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",41.44386622,31.78303075,60.58534253
Tripura,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",66.86859715,51.40721301,80.93246866
West Bengal,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",50.64721743,39.93060724,60.3198782
Bihar,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",46.46640884,35.19811189,56.5718296
Chhattisgarh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",51.71968763,40.43646756,64.66427321
Jharkhand,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",42.7547806,33.91027666,51.77799404
Madhya Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",66.41385658,49.18056708,80.78037018
Uttar Pradesh,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",90.70078898,54.83912921,113.4135766
Gujarat,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",70.1345272,49.30646206,85.99662
Telangana,2019,All ages,Both,Chronic obstructive pulmonary disease,"Deaths per 100,000",47.59352339,35.61144749,61.27260275
