Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",113.1387442,96.16073763,135.5904752
Arunachal Pradesh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",30.39404565,23.65531679,39.27019326
Uttarakhand,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",113.9554052,93.36322196,139.5983831
Himachal Pradesh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",126.9608024,104.0918851,155.8311489
Other Union Territories,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",116.1568889,92.16688464,143.3916721
Andhra Pradesh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",150.6410561,118.0066658,185.1750699
Assam,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",50.79064859,41.71860015,61.47937124
Delhi,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",102.347798,86.66135879,119.4910153
Goa,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",165.2608873,131.0257468,200.8680345
Haryana,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",121.2779347,100.2623628,143.6558872
Karnataka,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",160.2009386,132.9487274,189.9439923
Kerala,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",184.9047316,152.0245715,218.5921949
Maharashtra,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",135.6965011,111.3622219,161.8236315
Manipur,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",59.43406051,47.48403375,71.87534484
Meghalaya,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",31.83023413,25.82822769,39.23279608
Mizoram,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",21.6892021,16.10760866,34.39007167
Nagaland,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",52.09113908,41.00279272,64.08494908
Odisha,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",50.86895962,39.9409265,65.47789387
Punjab,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",216.492643,173.4100787,253.2477243
Rajasthan,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",71.60895322,57.99410571,91.04719534
Sikkim,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",69.67203268,56.19536459,86.12564551
Tamil Nadu,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",203.9743153,163.504123,241.5241714
Tripura,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",87.44815404,71.55785138,107.0370812
West Bengal,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",100.6538304,82.63578084,118.1869004
Bihar,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",74.64577224,61.27181992,89.35819459
Chhattisgarh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",80.07829955,66.32902472,94.73601595
Jharkhand,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",61.37756823,49.91237595,72.84109467
Madhya Pradesh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",88.66173861,72.98631688,105.080629
Uttar Pradesh,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",79.3672894,66.18514816,96.8025647
Gujarat,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",138.8109111,114.5248324,164.0813789
Telangana,2019,All ages,Both,Ischemic heart disease,"Deaths per 100,000",121.702291,93.55474913,156.8161933
