Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",20.94014397,16.1317838,27.26648072
Arunachal Pradesh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",23.41054437,17.69067388,31.18750136
Uttarakhand,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",19.95355174,14.88954274,25.98983048
Himachal Pradesh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",19.45501268,15.74797278,24.31485769
Other Union Territories,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",12.24333463,8.110011,17.76195695
Andhra Pradesh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",24.67287919,19.43121339,31.80963269
Assam,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",40.61132209,32.07337699,51.89652736
Delhi,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",18.27479685,14.3746896,23.52933628
Goa,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",7.899387368,5.903780096,10.51074625
Haryana,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",26.04750191,20.41765556,33.97536976
Karnataka,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",20.80049038,16.27504782,26.92642025
Kerala,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",5.268940827,3.915472849,7.097146187
Maharashtra,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",17.49870595,13.78531785,22.44560578
Manipur,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",19.36709739,14.72977716,25.59361216
Meghalaya,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",28.62907099,21.54741204,38.06173974
Mizoram,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",25.36573383,19.53774659,32.93405951
Nagaland,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",21.07587497,14.3559475,29.86879898
Odisha,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",33.7978379,25.79255896,43.37678243
Punjab,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",16.59506659,12.88440937,21.34990907
Rajasthan,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",40.30606549,31.08388377,50.90827914
Sikkim,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",9.737850061,7.083380914,13.42069239
Tamil Nadu,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",11.35717757,8.598155044,14.97339817
Tripura,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",19.35510011,14.28722287,26.37737408
West Bengal,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",18.10598993,14.36556112,22.94657593
Bihar,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",38.86672014,30.78455049,49.32028065
Chhattisgarh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",42.89136991,33.2569614,54.352886
Jharkhand,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",32.20217984,23.35389785,44.09489547
Madhya Pradesh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",41.40376928,33.1813366,52.49508334
Uttar Pradesh,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",53.98452644,43.64710545,68.03022476
Gujarat,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",28.76934314,23.1199603,36.2098522
Telangana,2019,All ages,Both,Neonatal disorders,"Deaths per 100,000",22.18862977,17.69781998,28.13071923
